course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Master of Business Administration (MBA),Masters,1.5 Years,3,2500,2000,36000,Jan/Sep,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
MSc in Business Information Systems,Masters,1.5 Years,3,2500,2000,36000,Jan/Sep,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
MSc in Computer Systems Engineering,Masters,1.5 Years,3,2500,2000,36000,Jan/Sep,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
BSc (Hons) in Software Engineering,Bachelor,3 Years,6,2500,3880,55000,Jan/Sep,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
BSc (Hons) in Business Information Systems ,Bachelor,3 Years,6,2500,3880,55000,Jan/Sep,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
BSc (Hons) in Accounting and Finance,Bachelor,3 Years,6,2500,3880,55000,Jan/Sep,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
BA (Hons) in Marketing,Bachelor,3 Years,6,2500,3880,55000,Jan/Sep,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
BA (Hons) in Business Management,Bachelor,3 Years,6,2500,3880,55000,Jan/Sep,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
BA (Hons) in International Management,Bachelor,3 Years,6,2500,3880,55000,Jan/Sep,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
BA (Hons) in Human Resource Management,Bachelor,3 Years,6,2500,3880,55000,Jan/Sep,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
Association of Chartered Certified Accountants (ACCA),Professional,2 Years,2,2500,2880,16000,Jan/Jul,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
Chartered Institute of Management Accountants (CIMA),Professional,2 Years,2,2500,2880,17000,Jan/Jul,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
Certified Accounting Technician (CAT),Professional,1.5 Years,3,2500,2880,12000,Jan/Jul,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
Diploma in Business Information Technology,Diploma,2.5 Years,5,2500,2880,28000,Jan/May/Oct,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
Diploma in Computer Science,Diploma,2.5 Years,5,2500,2880,28000,Jan/May/Oct,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
Diploma in Computer Science (Computer Network),Diploma,2.5 Years,5,2500,2880,28000,Jan/May/Oct,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
Diploma in Accounting and Finance,Diploma,2.5 Years,5,2500,2880,28000,Jan/May/Oct,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
Diploma in Accounting,Diploma,2.5 Years,5,2500,2880,28000,Jan/May/Oct,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
Diploma in Finance,Diploma,2.5 Years,5,2500,2880,28000,Jan/May/Oct,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
Diploma in Banking and Finance,Diploma,2.5 Years,5,2500,2880,28000,Jan/May/Oct,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
Diploma in Marketing Management,Diploma,2.5 Years,5,2500,2880,28000,Jan/May/Oct,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
Diploma in Business Administration,Diploma,2.5 Years,5,2500,2880,28000,Jan/May/Oct,,,,FTMS Fees Structure 2018,FTMS Fees Structure 2018.pdf,55
