course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Foundation Non Engineering,Foundation,1 year,3,2400,6600,25600,Apr/May/Sept/Nov,"(Business & Finance, Computing & Technology, Design, International Studies)",,up to 30%,APU Leaflet 2020,E2020_APU_Int_Leaflet.pdf,3
Foundation Engineering,Foundation,1 year,3,2400,6600,26200,Apr/May/Sept/Nov,,,up to 30%,APU Leaflet 2021,E2020_APU_Int_Leaflet.pdf,3
Diploma in Information & Communication Technology,Diploma,2.4 years,6,2400,6600,46800,Apr/May/Sept/Nov,,Full Payment: RM 45000,,APU Leaflet 2022,E2020_APU_Int_Leaflet.pdf,3
Diploma in Information & Communication Technology (Software Engineering),Diploma,2.4 years,6,2400,6600,46800,Apr/May/Sept/Nov,,Full Payment: RM 45001,,APU Leaflet 2023,E2020_APU_Int_Leaflet.pdf,3
Diploma in Business with Information Technology,Diploma,2.4 years,6,2400,6600,46800,Apr/May/Sept/Nov,,Full Payment: RM 45002,,APU Leaflet 2024,E2020_APU_Int_Leaflet.pdf,3
Diploma in Business Administration,Diploma,2.4 years,6,2400,6600,46800,Apr/May/Sept/Nov,,Full Payment: RM 45003,,APU Leaflet 2025,E2020_APU_Int_Leaflet.pdf,3
Diploma in Accounting,Diploma,2.4 years,6,2400,6600,46800,Apr/May/Sept/Nov,,Full Payment: RM 45004,,APU Leaflet 2026,E2020_APU_Int_Leaflet.pdf,3
Diploma in Finance,Diploma,2.4 years,6,2400,6600,46800,Apr/May/Sept/Nov,,Full Payment: RM 45005,,APU Leaflet 2027,E2020_APU_Int_Leaflet.pdf,3
Diploma in International Studies,Diploma,2.4 years,6,2400,6600,46800,Apr/May/Sept/Nov,,Full Payment: RM 45006,,APU Leaflet 2028,E2020_APU_Int_Leaflet.pdf,3
Diploma in Design & Media,Diploma,2.4 years,6,2400,6600,46800,Apr/May/Sept/Nov,,Full Payment: RM 45007,,APU Leaflet 2029,E2020_APU_Int_Leaflet.pdf,3
Diploma in Journalism,Diploma,2.4 years,6,2400,6600,46800,Apr/May/Sept/Nov,,Full Payment: RM 45008,,APU Leaflet 2030,E2020_APU_Int_Leaflet.pdf,3
Diploma in Electrical & Electronic Engineering,Diploma,28 Months,6,2400,6600,46800,Apr/May/Sept/Nov,,Full Payment: RM 45009,,APU Leaflet 2031,E2020_APU_Int_Leaflet.pdf,3
BA (Hons) Animation,Bachelor,3 year,6,2400,6600,88200,Apr/May/Sept/Nov,,,up to 30%,APU Leaflet 2032,E2020_APU_Int_Leaflet.pdf,3
BA (Hons) VFX: Visual Effects and Concept Design,Bachelor,3 year,6,2400,6600,88200,Apr/May/Sept/Nov,,,up to 30%,APU Leaflet 2033,E2020_APU_Int_Leaflet.pdf,3
BSc (Hons) Digital Film and 3D Animation,Bachelor,3 year,6,2400,6600,88200,Apr/May/Sept/Nov,,,up to 30%,APU Leaflet 2034,E2020_APU_Int_Leaflet.pdf,3
Bachelor in CGI & Digital Effects,Bachelor,3 year,6,2400,6600,88200,Apr/May/Sept/Nov,,,up to 30%,APU Leaflet 2035,E2020_APU_Int_Leaflet.pdf,3
BA (Hons) Product Design,Bachelor,3 year,6,2400,6600,88200,Apr/May/Sept/Nov,,,up to 30%,APU Leaflet 2036,E2020_APU_Int_Leaflet.pdf,3
BA (Hons) Transport Design,Bachelor,3 year,6,2400,6600,88200,Apr/May/Sept/Nov,,,up to 30%,APU Leaflet 2037,E2020_APU_Int_Leaflet.pdf,3
BA (Hons) Advertising & Brand Management,Bachelor,3 year,6,2400,6600,88200,Apr/May/Sept/Nov,,,up to 30%,APU Leaflet 2038,E2020_APU_Int_Leaflet.pdf,3
BSc (Hons) Forensic Computing,Bachelor,3 year,6,2400,6600,88200,Apr/May/Sept/Nov,,,up to 30%,APU Leaflet 2039,E2020_APU_Int_Leaflet.pdf,3
BSc (Hons) Cyber Security,Bachelor,3 year,6,2400,6600,88200,Apr/May/Sept/Nov,,,up to 30%,APU Leaflet 2040,E2020_APU_Int_Leaflet.pdf,3
BSc (Hons) Business Information Technology,Bachelor,3 year,6,2400,6600,88200,Apr/May/Sept/Nov,,,up to 30%,APU Leaflet 2041,E2020_APU_Int_Leaflet.pdf,3
