course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,uid
Foundation in Commerce,Foundation,1 Year,3,2600,9100,13500,"January, May and September",,"Advance Payment RM13,000",62
Diploma in Retail Management,Diploma,2 Years,6,3000,11600,33670,"January, May and September",,"Advance Payment RM15,000",62
Diploma in Business Management,Diploma,2 Years,6,3000,11600,38394,"January, May and September",,"Advance Payment RM15,000",62
Bachelor of Retail Management (Hons),Bachelor,3 Years,9,3000,13100,74770,"January, May and September",,"Advance Payment RM17,000",62
Bachelor of Business Management (Hons),Bachelor,3 Years,9,3000,13100,57020,"January, May and September",,"Advance Payment RM16,000",62
Bachelor of Business(Hons)in Business Information System,Bachelor,3 Years,9,3000,13100,61635,"January, May and September",,"Advance Payment RM16,000",62
Bachelor of Human Capital Development (Hons),Bachelor,3 Years,9,3000,13100,59505,"January, May and September",,"Advance Payment RM16,000",62
Bachelor of Marketing (Hons),Bachelor,3 Years,9,3000,13100,59505,"January, May and September",,"Advance Payment RM16,000",62
Bachelor of Finance and Investment Management (Hons),Bachelor,3 Years,9,3000,13100,59800,"January, May and September",,"Advance Payment RM16,000",62
Bachelor in Accounting and Finance (Hons),Bachelor,3 Years,9,3000,13100,58800,"January, May and September",,"Advance Payment RM16,000",62
Bachelor in Accounting (Hons),Bachelor,4 Years,12,3000,14900,75675,"January, May and September",,"Advance Payment RM16,000",62
Master of Business Administration (Full Time),Masters,1 Year,3,2600,9100,40340,"January, May and September",,"Advance Payment RM21,000",62
Diploma in Culinary Arts,Diploma,2 Years,6,3000,11600,51726,"January, May and September",,"Advance Payment RM19,000",62
Diploma in Patisserie,Diploma,2 Years,6,3000,11600,49640,"January, May and September",,"Advance Payment RM19,000",62
Diploma in Heritage Cuisine,Diploma,2 Years,6,3000,11600,48680,"January, May and September",,"Advance Payment RM19,000",62
Bachelor of Culinary Arts Management (Hons),Bachelor,3 Years,9,3000,13100,80035,"January, May and September",,"Advance Payment RM20,000",62
Foundation in Hospitality,Foundation,1 Year,3,2600,9100,17300,"January, May and September",,"Advance Payment RM13,000",62
Diploma in Hotel Management,Diploma,2 Years,6,3000,11600,49100,"January, May and September",,"Advance Payment RM18,000",62
Bachelor of Hospitality Management (Hons),Bachelor,3 Years,9,3000,13100,76463,"January, May and September",,"Advance Payment RM20,000",62
Diploma in Tourism & Travel Management,Diploma,2 Years,6,3000,11600,39760,"January, May and September",,"Advance Payment RM16,000",62
Diploma in Events Management,Diploma,2 Years,6,3000,"11,600",42630,"January, May and September",,"Advance Payment RM16,000",62
Bachelor of Tourism Management (Hons),Bachelor,3 Years,9,3000,13100,72640,"January, May and September",,"Advance Payment RM18,000",62
Bachelor of Events Management (Hons),Bachelor,3 Years,9,3000,13100,76418,"January, May and September",,"Advance Payment RM18,000",62
Diploma in Public Relations,Diploma,2 Years,6,3000,"11,600",43820,"January, May and September",,"Advance Payment RM16,000",62
