course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Foundation in Commerce,Foundation,1 Year,3,3200,4150,12000,"January, May and September",,"Advance Payment RM13,000",,,,62
Foundation in Arts & Social Science,Foundation,1 Year,3,3200,4150,12000,"January, May and September",,,,,,62
Foundation in Hospitality,Foundation,1 Year,3,3200,4150,12000,"January, May and September",,"Advance Payment RM13,000",,,,62
Diploma in Retail Management,Diploma,2 Years,6,3200,9950,28660,"January, May and September",,"Advance Payment RM15,000",up to 8000,,,62
Diploma in Business Management,Diploma,2 Years,6,3200,7750,31620,"January, May and September",,"Advance Payment RM15,000",up to 8000,,,62
Diploma in Culinary Arts,Diploma,2 Years,6,3200,22200,28660,"January, May and September",,"Advance Payment RM19,000",up to 8000,,,62
Diploma in Patisserie,Diploma,2 Years,6,3200,22200,28660,"January, May and September",,"Advance Payment RM19,000",up to 8000,,,62
Diploma in Heritage Cuisine,Diploma,2 Years,6,3200,20100,28660,"January, May and September",,"Advance Payment RM19,000",up to 8000,,,62
Diploma in Hotel Management,Diploma,2 Years,6,3200,18350,28660,"January, May and September",,"Advance Payment RM18,000",up to 8000,,,62
Diploma in Tourism & Travel Management,Diploma,2 Years,6,3200,11750,28660,"January, May and September",,"Advance Payment RM16,000",up to 8000,,,62
Diploma in Events Management,Diploma,2 Years,6,3200,11150,28660,"January, May and September",,"Advance Payment RM16,000",up to 8000,,,62
Diploma in Public Relations,Diploma,2 Years,6,3200,9950,28660,"January, May and September",,"Advance Payment RM16,000",up to 8000,,,62
Bachelor of Retail Management (Hons),Bachelor,3 Years,9,3200,14150,43650,"January, May and September",,"Advance Payment RM17,000",up to 12000,,,62
Bachelor of Business Management (Hons),Bachelor,3 Years,9,3200,14150,43650,"January, May and September",,"Advance Payment RM16,000",up to 12000,,,62
Bachelor in Accounting and Finance (Hons),Bachelor,3 Years,9,3200,14150,46450,"January, May and September",,"Advance Payment RM16,000",up to 12000,,,62
Bachelor of Culinary Arts Management (Hons),Bachelor,3 Years,9,3200,27500,52550,"January, May and September",,"Advance Payment RM20,000",up to 12000,,,62
Bachelor of Hospitality Management (Hons),Bachelor,3 Years,9,3200,19550,52550,"January, May and September",,"Advance Payment RM20,000",up to 12000,,,62
Bachelor of Tourism Management (Hons),Bachelor,3 Years,9,3200,15950,43650,"January, May and September",,"Advance Payment RM18,000",up to 12000,,,62
Bachelor of Events Management (Hons),Bachelor,3 Years,9,3200,15350,43650,"January, May and September",,"Advance Payment RM18,000",up to 12000,,,62
Bachelor of Communication (Hons),Bachelor,3 Years,9,3200,14150,43650,"January, May and September",,,up to 12000,,,62
Master of Business Administration (Full Time),Masters,1 Year,3,3200,3600,25200,"January, May and September",,"Advance Payment RM21,000",,,,62
MSc in Logistics & Supply Chain Management (Full Time),Masters,1 Year,9,3200,3600,26500,"January, May and September",,"Advance Payment RM16,000",,,,62
