course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,uid
Foundation Degree in Arts,Foundation,1 Year,3,2980,3630,18000,April/July,"with Pathways to Accounting,Business,Entrepreneurship,Marketing and Computer Science Degree",,,6
Diploma in Business Administration,Diploma,2.5 Years,3,2980,3630,31800,April/July,,,,6
Diploma in Marketing,Diploma,2.5 Years,3,2980,3630,31800,April/July,,,,6
Diploma in Accounting,Diploma,2.5 Years,3,2980,3630,31800,April/July,,,,6
Diploma in Information Technology,Diploma,2.5 Years,3,2980,3630,31800,April/July,,,,6
Diploma in Entrepreneurship,Diploma,2.5 Years,3,2980,3630,31800,April/July,,,,6
BA (Hons) in Business Management,Bachelor,3 Years,9,2980,3630,58500,April/July,,,RM 9000,6
BA (Hons) in Marketing,Bachelor,3 Years,9,2980,3630,58500,April/July,,,RM 9000,6
BA (Hons) in Accounting,Bachelor,3 Years,9,2980,3630,58500,April/July,,,,6
BSc (Hons)  in Computer Science,Bachelor,3 Years,9,2980,3630,58500,April/July,,,RM 9000,6
BSc  (Hons)  in Management of Technology,Bachelor,3 Years,9,2980,3630,58500,April/July,,,,6
BA (Hons) in Entrepreneurship,Bachelor,3 Years,9,2980,3630,58500,April/July,,,,6
Masters in Business Administration,Masters,1.5 Years,4,2980,3630,32000,July/September,,,RM 4000,6
Masters in Information Technology Management,Masters,1.5 Years,4,2980,3630,32000,April/July/September,,,RM 4000,6
Masters in Social Entrepreneurship (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters in Entrepreneurship & Innovation (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters in Computer Science (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters in Education Management (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters in Islamic Banking and Finance (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters in Project Management (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters in Real Estate Management ( By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters in Accounting and Finance (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters In Public Sector Management (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters in International Marketing (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters in Environmenta l Management (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters in Quality Management (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters In Human Resource Management (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,RM 4000,6
Masters- in Tourism Management (By Research),Masters,1 Year,3,2980,3630,32000,April/July/September,,,,6
Doctorate in Business Administration,Ph.D,3 Year,,2980,3630,44000,May/September,,,,6
Doctor of Philosophy (PhD),Ph.D,3 Year,,2980,3630,44000,May/October,Research Area: Entrepreneurship / Leadership/ Marketing / HRM / TQM I Finance / IT etc,,,6
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
