course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
"Foundation in Arts (English, Communications, Built Environment, Graphic Design & Multimedia)",Foundation,1 Years,2,2500,4500,35000,January/April/June/September,,,Up to 100%,,,64
Foundation in Business,Foundation,1 Years,2,2500,4500,35000,January/April/June/September,,,Up to 100%,,,64
Foundation in Science,Foundation,1 Years,2,2500,4500,35000,January/April/June/September,,,Up to 100%,,,64
Foundation in information Technology,Foundation,1 Years,2,2500,4500,35000,January/April/June/September,,,Up to 100%,,,64
Diploma in Accountancy,Diploma,3 Years,6,2500,4500,52350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Business management,Diploma,3 Years,6,2500,4500,52350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Human Resource management,Diploma,3 Years,6,2500,4500,52350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Management ,Diploma,2.5 Years,5,2500,4500,52350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Office management,Diploma,3 Years,6,2500,4500,52350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Islamic Banking,Diploma,3 Years,6,2500,4500,52350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma In Early Childhood Education,Diploma,3 Years,6,2500,4500,55350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Mass Communication,Diploma,3 Years,6,2500,4500,55350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Fashion Design,Diploma,2.5 Years,5,2500,4500,52350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Culinary Arty,Diploma,3 Years,6,2500,4500,52350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Hotel Management,Diploma,3 Years,6,2500,4500,52350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Corporate Communication,Diploma,3 Years,4,2500,4500,52350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in information Technology,Diploma,2.5 Years,5,2500,4500,52350, January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Graphic Design,Bachelor,3 Years,6,2500,4500,52350,January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Multimedia,Diploma,3 Years,6,2500,4500,52350,January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Interior Design,Bachelor,3 Years,6,2500,4500,52350,January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Architectural Technology,Diploma,3 Years,6,2500,4500,52350,January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Civil Engineering,Diploma,2.5 Years,5,2500,4500,52350,January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in electrical & Electronic Engineering,Diploma,3 Years,6,2500,4500,52350,January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Mechanical Engineering,Diploma,3 Years,6,2500,4500,52350,January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Medical Lab Technology,Diploma,3 Years,6,2500,4500,88350,January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Diploma in Occupational health & Safety ,Diploma,3 Years,6,2500,4500,88350,January/April/June/September,,Sports Scholarships up to 100%,"Up To RM19,000",,,64
Bachelor of Accounting (Hons),Bachelor,4 Years,4,2500,4500,84000, January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Engineering management (Hons),Bachelor,3 Years,6,2500,4500,78000, January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Business Administration(Hons),Bachelor,3 Years,6,2500,4500,78000, January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Science in Accounting & Finance (Hons),Bachelor,3 Years,6,2500,4500,79350, January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Education (Hons) In Teaching English as A Second Language (TESL),Bachelor,3 Years,6,2500,4500,80850, January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Applied Psychology (Hons),Bachelor,3 Years,6,2500,4500,80850, January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Communication (Hons) Corporate Communication,Bachelor,3 Years,6,2500,4500,80850, January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Communication (Hons)Journalism,Bachelor,3 Year,6,2500,4500,78000, January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Education (Hons) Early Childhood Education,Bachelor,3 Year,6,2500,4500,80850, January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Communication (Hons)Mass Communication,Bachelor,3 Years,6,2500,4500,80850, January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Hospitality management (Hons),Bachelor,3 Years,6,2500,4500,59000, January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Computer Science (Hons) Software Engineering,Bachelor,3 Years,6,2500,4500,78000,January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor (Hons) Graphic Design,Bachelor,3 Years,6,2500,4500,80850,January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Multimedia (Hons),Bachelor,3 Years,6,2500,4500,80850,January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Information Technology (Hons),Bachelor,3 Years,6,2500,4500,78000,January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachlor of Electronic Civil (Hons),Bachelor,4 Years,8,2500,4500,94850,January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachlor of Electronic Engineering (Hons),Bachelor,4 Years,8,2500,4500,94850,January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachlor of Engineering in Mechanical (Hons),Bachelor,4 Years,8,2500,4500,94850,January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Environmental Health (Hons),Bachelor,4 Years,8,2500,4500,140000,January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Occupational health & Safety (Hons),Bachelor,4 Years,8,2500,4500,140000,January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Biomedical (Hons),Bachelor,4 Years,6,2500,4500,140000,January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Science(Hons) Architectural Design,Bachelor,3 Years,6,2500,4500,85850,January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Bachelor of Interior Design (Hons),Bachelor,3.5 Years,6,2500,4500,83850,January/April/June/September,,Sports Scholarships up to 100%,"Up to RM25,000",,,64
Master of Business Administration,Master,1.5 Year,3,2500,4500,52000, January/April/June/September,,,,,,64
Master of Information Technology(MIT),Master,1.5 Year,3,2500,4500,50000, January/April/June/September,,,,,,64
Master of Science (By research) In Business Administration(MScBA),Master,1.5 Year,3,2500,4500,50000, January/April/June/September,,,,,,64
Master of Mechanical Engineering,Master,1 Years,2,2500,4500,59000, January/April/June/September,,,,,,64
