course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Pre University English Program ,Foundation,1 Year,,,1800,2897,"March, August",,Tuition fee is shown per unit,,,,7
Intensive English Program,Foundation,1 Year,,,1800,4577,"Jan, Apr, Jun, Sep",,Tuition fee is shown per term,,,,7
Commerce and Arts Stream,Foundation,1 Year,,,1800,25768,"March, August",,,,,,7
Commerce Stream,Foundation,1 Year,,,1800,25768,"March, August",,,,,,7
Engineering and Science Stream,Foundation,1 Year,,,1800,25768,"March, August",,,,,,7
Bachelor of Arts (Mass Communication),Bachelor,3 Years,,,1800,101592,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Business Administration,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Accounting,Bachelor,3 Years,,,1800,99384,,,,,,,7
Bachelor of Finance,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Accounting and Entrepreneurship,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor ofAccounting and Finance,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Banking and Finance,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Entrepreneurship and Marketing,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor ofFinance and Management,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Finance and Marketing,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Management and Marketing,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Management and Human Resources Management,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Marketing and Public Relations,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Public Relations and Management,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Marketing and Tourism and Hospitality,Bachelor,3 Years,,,1800,99384,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Chemical Engineering,Bachelor,4 Years,,,1800,177375,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Civil and Construction Engineering,Bachelor,4 Years,,,1800,177375,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of  Applied Science (Construction Management),Bachelor,4 Years,,,1801,160400,"February, July",,,,,,7
Bachelor of Environmental Engineering,Bachelor,4 Years,,,1800,177375,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Mechanical Engineering,Bachelor,4 Years,,,1800,177375,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Petroleum Engineering,Bachelor,4 Years,,,1800,177375,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Electrical and Electronic Engineering,Bachelor,4 Years,,,1800,177375,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Applied Geology,Bachelor,4 Years,,,1800,177375,"February, July",,Deadline 6th Jan and 9th June,,,,7
"Bachelor of Science (Health, Safety and Environment)",Bachelor,3 Years,,,1800,113028,"February, July",,,,,,7
Bachelor of Computing (Cyber Security),Bachelor,3 Years,,,1801,125184,"February, July",,,,,,7
Bachelor of Computing (Software Engineering),Bachelor,3 Years,,,1801,125184,"February, July",,,,,,7
Bachelor of Computer Systems and Networking,Bachelor,3 Years,,,1800,96750,"February, July",,Deadline 6th Jan and 9th June,,,,7
Bachelor of Science (Psychological Science),Bachelor,3 Years,,,1800,113028,"February, July",,,,,,7
Graduate Certificate in Project Management,Certificate,1 to 2 Years,,,1800,4029,"January, May, & September",,Tuition fee is shown per unit,,,,7
Graduate Diploma in Project Management ,Diploma,1 to 2 Years,,,1800,4029,"January, May, & September",,Tuition fee is shown per unit,,,,7
Graduate Certificate in Policy Science ,Certificate,1 to 2 Years,,,1800,4029,"January, May, & September",,Tuition fee is shown per unit,,,,7
