course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,uid
Pre-sessional/ Bridgeing,Foundation,0.5 years,1,2066,2010,600,February/May/Sept,,,,1
Bachelor of Law (LLB),Bachelor,4 years,8,2066,2010,34000,February/May/Sept,,,,1
Bachelor of Law Shariah(LLBS),Bachelor,5 years,10,2066,2010,42500,February/May/Sept,,,,1
Bachelor of Economics,Bachelor,4 years,8,2066,2010,30000,February/May/Sept,,,,1
Bachelor of Accounting,Bachelor,4 years,8,2066,2010,30000,February/May/Sept,,,,1
Bachelor of Business Administration,Bachelor,4 years,8,2066,2010,30000,February/May/Sept,,,,1
Bachelor of Science (Islamic Finance),Bachelor,4 years,8,2066,2010,30000,February/May/Sept,,,,1
Bachelor of Human Sciences in Communication,Bachelor,4 years,8,2066,2010,28000,February/May/Sept,,,,1
Bachelor of Human Sciences in English Language and Literature,Bachelor,4 years,8,2066,2010,28000,February/May/Sept,,,,1
Bachelor of Human Sciences in History & Civilization,Bachelor,4 years,8,2066,2010,28000,February/May/Sept,,,,1
Bachelor of Human Sciences in Political Science,Bachelor,4 years,8,2066,2010,28000,February/May/Sept,,,,1
Bachelor of Human Sciences in Psychology,Bachelor,4 years,8,2066,2010,28000,February/May/Sept,,,,1
Bachelor of Human Sciences in Sociology & Anthropology,Bachelor,4 years,8,2066,2010,28000,February/May/Sept,,,,1
Bachelor of Islamic Revealed Knowledge and Heritage in Arabic Language and Literature,Bachelor,4 years,8,2066,2010,28000,February/May/Sept,,,,1
Bachelor of Islamic Revealed Knowledge and Heritage in Islamic Jurisprudence,Bachelor,4 years,8,2066,2010,28000,February/May/Sept,,,,1
Bachelor of Islamic Revealed Knowledge and Heritage in Qur’an and Sunnah Studies,Bachelor,4 years,8,2066,2010,28000,February/May/Sept,,,,1
Bachelor of Islamic Revealed Knowledge and Heritage in Usul al-Din & Comparative Religion,Bachelor,4 years,8,2066,2010,28000,February/May/Sept,,,,1
Bachelor of Information Technology (BIT),Bachelor,4 years,8,2066,2010,30000,February/May/Sept,,,,1
Bachelor of Computer Science (BCS),Bachelor,4 years,8,2066,2010,30000,February/May/Sept,,,,1
