course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Foundation in Science,Foundation,1 Year,3,2500,1000,24300,March / June / September,,,,,,63
Bachelor of Medicine & Bachelor of Surgery (MBBS) ,Bachelor,5 Years,10,2500,3400,543500,February / August,,,,,,63
Bachelor of Science (Hons) Psychology,Bachelor,3 Years,6,2500,2000,88200,February / August,,,,,,63
Bachelor of Dental Surgery (BDS) ,Bachelor,5 Years,10,2500,3400,654000,February  ,,,,,,63
Bachelor of Pharmacy (Hons),Bachelor,4 Years,8,2500,2000,204800,Aug/Sept,,,,,,63
Bachelor of Science ( Hons) Pharmaceutical Chemistry,Bachelor,3 Years,6,2500,2000,117300,Feb/Aug/Sep,,,,,,63
Bachelor of Science ( Hons) medical Biotechnology,Bachelor,3 Years,6,2500,2000,117300,Aug/Sept,,,,,,63
Bachelor of Science (Hons) dietetics with Nutrition,Bachelor,4 Years,8,2500,2000,192400,Aug/Sept,,,,,,63
Bachelor of Science (Hons) Nutrition,Bachelor,3 Years,6,2500,2000,121200,Aug/Sept,,,,,,63
Bachelor of Sciencw (Hons) Biomedical Science,Bachelor,3 Years,6,2500,2000,117300,Aug/Sept,,,,,,63
Bachelor of Nursing (Hons),Bachelor,4 Years,8,2500,2000,88400,September,,,,,,63
Bachelor of Science ( Hons) Chiropractic,Bachelor,4 Years,8,2500,2000,249600,Jan/July,,,,,,63
Bachelor of Science ( Hons) Chinese Medicine,Bachelor,4 Years,8,2500,2000,113000,Feb/Sep,,,,,,63
Analytical & Pharmaceutical Chemistry( MSC),Masters,1 Year,2,2500,3400,57500,,,,,,,63
Postgraduate Certificate,Masters,1 Year,2,2500,3400,19800,,,,,,,63
Postgraduate Diploma,Masters,1 Year,2,2500,3400,29480,,,,,,,63
COUNSELLING (MASTER),Masters,1 Year,2,2500,3400,60500,,,,,,,63
Endodontics (Post Graduate Diploma),Masters,1 Year,2,2500,3400,68750,,,,,,,63
Postgraduate Certi?cate,Masters,1 Year,2,2500,3400,23700,,,,,,,63
Postgraduate Diploma,Masters,1 Year,2,2500,3400,37920,,,,,,,63
Implant Dentistry ( Post Graduate Diploma),Masters,1 Year,2,2500,3400,68750,October,,,,,,63
Medical & Health Sciences (MSc),Masters,1 Year,2,2500,3400,21500,,,,,,,63
Molecular Medicine (MSc),Masters,1 Year,2,2500,3400,53650,,,,,,,63
Pharmacy Practice ( Master),Masters,1 Year,2,2500,3400,53650,,,,,,,63
Prosthodontics ( PG Diploma),Masters,1 Year,2,2500,3400,68750,,,,,,,63
Public Health ( MSc),Masters,1 Year,2,2500,3400,58300,,,,,,,63
Medical & Health Sciences (PhD),PhD,2-6 years,6,2500,3400,56200,,,,,,,63
