course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,uid
Foundation in Business Information Technology,Foundation,1 years,3,2500,5250,18525,Jan/May/Aug,,,25%,13
Foundation in Arts,Foundation,1 years,3,2500,5250,18785,Jan/May/Aug,,,25%,13
Foundation in Science,Foundation,1 years,3,2500,5250,18785,Jan/May/Aug,,,25%,13
Diploma in Business,Diploma,2 years,6,2500,5250,34670,Jan/May/Aug,,,25%,13
Diploma in Accounting,Diploma,2 years,6,2500,5250,34670,Jan/May/Aug,,,25%,13
Bachelor of Business (Hons) - Business Administration,Bachelor,3 years,9,2500,5250,73250,Jan/May/Aug,,,25%,13
Bachelor of Business (Hons) - International Business,Bachelor,3 years,9,2500,5250,73250,Jan/May/Aug,,,25%,13
Bachelor of Business (Hons) - Accounting,Bachelor,3 years,9,2500,5250,73250,Jan/May/Aug,,,25%,13
Bachelor of Business (Hons) - Marketing,Bachelor,3 years,9,2500,5250,73250,Jan/May/Aug,,,25%,13
Bachelor of Business (Hons) - Human Resource,Bachelor,3 years,9,2500,5250,73250,Jan/May/Aug,,,25%,13
Bachelor of Business (Hons) - Finance,Bachelor,3 years,9,2500,5250,73250,Jan/May/Aug,,,25%,13
Bachelor of Business (Hons) - Psychology,Bachelor,3 years,9,2500,5250,73250,Jan/May/Aug,,,25%,13
Bachelor of Financial Planning (Hons),Bachelor,3 years,9,2500,5250,70345,Jan/May/Aug,,,25%,13
Bachelor of Accountancy (Hons),Bachelor,4 years,12,2500,5250,82425,Jan/May/Aug,,,25%,13
Bachelor of Accounting & Finance (Hons),Bachelor,3 years,9,2500,5250,77002,Jan/May/Aug,,,25%,13
Australian Degree Transfer Programme (Commerce),Bachelor,2 years,6,2500,5250,36350,Jan/May/Aug,,,25%,13
Diploma in Mass Communication,Diploma,2 years,6,2500,5250,33580,Jan/May/Aug,,,25%,13
Bachelor of Mass Communication (Hons),Bachelor,3 years,9,2500,5250,66545,Jan/May/Aug,,,25%,13
UK Degree Transfer Program (Law),Bachelor,2 years,6,2500,5250,52350,Jan/May/Aug,,,25%,13
Diploma in Mechanical Engineering,Diploma,2.5 years,7,2500,5250,46300,Jan/May/Aug,,,25%,13
Diploma in Civil Engineering,Diploma,2.5 years,7,2500,5250,43600,Jan/May/Aug,,,25%,13
Diploma in Quantity Surveying,Diploma,2.5 years,7,2500,5250,43600,Jan/May/Aug,,,25%,13
B Eng (Hons) Mechanical Engineering,Bachelor,4 years,12,2500,5250,75500,Jan/May/Aug,,,25%,13
B Eng (Hons) Civil Engineering,Bachelor,4 years,12,2500,5250,81755,Jan/May/Aug,,,25%,13
B Sc (Hons) Quantity Surveying,Bachelor,4 years,12,2500,5250,70240,Jan/May/Aug,,,25%,13
Diploma in Information & Communication Technology,Diploma,2 years,6,2500,5250,35235,Jan/May/Aug,,,25%,13
Bachelor of Computer Science (Hons),Bachelor,3 years,9,2500,5250,66500,Jan/May/Aug,Specialisation: Network & Mobile Computing / Network Security / Software Engineering,,25%,13
Bachelor of Information Technology (Hons),Bachelor,3 years,9,2500,5250,65800,Jan/May/Aug,Specialisation: Business Intelligence,,25%,13
American Degree Transfer Program,Bachelor,2 years,6,2500,5250,49860,Jan/May/Aug,,,25%,13
Bachelor of Biotechnology (Hons),Bachelor,3 years,9,2500,5250,71940,Jan/May/Aug,,,25%,13
Australian Degree Transfer Program - Science,Bachelor,3 years,9,2500,5250,49455,Jan/May/Aug,,,25%,13
Bachelor of Traditional Chinese Medicines (Hons),Bachelor,5 years,10,2500,5250,142270,Jan/Jul,,,25%,13
Bachelor of Physiotherapy (Hons),Bachelor,4 years,12,2500,5250,95475,Jan/Jul,,,25%,13
Master in Business Administration - FT,Masters,1 years,3,2500,5250,32500,Jan/May/Sep,,,25%,13
Master in Business Administration (Single Award) - FT,Masters,1 years,3,2500,5250,24180,Jan/May/Sep,,,25%,13
Laureate English Improvement Programme (per level),Language,0.16 years,1,2500,5250,3300,Jan/Mar/Jun/Aug/Oct,,,25%,13
Certificate in Business,Certificate,1.3 years,4,2500,5250,7545,Jan/Apr/Aug,,,25%,13
Foundation in Business Information Technology,Foundation,1 years,3,2500,5250,15405,Jan/Apr/Aug,,,25%,13
Diploma in Business,Diploma,2 years,6,2500,5250,34660,Jan/Apr/Aug,,,25%,13
Diploma in Marketing,Diploma,2 years,6,2500,5250,34683,Jan/Apr/Aug,,,25%,13
Diploma in Finance,Diploma,2 years,6,2500,5250,34683,Jan/Apr/Aug,,,25%,13
Diploma in Accounting,Diploma,2 years,6,2500,5250,34760,Jan/Apr/Aug,,,25%,13
"3+0 BA (Hons), University of Hertfordshire, UK",Bachelor,3 years,9,2500,5250,64060,Jan/Apr/Aug,Major: Business Administration / Finance,,25%,13
