course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Doctor of Philosophy - PT,PhD,3 Years,9,2650,5250,33705,"Jan, May, Sep",Specialisation: Applied Physics / Management / Information Systems,Nilai Campus,25%,INTI Nilai campus 2018 Fees,INTI Nilai campus 2018.pdf,13
Doctor of Philosophy - FT,PhD,4 Years,12,2650,5250,33704,"Jan, May, Sep",Specialisation: Applied Physics / Management / Information Systems,Nilai Campus,25%,INTI Nilai campus 2018 Fees,INTI Nilai campus 2018.pdf,13
Foundation in Business Information Technology,Foundation,1 year,3,2650,5250,15015,"Jan, Apr, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Foundation in Science,Foundation,1 year,3,2650,5250,17719,"Jan, Apr, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Cambridge A-Level - 3 Subjects,A Level,1.5 years,,2650,5250,19917,"Jan, Jul",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Cambridge A-Level - 4 Subjects,A Level,1.5 years,,2650,5250,26556,"Jan, Jul",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
NSW Higher School Certificate,Certificate,1 year,,2650,5250,15350,Jan,,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Certificate in Business Studies,Certificate,1.3 years,,2650,5250,12017,"Jan, Apr, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Diploma in Business,Diploma,2 years,6,2650,5250,31785,"Jan, Apr, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Diploma in Finance,Diploma,2 years,6,2650,5250,28749,"Jan, Apr, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
TAFE NSW Advance Diploma in Accounting,Diploma,2 years,6,2650,5250,33050,"Jan, July",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
"3+0 BA (Hons) - University of Herdfordshire, UK",Bachelor,3 years,9,2650,5250,59335,"Jan, Apr, Aug",Major : Business Administration / Event Management & Marketing,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
"3+0 BA (Hons) - University of Herdfordshire, UK",Bachelor,3 years,9,2650,5250,59452,"Jan, Apr, Aug",Major : Accounting & Finance,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
"3+0 Bachelor of Commerce, University of Wollongong, Australia",Bachelor,3 years,9,2650,5250,67900,"Feb, July",Major: Accounting / Marketing / Finance / Management / International Business,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Diploma in Mass Communication,Diploma,2 years,6,2650,5250,28740,"Jan, Apr, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
3+0 BA (Hons) Mass Communication,Bachelor,3 years,9,2650,5250,59530,"Jan, Apr, Aug","University of Hertfordshire, UK",Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Diploma in Culinary Arts,Diploma,2 years,6,2650,5250,42850,"Jan, Apr, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Diploma in Hotel Management,Diploma,2.5 years,7,2650,5250,33295,"Jan, Apr, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Diploma in Information & Communication Technology,Diploma,2 years,6,2650,5250,27045,"Jan, Apr, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
3+0 BSc (Hons) in Computing,Bachelor,3 years,9,2650,5250,58940,"Jan, Apr, Aug","Coventry University, UK",Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
3+0 BSc (Hons) in Computer Science,Bachelor,3 years,9,2650,5250,58940,"Jan, Apr, Aug","Coventry University, UK",Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Diploma in Electrical & Electronic Engineering,Diploma,2.4 years,7,2650,5250,34710,"Jan, Apr, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Diploma in Mechanical Engineering,Diploma,2.5 years,7,2650,5250,34724,"Jan, Apr, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
3+0 BA (Hons) in Electrical & Electronic Engineering,Bachelor,3 years,9,2650,5250,72380,"Jan, Apr, Aug","Coventry University, UK",Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
American Degree Transfer Program (AUP),Bachelor,2 years,6,2650,5250,37150,"Jan, May, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
Master in Business Administration - Full Time,Masters,2 years,6,2650,5250,24115,"Jan, May, Aug",,Penang Campus,25%,INTI Penang campus 2018 Fees,INTI Penang campus 2018.pdf,13
