course,program,duration,nos,emgs,misc,ttf,intake,description,uid
Bachelor in Science (Architectural Studies),Bachelor,3 Years,,2800,9125,66875,Mar/Jun/Sept,,19
Bachelor in Landscape Architecture,Bachelor,3 Years,,2800,9180,53120,Mar/Jun/Sept,,19
Bachelor in Quantity Surveying (Hons),Bachelor,3 Years,,2800,9245,47355,Mar/Jun/Sept,,19
Bachelor in Real Estate Management (Hons),Bachelor,3.5 Years,,2800,10580,45720,Mar/Jun/Sept,,19
Bachelor in Civil Engineering (Hons),Bachelor,4 Years,,2800,10800,67900,Mar/Jun/Sept,,19
Bachelor in Electronics Engineering (Hons),Bachelor,4 Years,,2800,10880,64320,Mar/Jun/Sept,,19
Bachelor in Mechanical Engineering (Hons),Bachelor,4 Years,,2800,10800,52800,Mar/Jun/Sept,,19
Bachelor in Technology (Hons) in Construction Management,Bachelor,3 Years,,2800,9200,50400,Mar/Jun/Sept,,19
Bachelor in Technology (Hons) in Automotive,Bachelor,3 Years,,2800,9200,50400,Mar/Jun/Sept,,19
Bachelor in Technology (Hons) In Water and Wastewater,Bachelor,3 Years,,2800,9200,50400,Mar/Jun/Sept,,19
Bachelor in Computer Science (Hons),Bachelor,3 Years,,2800,9200,48000,Mar/Jun/Sept,,19
Bachelor in Information Technology (Hons) in Network Technology,Bachelor,3 Years,,2800,9200,48000,Mar/Jun/Sept,,19
Bachelor in Software Engineering,Bachelor,3 Years,,2800,9200,48000,Mar/Jun/Sept,,19
Bachelor in Information System (Hons),Bachelor,3 Years,,2800,9200,45600,Mar/Jun/Sept,,19
Bachelor in Multimedia (Hons),Bachelor,3 Years,,2800,9200,50400,Mar/Jun/Sept,,19
Bachelor in Corporate Communication (Hons),Bachelor,3 Years,,2800,9250,46250,Mar/Jun/Sept,,19
Bachelor in Communication (Hons) in Integrated Marketing Communication,Bachelor,3 Years,,2800,9250,46250,Mar/Jun/Sept,,19
Bachelor in BA (Hons) in Teaching English to Speakers of Other Languages (TESOL),Bachelor,3 Years,,2800,9200,39600,Mar/Jun/Sept,,19
Bachelor in BA (Hons) English for Professional Communication,Bachelor,3 Years,,2800,9200,44895,Mar/Jun/Sept,,19
"Bachelor in Business Administration (Hons) in E-Commerce
",Bachelor,3 Years,,2800,9200,44400,Mar/Jun/Sept,,19
Business Administration (Hons),Bachelor,3 Years,,2800,9200,44400,Mar/Jun/Sept,,19
Bachelor in Accountancy (Hons),Bachelor,3.5 Years,,2800,10570,51430,Mar/Jun/Sept,,19
Bachelor in Science (Hons) in Logistics and Supply Chain Management,Bachelor,3 Years,,2800,9180,56120,Mar/Jun/Sept,,19
Bachelor in Science (Hons) in Economics and Finance,Bachelor,3 Years,,2800,9180,56120,Mar/Jun/Sept,,19
Bachelor in Biotechnology (Hons),Bachelor,3 Years,,2800,9220,53680,Mar/Jun/Sept,,19
Foundation Science,Foundation,1 Year,3 sem,2800,4450,13050,Anytime,,19
Foundation Arts,Foundation,1 Year,3 sem,2800,4450,11250,Anytime,,19
Diploma in Architectural,Diploma,2.5 Years,,2800,9120,39480,Mar/Jun/Sept,,19
Diploma in Geomatic Engineering,Diploma,3 Years,,2800,8975,22325,Mar/Jun/Sept,,19
Diploma in Quantity Surveying ,Diploma,2.5 Years,,2800,9160,29140,Mar/Jun/Sept,,19
Diploma in Landscape Architecture,Diploma,2.5 Years,,2800,8920,30080,Mar/Jun/Sept,,19
Diploma in Civil Engineering ,Diploma,2.5 Years,,2800,9120,25480,Mar/Jun/Sept,,19
Diploma in Electrical & Electronics Engineering,Diploma,2.5 Years,,2800,8920,25480,Mar/Jun/Sept,,19
Diploma in Mechanical Engineering ,Diploma,2.5 Years,,2800,9120,25380,Mar/Jun/Sept,,19
Diploma in Automotive Engineering,Diploma,2.5 Years,,2800,9160,25440,Mar/Jun/Sept,,19
Diploma in Software Engineering,Diploma,2.5 Years,,2800,9120,25380,Mar/Jun/Sept,,19
Diploma in Information Technology,Diploma,2.5 Years,,2800,8930,24570,Mar/Jun/Sept,,19
Diploma in Visual and Interective Media,Diploma,2.5 Years,,2800,9160,29140,Mar/Jun/Sept,,19
Diploma in Corporate Communication,Diploma,2.5 Years,,2800,8980,25920,Mar/Jun/Sept,,19
Diploma in English for Professional Communication,Diploma,2.5 Years,,2800,7560,24840,Mar/Jun/Sept,,19
Diploma in Business Administration,Diploma,2 Years,,2800,7600,24300,Mar/Jun/Sept,,19
Diploma in Accountancy,Diploma,2.5 Years,,2800,8950,25650,Mar/Jun/Sept,,19
Diploma in Agricultural Science (Plantation Management),Diploma,2.5 Years,,2800,8980,23920,Mar/Jun/Sept,,19
Diploma in Biotechnology,Diploma,2.5 Years,,2800,8980,23920,Mar/Jun/Sept,,19
Diploma in Sports Science,Diploma,2.5 Years,,2800,8950,19350,Mar/Jun/Sept,,19
Intensive English,Certificate,1 Year,,2800,4300,10800,Anytime,,19
