course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,uid
CERTIFICATE IN HOTEL OPERATIONS,Certificate,1 Year 5 Months,4,2279,,18404,"Jan,Mar,May,Sep",,,,17
FOUNDATION IN ARTS     ,Foundation,1 Year,3,2279,,21880,"Jan,Mar,May,Sep",,,,17
FOUNDATION STUDIES (ART & TECHNOLOGY),Foundation,1 Year,3,2279,,22030,"Jan,Mar,May,Sep",,,,17
FOUNDATION IN ENGINEERING,Foundation,1 Year,3,2279,,22990,"Jan,Mar,May,Sep",,,,17
A-Level (Science),Foundation,2 Years,6,2279,,38185,"Jan,Mar,May,Sep",,,,17
A-Level (Arts),Foundation,2 Years,6,2279,,35410,"Jan,Mar,May,Sep",,,,17
A-Level (Pre-Law),Foundation,2 Years,6,2279,,25990,"Jan,Mar,May,Sep",,,,17
Diploma in Mass Communication,Diploma,2 Years,6,2279,,45340,"Jan,May,Sep",,,,17
Diploma in Entertainment Arts,Diploma,2 Years,6,2279,,45210,"Jan,May,Sep",,,,17
Diploma in Entrepreneurial Design,Diploma,2 Years,6,2279,,45340,"Jan,May,Sep",,,,17
Diploma in Computer Studies,Diploma,2 Years,6,2279,,43210,"Jan,May,Sep",,,,17
Diploma in Business Administration,Diploma,2 Years,6,2279,,40700,"Jan,May,Sep",,,,17
Diploma in Accountancy,Diploma,2 Years,6,2279,,40700,"Jan,May,Sep",,,,17
Diploma in Electrical and Electronics Engineering,Diploma,2 Years,6,2279,,42440,"Jan,May,Sep",,,,17
Diploma in International Hotel Management (IMI parchment),Diploma,2 Years,6,2279,,50920,"Jan,May,Sep",,,,17
Diploma in International Hotel Management,Diploma,2 Years,6,2279,,47670,"Jan,May,Sep",,,,17
Diploma in Culinary Arts (IMI parchment),Diploma,2 Years,6,2279,,53144,"Jan,May,Sep",,,,17
Diploma in Culinary Arts,Diploma,2 Years,6,2279,,49894,"Jan,May,Sep",,,,17
Bachelor of Culinary Management (Hons) (IMI parchment),Bachelor,3 Years,9,2279,,97351,"Jan,May,Sep",,,,17
Bachelor of Culinary Management (Hons),Bachelor,3 Years,9,2279,,83851,"Jan,May,Sep",,,,17
Bachelor of Culinary Management (Hons) (Italian cuisine),Bachelor,3 Years,9,2279,,110541,"Jan,May,Sep",,,,17
Bachelor of Hospitality Management (Hons) (IMI parchment),Bachelor,3 Years,9,2279,,97387,"Jan,May,Sep",,,,17
Bachelor of Hospitality Management (Hons),Bachelor,3 Years,9,2279,,83887,"Jan,May,Sep",,,,17
Bachelor of Law (UOL 3+0),Bachelor,3 Years,9,2279,,69485,"Jan,May,Sep",,,,17
Bachelor in Accounting & Finance (Hons),Bachelor,3 Years,9,2279,,70730,"Jan,May,Sep",,,,17
Bachelor of Business Information System(Hons) in Enterprise Information System,Bachelor,3 Years,9,2279,,58400,"Jan,May,Sep",,,,17
Bachelor of Hospitality Entrepreneurship (Hons) (IMI parchment),Bachelor,3 Years,9,2279,,97237,"Jan,May,Sep",,,,17
Bachelor of Hospitality Entrepreneurship (Hons),Bachelor,3 Years,9,2279,,82041,"Jan,May,Sep",,,,17
Bachelor of Arts(Hons) in Business Management (Chester 3+0),Bachelor,3 Years,9,2279,,74100,"Jan,May,Sep",,,,17
Bachelor of Arts(Hons) in International Business Management (Chester 3+0),Bachelor,3 Years,9,2279,,74100,"Jan,May,Sep",,,,17
Bachelor of Arts(Hons) in Global Entrepreneurship & Business Management (Chester 3+0),Bachelor,3 Years,9,2279,,74100,"Jan,May,Sep",,,,17
Master of Business Administration (MBA),Masters,1 Year,3,2279,,37000,"Jan,May,Sep",,,,17
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
