course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Certificate in Hotel Operations,Certificate,1 Year 5 Months,4,3150,,22290,"Jan,Mar,Jun,Sep",,,,,,17
Foundation in Arts     ,Foundation,1 Year,3,3150,6880,23330,"Jan,Mar,Jun,Sep",,,,,,17
Foundation Studies (Art & Technology),Foundation,1 Year,3,3150,6880,27475,"Jan,Mar,Jun,Sep",,,,,,17
Certified Accounting Technician (CAT)/Foundation in Accountancy (FIA),Certificate,1 Year,2,3150,8330,19230,"Jan,Mar,July",,,,,,17
Association of Chartered Certified Accountants (ACCA),Certificate,2.5 Years,5,3150,4645,35140,"Jan, July",,,,,,17
FOUNDATION IN ENGINEERING,Foundation,1 Year,3,3150,6880,28435,"Jan,Mar,Jun,Sep",,,,,,17
A-Level (Science),Foundation,1.5 Years,3,3150,11525,43225,"Jan,Mar,Jun,Sep",,,,,,17
A-Level (Arts),Foundation,1.5 Years,3,3150,5830,40480,"Jan,Mar,Jun,Sep",,,,,,17
A-Level (Pre-Law),Foundation,1 Years,3,3150,5230,30520,"Jan, July",,,,,,17
Diploma in Entertainment Arts,Diploma,2 Years,6,3150,6580,53770,"Jan,May,Sep",,,,,,17
Diploma in Entrepreneurial Design,Diploma,2 Years,6,3150,6430,53920,"Jan,Mar,Jun,Sep",,,,,,17
Diploma in Computer Studies,Diploma,2 Years,5,3150,6880,53040,"Jan,Mar,Jun,Sep",,,,,,17
Diploma in Communication & media,Diploma,2 Years,5,3150,6580,53910,"Jan,Mar,Jun,Sep",,,,,,17
Diploma in Sequential Art,Diploma,2 Years,6,3150,8110,56800,"Jan,Mar,Jun,Sep",,,,,,17
Diploma in Business Administration,Diploma,2 Years,6,3150,5280,49970,"Jan,Mar,Jun,Sep",,,,,,17
Diploma in Accountancy,Diploma,2 Years,6,3150,5280,49970,"Jan,Jun ,Sep",,,,,,17
Diploma in Electrical and Electronics Engineering,Diploma,2 Years,5,3150,7130,52820,"Jan,Mar,Jun,Sep",,,,,,17
Diploma in Mechanical Engineering,Diploma,2 Years,5,3150,7180,53660,"Jan,Mar,Jun,Sep",,,,,,17
Diploma in Food Service Management,Diploma,2 Years,6,3150,11680,27800,"Jan,May,Sep",,,,,,17
Diploma in International Hotel Management,Diploma,2 Years,6,3150,11680,58605,"Jan,Mar,Jun,Sep",,,,,,17
Diploma in Culinary Arts,Diploma,2 Years,6,3150,12580,63505,"Jan,Mar,Jun,Sep",,,,,,17
Bachelor of Culinary Management (Hons)Major:Culinary operation/baking pastry,Bachelor,3 Years,6,3150,10480,113710,"Jan,Jun,Sep",,,,,,17
Bachelor of Culinary Management (Hons) (Italian cuisine),Bachelor,3 Years,6,3150,73070,85775,"Jan,Jun,Sep",,,,,,17
Bachelor of Hospitality Management (Hons) (Food & Beverage/Tourism/Events management),Bachelor,3 Years,6,3150,10480,107650,"Jan,Jun,Sep",,,,,,17
Bachelor of Hospitality Entrepreneurship (Hons),Bachelor,3 Years,6,3150,10480,58725,"Jan,Jun,Sep",,,,,,17
"Bachelor of Law (LLB)  (Oxford Brookes University, Twinning Programme 2+1)",Bachelor,3 Years,6,3150,3188,54020,"Jan,Jun,Sep",,,,,,17
Bachelor of Law (LLB)  (UOL international Programmes),Bachelor,3 Years,6,3150,36191,34390,"Jan,May,Sep",,,,,,17
Bachelor of Business with Law  ,Bachelor,3 Years,8,3150,5530,82450,"Jan,Jun,Sep",,,,,,17
Bachelor of  Banking  & Finance (Hons),Bachelor,3 Years,8,3150,5530,85450,"Jan,Jun,Sep",,,,,,17
Bachelor of  Accounting (Hons),Bachelor,3 Years,8,3150,5530,89930,"Jan,Jun,Sep",,,,,,17
Bachelor of Business(Hons),Bachelor,3 Years,8,3150,5530,82450,"Jan,Jun,Sep",,,,,,17
Bachelor of Arts (Hons) in banking & Finance,Bachelor,3 Years,8,3150,5530,85450,"Jan,Jun,Sep",,,,,,17
Bachelor of Electrical & Electronic Engineering with Honors,Bachelor,4 Years,12,3150,7130,105950,"Jan,Jun,Sep",,,,,,17
Bachelor of Mechanical Engineering with Honours,Bachelor,4 Years,12,3150,7130,105580,"Jan,Jun,Sep",,,,,,17
Bachelor of Mechatronic Engineering with Honours,Bachelor,4 Years,12,3150,7130,105581,"Jan,Jun,Sep",,,,,,17
Bachelor of Communication (Hons,Bachelor,3 Years,8,3150,,83705,"Jan,Jun,Sep",,,,,,17
Bachelor of Communication (Hons) in Media Production,Bachelor,3 Years,8,3150,,84410,"Jan,Jun,Sep",,,,,,17
Bachelor of Communication (Hons) Public Relations,Bachelor,3 Years,8,3150,,84410,"Jan,Jun,Sep",,,,,,17
Bachelor of Creative Industry Management (Hons,Bachelor,3 Years,8,3150,,84110,"Jan,Jun,Sep",,,,,,17
Bachelor of Computer Science (Hons,Bachelor,3 Years,8,3150,,85985,"Jan,Jun,Sep",,,,,,17
Bachelor of Software Engineering (Hons),Bachelor,3 Years,8,3150,,83705,"Jan,Jun,Sep",,,,,,17
Bachelor of Information System (Hons) Enterprise Info.System,Bachelor,3 Years,8,3150,,83975,"Jan,Jun,Sep",,,,,,17
Bachelor of Game Development (Hons,Bachelor,3 Years,8,3150,,87050,"Jan,Jun,Sep",,,,,,17
Bachelor of Art (Hons) Digital Media Production,Bachelor,3 Years,8,3150,,83015,"Jan,Jun,Sep",,,,,,17
Master of Business Administration (MBA),Masters,1.6 Years,,3150,,44450,"Jan,Jun,Sep",,,,,,17
Postgraduate Certificate in Business Administration,Masters,1 Year,,3150,,27100,"Jan,Jun,Sep",,,,,,17
Postgraduate Diploma in Enterprise Risk Management,Masters,1 Year,,3150,,36900,"Jan,Jun,Sep",,,,,,17
Master of Arts (Communication Management,Masters,1 Year,,3150,,42200,"Jan,Jun,Sep",,,,,,17
Master of Design (Innovation),Masters,1 Year,,3150,,52450,"Jan,Jun,Sep",,,,,,17
MBA in Tourism Management,Masters,1 Year,,3150,,42200,"Jan,Jun,Sep",,,,,,17
Master of Art,Masters,1 Year,,3150,,47800,"Jan,Jun,Sep",,,,,,17
Master of Science,Masters,1 Year,,3150,,53800,"Jan,Jun,Sep",,,,,,17
Doctor of Philosophy (Engineering),PhD,9-18 SEM.,,3150,,77700,"Jan,Jun,Sep",,,,,,17
Doctor of Philosophy (Business),PhD,9-18 SEM.,,3150,,68700,"Jan,Jun,Sep",,,,,,17
