course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Foundation In Engineering,Foundation,1year,3,2700,6505,22000,March/June/October,,Melaka&Cyberjaya,,,,22
Foundation In Information Technology,Foundation,1 year,3,2700,6505,21000,March/June/October,,Melaka&Cyberjaya,,,,22
Foundation In English,Foundation,1 year,3,2700,6505,18000,March/June/October,,Cyberjaya,,,,22
Foundation In Life Science,Foundation,1 year,3,2700,6505,21000,March/June/October,,Melaka,,,,22
Foundation In Management,Diploma,1 year,3,2700,6505,20000,March/June/October,,Melaka&Cyberjaya,,,,22
Foundation In Business,Foundation,1 year,3,2700,6505,20000,March/June/October,,Melaka&Cyberjaya,,,,22
Foundation In Creative Multimedia,Foundation,1 year,3,2700,6505,18750,March/June/October,,Cyberjaya,,,,22
Foundation in Cinematic Arts,Foundation,1year,3,2700,6505,18750,March/June/October,,Johor,,,,22
Diploma In Electronic Engineering,Diploma,2.9 year,9,2700,6505,28750,March/June/October,,Melaka,,,,22
Diploma In Telecommunication Engineering,Diploma,2.3 year,9,2700,6505,24000,March/June/October,,Melaka,,,,22
Diploma In Information Technology,Diploma,2 years,6,2700,6505,26500,March/June/October,,Melaka&Cyberjaya,,,,22
Diploma In Business Information System,Diploma,2.3 year,9,2700,6505,20000,March/June/October,,Melaka,,,,22
Diploma In Business Administration,Diploma,2 years,6,2700,6505,25000,March/June/October,,Melaka,,,,22
Diploma In Accounting,Diploma,2 years,6,2700,6505,30000,March/June/October,,Melaka,,,,22
Diploma in Management  ,Diploma,2 years,6,2700,6505,25000,March/June/October,,Cyberjaya,,,,22
Diploma in Digital Motion Graphic,Diploma,2.3 years,6,2700,6505,28750,March/June/October,,Cyberjaya,,,,22
Diploma in Creative Audio,Diploma,2.3 years,6,2700,6505,28750,March/June/October,,Cyberjaya,,,,22
Diploma in 3D Modeling & Animation,Diploma,2.3 yeas,6,2700,6505,28750,March/June/October,,Cyberjaya,,,,22
Diploma in Finance,Diploma,2 years,6,2700,6505,25000,March/June/October,,Cyberjaya,,,,22
Bachelor Of Engineering(Hons.) Electrical,Bachelor,4 year,12,2700,6505,91500,March/June/October,,Cyberjaya,,,,22
Bachelor Of Engineering (Hons.) Electronics,Bachelor,4 year,12,2700,6505,91500,March/June/October,,Cyberjaya,,,,22
Bachelor Of Engineering (Hons.)Electronics majoring in Computer,Bachelor,4 year,12,2700,6505,91500,March/June/October,,Cyberjaya,,,,22
Bachelor Of Eng(Hons.)Electronics Majoring In Optical Eng.,Bachelor,4 year,12,2700,6505,91500,March/June/October,,Cyberjaya,,,,22
Bachelor Of Eng(Hons.)Electronics In Nanotechnology,Bachelor,4 year,12,2700,6505,91500,March/June/October,,Cyberjaya,,,,22
Bachelor Of Eng(Hons.)Majoring In Telecommunications,Bachelor,4 year,12,2700,6505,91500,March/June/October,,Cyberjaya/Melaka,,,,22
Bachelor Of Eng(Hons.)Electronics majoring In Robotics & Automation,Bachelor,4 year,12,2700,6505,91500,March/June/October,,Melaka,,,,22
Bachelor Of Engineering (Hons.) Mechanical,Bachelor,4 year,12,2700,6505,91500,March/June/October,,Melaka,,,,22
Bachelor Of Computer Science(Hons.),Bachelor,3 year,9,2700,6505,75000,March/June/October,"With Specializations in Software Eng,Information System,Game Development,Data Science",Cyberjaya,,,,22
Bachelor Of Information Tech(Hons.) Data Communication & Networking,Bachelor,3 year,9,2700,6505,75000,March/June/October,,Melaka,,,,22
Bachelor Of Information Tech(Hons.) Security Technology,Bachelor,3 year,9,2700,6505,75000,March/June/October,,Melaka,,,,22
Bachelor Of Information Tech(Hons.) Information Technology,Bachelor,3 year,9,2700,6505,75000,March/June/October,,Melaka,,,,22
Bachelor Of Information Tech(Hons.) Artificial Intelligence,Bachelor,3 year,9,2700,6505,75000,March/June/October,,Melaka,,,,22
Bachelor Of Communication( Strategic Communicaions),Bachelor,3 year,9,2700,6505,62500,March/June/October,,Cyberjaya,,,,22
Bachelor Of science(Hons.) BioInformatics,Bachelor,3 year,9,2700,6505,75000,March/June/October,,Melaka,,,,22
Bachelor Of Business Administration (hons.) Mgt with Multimedia,Bachelor,3 year,9,2700,6505,64800,March/June/October,,Cyberjaya,,,,22
Bachelor Of Enterprise Management System (Hons),Bachelor,3 year,9,2700,6505,65000,March/June/October,,Cyberjaya,,,,22
Bachelor Of Business Management,Bachelor,3 year,9,2700,6505,65000,March/June/October,,Cyberjaya,,,,22
Bachelor Of Marekting (Hons.),Bachelor,3 year,9,2700,6505,65000,March/June/October,,Cyberjaya,,,,22
Bachelor Of Financ  (Hons.),Bachelor,3 year,9,2700,6505,65000,March/June/October,,Cyberjaya,,,,22
Bachelor Of Analytical Economics (Hons.),Bachelor,4 year,9,2700,6505,65000,March/June/October,,Cyberjaya,,,,22
Bachelor Of Business Adm(Hons.) HRM,Bachelor,3 year,9,2700,6505,65000,March/June/October,,Melaka,,,,22
Bachelor Of Business Adm(Hons.) Marketing Mgt,Bachelor,3 year,9,2700,6505,65000,March/June/October,,Melaka,,,,22
Bachelor Of Business Adm(Hons.) International Business,Bachelor,3 year,9,2700,6505,65000,March/June/October,,Melaka,,,,22
Bachelor of Business & knowledge mgt (Hons.),Bachelor,3 year,9,2700,6505,65000,March/June/October,,Melaka,,,,22
Bachelor of Financila Engineering (Hons.),Bachelor,3.6 years,9,2700,6505,70200,March/June/October,,Cyberjaya,,,,22
Bachelor Of Business Administration Banking & Finance,Bachelor,3 year,9,2700,6505,65000,March/June/October,,Melaka,,,,22
Bachelor Of Multimedia (Hons) Media Arts,Bachelor,3 year,9,2700,6505,70200,March/June/October,,Cyberjaya,,,,22
Bachelor of Multimedia (Hons) Virtual Reality,Bachelor,3 year,9,2700,6505,75000,March/June/October,,Cyberjaya,,,,22
Bachelor Of Multimedia (Hons) Interface Design,Bachelor,3 year,9,2700,6505,75000,March/June/October,,Cyberjaya,,,,22
Bachelor Of Multimedia (Hons) Advertising Design,Bachelor,3 year,9,2700,6505,75000,March/June/October,,Cyberjaya,,,,22
Bachelor Of Multimedia (Hons) Animation & Visual Effects,Bachelor,3 year,9,2700,6505,75000,March/June/October,,Cyberjaya,,,,22
Bachelor of Cineamatic Arts (Hons.),Bachelor,4 year,9,2700,6505,75000,March/June/October,,Johor,,,,22
Masters Of Philosophy(Management),Masters,1-3 year,,2700,6505,3750,Anytime,,Cyberjaya&Melaka,,,,22
Masters Of Engineering Science,Masters,1-3 year,,2700,6505,3750,Anytime,,Cyberjaya&Melaka,,,,22
Masters Of Science(Information Technology),Masters,1-3 year,,2700,6505,3750,Anytime,,Cyberjaya&Melaka,,,,22
Masters Of Science(Creative Multimedia),Masters,1-3 year,,2700,6505,3750,Anytime,,Cyberjaya,,,,22
Masters Of Eng (Telecommunications),Masters,1-3 year,,2700,6505,36250,Apr/May/Sept/Nov,,Cyberjaya,,,,22
Masters Of Electrical & Electronics Engineering,Masters,1-3 year,,2700,6505,37050,Apr/May/Sept/Nov,,Cyberjaya,,,,22
Masters Of Engineering In Embedded System,Masters,1-3 year,,2700,6505,30400,Apr/May/Sept/Nov,,Melaka,,,,22
Masters Of Engineering In Advanced Mfg Management ,Masters,1-3 year,,2700,6505,28900,Apr/May/Sept/Nov,,Melaka,,,,22
Masters of Scince In Eng Business Mgt,Masters,1-3 year,,2700,6505,27800,Apr/May/Sept/Nov,,Cyberjaya,,,,22
Masters Of Business Adm (MBA),Masters,1-3 year,,2700,6505,33750,Apr/May/Sept/Nov,,Cyberjaya&Melaka,,,,22
Masters Of Knowledge Mgt with Multimedia ,Masters,1-3 year,,2700,6505,27500,Jan/Apr/ August,,Cyberjaya,,,,22
Masters Of Multimedia(E learning Technologies),Masters,1-3 year,,2700,6505,27500,Jan/Apr/ August,,Cyberjaya,,,,22
Executive Masters Of Business Administration,Masters,1-2year,,2700,6505,24000,Jan/Apr/ August,,Cyberjaya,,,,22
Masters Of Computer Science,Masters,1-3 year,,2700,6505,27500,Jan/Apr/ August,In Software Engineering & Software Architechture,Cyberjaya,,,,22
Doctor Of Philosophy (Engineering),Phd,2-5 year,,2700,6505,3750,Anytime,,Cyberjaya&Melaka,,,,22
Doctor Of Philosophy (Information technology),Phd,2-5 year,,2700,6505,3750,Anytime,,Cyberjaya&Melaka,,,,22
Doctor Of Philosophy ( Management),Phd,2-5 year,,2700,6505,3750,Anytime,,Cyberjaya&Melaka,,,,22
Doctor Of Philosophy (Creative Multimedia),Phd,2-5 year,,2700,6505,3750,Anytime,,Cyberjaya,,,,22
Doctor Of Business Administration (D.B.A),Phd,3-5 year,,2700,6505,52200,Anytime,,Cyberjaya,,,,22
