course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,uid
Diploma in Accounting,Diploma,2.5 Years ,,6188,5940,34610,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Management,Diploma,2.5 Years ,,6188,5940,32185,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Investment Management,Diploma,2.5 Years ,,6188,5940,33055,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Islamic Finance,Diploma,2.5 Years ,,6188,5940,32985,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Islamic Banking,Diploma,2.5 Years ,,6188,5940,39855,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Human Capital Management,Diploma,2.5 Years ,,6188,5940,32815,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Retail Management,Diploma,2.5 Years ,,6188,5940,32295,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Logistic Management,Diploma,2.5 Years ,,6188,5940,37750,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Entrepreneurship,Diploma,2.5 Years ,,6188,5940,35455,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Music Technology,Diploma,2.5 Years ,,6188,5940,46915,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Beauty Management,Diploma,2.5 Years ,,6188,5940,33900,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Hair Dressing,Diploma,2.5 Years ,,6188,5940,34235,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Spa Management,Diploma,2.5 Years ,,6188,5940,34295,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
"Diploma in Leisure, Outdoor And Adventure Management",Diploma,2.5 Years ,,6188,5940,34155,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Culinary Arts,Diploma,2.5 Years ,,6188,5940,36125,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
Diploma in Event Management,Diploma,2.5 Years ,,6188,5940,32995,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,26
