course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Diploma in Accounting,Diploma,2.5 Years ,,2509,3680,38790,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Management,Diploma,2.5 Years ,,2509,3680,36900,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Investment Management,Diploma,2.5 Years ,,2509,3680,41360,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Islamic Finance,Diploma,2.5 Years ,,2509,3680,41310,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Islamic Banking,Diploma,2.5 Years ,,2509,3680,44550,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Human Capital Management,Diploma,2.5 Years ,,2509,3680,40320,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Retail Management,Diploma,2.5 Years ,,2509,3680,37350,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Logistic Management,Diploma,2.5 Years ,,2509,3680,44550,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Entrepreneurship,Diploma,2.5 Years ,,2509,3680,41310,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Office Management Technology,Diploma,2.5 Years ,,2509,3680,41310,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Music Technology,Diploma,2.5 Years ,,2509,3680,53010,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Beauty Management,Diploma,2.5 Years ,,2509,3680,41040,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Hair Dressing,Diploma,2.5 Years ,,2509,3680,41040,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Spa Management,Diploma,2.5 Years ,,2509,3680,41130,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
"Diploma in Leisure, Outdoor And Adventure Management",Diploma,2.5 Years ,,2509,3680,38880,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Culinary Arts,Diploma,2.5 Years ,,2509,3680,41010,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Event Management,Diploma,2.5 Years ,,2509,3680,41310,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Fashion Design,Diploma,2.5 Years ,,2509,3680,41220,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Hospitality Management - Tourism,Diploma,2.5 Years ,,2509,3680,41220,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Pattiserrie Arts,Diploma,2.5 Years ,,2509,3680,54000,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Music ,Diploma,2.5 Years ,,2509,3680,49050,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Counseling And Guidance,Diploma,2.5 Years ,,2509,3680,37890,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Education - Tesl,Diploma,2.5 Years ,,2509,3680,42330,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Early Childhood Education,Diploma,2.5 Years ,,2509,3680,40410,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Management (Public Relations & Entertainment),Diploma,2.5 Years ,,2509,3680,41310,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Translation and Interpretation,Diploma,2.5 Years ,,2509,3680,42030,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Aircraft Maintenance Technology,Diploma,3 Years,,2509,3680,82980,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Computer Engineering,Diploma,2.5 Years ,,2509,3680,42310,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Computer Forensic,Diploma,2.5 Years ,,2509,3680,40950,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Electrical And Electronic Engineering,Diploma,2.5 Years ,,2509,3680,38880,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diloma in Mechanical Engineering,Diploma,2.5 Years ,,2509,3680,88020,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Mechanical Engineering (Air Conditioning & Refrigeration),Diploma,2.5 Years ,,2509,3680,83160,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Mechanical Engineering (Highrise Building Maintenance),Diploma,2.5 Years ,,2509,3680,82740,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Business Computing,Diploma,2.5 Years ,,2509,3680,41310,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Games Design And Animation,Diploma,2.5 Years ,,2509,3680,41310,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Graphic Design,Diploma,2.5 Years ,,2509,3680,41310,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Information Technology,Diploma,2.5 Years ,,2509,3680,37890,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Multimedia,Diploma,2.5 Years ,,2509,3680,40320,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Mobile wireless Technonogy,Diploma,2.5 Years ,,2509,3680,41310,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Creative Visual,Diploma,2.5 Years ,,2509,3680,57960,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Interior Design,Diploma,2.5 Years ,,2509,3680,57960,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
diploma in information management,Diploma,2.5 Years ,,2509,3680,38880,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Medical Science,Diploma,3.5 Years ,,2509,3680,63390,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Medical Laboratory Technology,Diploma,3 Years,,2509,3680,63390,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Occupational Safety And Health,Diploma,3 Years,,2509,3680,69010,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Radiotherapy,Diploma,3 Years,,2509,3680,86720,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Medical Assistant,Diploma,3 Years,,2509,3680,63340,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Nursing,Diploma,3 Years,,2509,3680,99300,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Physiotherapy,Diploma,3 Years,,2509,3680,84880,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Sport Science,Diploma,2.5 Years ,,2509,3680,41310,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Ophtalmic Dispensing,Diploma,3 Years,,2509,3680,73800,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Traditional Chinese Medicine,Diploma,2.5 Years ,,2509,3680,77540,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Diploma in Pharmacy,Diploma,2.5 Years ,,2509,3680,57560,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Foundation in Science (Biological Science / Health Science),Foundation,1 Year,,2509,4210,20160,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Foundation in Business,Foundation,1 Year,,2509,4210,18650,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Foundation in Law,Foundation,1 Year,,2509,4210,18650,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Foundation in Information Technology,Foundation,1 Year,,2509,4210,18650,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Foundation in Engineering And Technology,Foundation,1 Year,,2509,4210,18650,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Foundation in Visual Arts,Foundation,1 Year,,2509,4210,20150,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Foundation in Tesl,Foundation,1 Year,,2509,4210,18650,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in International Business (Hons),Bachelor,3 Years,,2509,4010,67995,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Industrial Management (Hons),Bachelor,3 Years,,2509,4010,60705,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Law And Commerce (Hons),Bachelor,3 Years,,2509,4010,67935,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Human Capital Management (Hons),Bachelor,3 Years,,2509,4010,65115,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Accounting (Hons),Bachelor,4 Years,,2509,4010,77040,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Investment Management (Hons),Bachelor,3 Years,,2509,4010,65115,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Islamic Management (Hons),Bachelor,3 Years,,2509,4010,69330,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Finance (Hons),Bachelor,3 Years,,2509,4010,67770,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Marketing With Psychology (Hons),Bachelor,3 Years,,2509,4010,61650,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Retail Management (Hons),Bachelor,3 Years,,2509,4010,57900,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Takaful (Hons),Bachelor,3 Years,,2509,4010,77010,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Islamic Finance (Hons),Bachelor,3 Years,,2509,4010,77010,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Islamic Banking (Hons),Bachelor,3 Years,,2509,4010,77010,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Enterprenuership (Hons),Bachelor,3.5 Years,,2509,4010,77000,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Office management Technology (Hons),Bachelor,3.5 Years,,2509,4010,63735,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
Bachelor in Logistics management (Hons),Bachelor,3 Years,,2509,4010,77010,FEB/JUL/SEP,,"deadline 6th Jan, 9th Jun, 6th Jul",,,,26
