course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Foundation in Arts,Foundation,1 Year,2,2650,6400,"10,650","Jan, May, Sept",,,,,,70
Foundation in Science,Foundation,1 Year,2,2650,6400,"11,118","Jan, May, Sept",,,,,,70
Bachelor of Professional Communication,Bachelor,3 Years,6,"2,650",9450,"58,500","Feb, June, Sept",,,,,,70
Bachelor of Arts (Honours) in Public Relations and Event Management,Bachelor,3 Years,6,"2,650",9450,"46,500","Feb, June, Sept",,,,,,70
Bachelor of Arts in Digital Media Production (Honours),Bachelor,3 Years,6,"2,650",11050,"49,200","Feb, June, Sept",,,,,,70
Master of Arts (Professional Communication),Masters,1.5 Years,3,"2,650",7900,"34,400","Feb, June, Sept",,,,,,70
PhD (Professional Communication),PhD,3 Years,6,"2,650",15750,36300,"Feb, Sept",,,,,,70
BBA (Hons) in Finance,Bachelor,3 Years,6,"2,650",9450,58560,"Feb, June, Sept",,,,,,70
BBA (Hons) in Entrepreneurship,Bachelor,3 Years,6,"2,650",9450,58560,"Feb, June, Sept",,,,,,70
BBA (Hons) in International Business,Bachelor,3 Years,6,"2,650",9450,58560,"Feb, June, Sept",,,,,,70
BBA (Hons) in Marketing,Bachelor,3 Years,6,"2,650",9450,58560,"Feb, June, Sept",,,,,,70
BBA (Hons) in Human Resource Management,Bachelor,3 Years,6,"2,650",9450,58560,"Feb, June, Sept",,,,,,70
BBA (Hons) in Islamic Finance,Bachelor,3 Years,6,"2,650",9450,58560,"Feb, June, Sept",,,,,,70
Bachelor in Accounting (Honours),Bachelor,3 Years,6,"2,650",9450,69600,"Feb, Sept",,,,,,70
Bachelor of Real Estate Management & Auction (Hons),Bachelor,3 Years,6,"2,650",9175,55055,"Feb, Sept",,,,,,70
Master of Business Administration,Masters,2 Years,4,"2,650",8100,48840,"Feb, Sept",,,,,,70
Doctor of Business Administration (DBA),PhD,3 Years,6,"2,650",9750,45600,"Feb, Sept",,,,,,70
Doctor of Philosophy (Business),PhD,3 Years,6,"2,650",9750,40390,"Feb, Sept",,,,,,70
Bachelor of Science (Hons) in Psychology,Bachelor,3 Years,6,"2,650",8900,61375,"Feb, Sept",,,,,,70
Bachelor of Science (Hons.) in Early Childhood Education,Bachelor,3 Years,6,"2,650",9175,47400,"Feb, Sept",,,,,,70
Bachelor of Computer Science (Hons),Bachelor,3 Years,6,"2,650",11625,60960,"Feb, June, Sept",,,,,,70
Bachelor of Information Technology (Hons),Bachelor,3 Years,6,"2,650",11625,44530,"Feb, June, Sept",,,,,,70
Bachelor of Science (Hons) in Biotechnology,Bachelor,3 Years,6,"2,650",15300,52560,"Feb, June, Sept",,,,,,70
Master of Science in Internet Engineering,Masters,2 Years,4,"2,650",8700,34000,"Feb, Sept",,,,,,70
Master of Science in Project Management,Masters,2 Years,4,"2,650",7500,34400,"Feb, Sept",,,,,,70
Doctor of Philosophy (Project Management),PhD,3 Years,6,"2,650",14100,37500,"Feb, Sept",,,,,,70
Doctor of Philosophy (Computer Science),PhD,4 Years,6,"2,650",12900,39600,"Feb, Sept",,,,,,70
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
