course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Foundation in Science,Foundation,1 Year,,3000,1800,19200, January/April/June/September,,,8800,,,49
Foundation in Business,Foundation,1 Year,,3000,1800,16000, January/April/June/September,,,5600,,,49
Master of Medical Science (Anatomy),Masters,2 Years,,3000,3300,48000, January/April/June/September,,,17100,,,49
Master of Medical Scienes,Masters,1.5 Years,,3000,3300,48000, January/April/June/September,,,17100,,,49
Bachelor of Medicine and Bachelor of Surgery,Bachelor,5 Years,,3000,2900,428200, January/April/June/September,,,10000,,,49
Bachelor in Biomedical Sciences (Hons),Bachelor,4 Years,,3000,2900,104400, January/April/June/September,,,12550,,,49
Bachelor of Science Biotechnology (Honours),Bachelor,3 Years,,3000,2900,78450, January/April/June/September,,,10800,,,49
Bachelor of Biomedical Sciences (Hons),Bachelor,3 Years,,3000,0,58650, January/April/June/September,,,13500,,,49
Diploma in Medical Laboratory Technology,Diploma,3 Years,,3000,800,53700, January/April/June/September,,,19700,,,49
Diploma in Paramedical Science,Diploma,3 Years,,3000,800,53700, January/April/June/September,,,19700,,,49
Doctor of Philosophy (PhD) in Nursing,PhD,3 Years,,3000,300,82860, January/April/June/September,,,39110,,,49
Master of Science in Public Health,Masters,1.5 Years,,3000,3300,36450, January/April/June/September,,,5550,,,49
Master of Nursing,Masters,2 Years,,3000,3300,47940, January/April/June/September,,,17040,,,49
Master of Science in Public Health,Masters,1.5 Years,,3000,0,37050, January/April/June/September,,,8450,,,49
Bachelor of Science (Hons) Nursing,Bachelor,4 Years,,3000,2900,104440, January/April/June/September,,,43990,,,49
Bachelor of Nursing (Hons) Public Health,Bachelor,3 Years,,3000,2900,54300, January/April/June/September,,,5650,,,49
Bachelor of Hospital Management (Hons),Bachelor,3 Years,,3000,2900,62670, January/April/June/September,,,14070,,,49
Bachelor of Science (Hons) Nursing,Bachelor,3 Years,,3000,0,66180, January/April/June/September,,,23830,,,49
Bachelor of Nursing Sciences (Hons),Bachelor,3 Years,,3000,0,58680, January/April/June/September,,,23830,,,49
Advanced Diploma in Midwifery,Bachelor,1 Year,,3000,1800,27380, January/April/June/September,,,1980,,,49
Advanced Diploma in Paediatric Nursing,Bachelor,1 Year,,3000,1800,27380, January/April/June/September,,,1980,,,49
Diploma in Nursing,Diploma,3 Years,,3000,800,53700, January/April/June/September,,,19700,,,49
Post Basic Certificate in Renal Nursing,Certificate,0.5 Years,,3000,800,14180, January/April/June/September,,,5380,,,49
Doctor of Restorative Dentistry (DrResDent),PhD,3 Years,,3000,6300,315250, January/April/June/September,,,,,,49
Master of Orofacial Sciences,Masters,1 Year,,3000,5800,114300, January/April/June/September,,,7000,,,49
Doctor of Dental Surgery,PhD,5 Years,,3000,2900,435500, January/April/June/September,,,35000,,,49
Diploma in Dental Technology,Diploma,3 Years,,3000,800,66360, January/April/June/September,,,32360,,,49
PhD in Pharmacy,PhD,3 Years,,3000,3300,73980, January/April/June/September,,,30280,,,49
Master in Pharmacy,Masters,2 Years,,3000,3300,49380, January/April/June/September,,,21180,,,49
Bachelor of Science (Honours) in Pharmaceutical Technology,Bachelor,3 Years,,3000,2900,78240, January/April/June/September,,,11940,,,49
Bachelor of Pharmacy (Hons),Bachelor,4 Years,,3000,2900,184320, January/April/June/September,,,83920,,,49
Diploma in Pharmac,Diploma,3 Years,,3000,800,53640, January/April/June/September,,,19640,,,49
Master of Physiotherapy,Masters,1 Year,,3000,3300,47940, January/April/June/September,,,19240,,,49
Bachelor of Environmental Health and Safety (Hons),Bachelor,4 Years,,3000,2900,94440, January/April/June/September,,,43990,,,49
Bachelor of Medical Imaging (Hons),Bachelor,4 Years,,3000,2900,94440, January/April/June/September,,,43.99,,,49
Bachelor of Physiotherapy (Hons),Bachelor,4 Years,,3000,2900,104440, January/April/June/September,,,12590,,,49
Bachelor of Physiotherapy (Hons),Bachelor,3 Years,,3000,0,58680, January/April/June/September,,,11830,,,49
Diploma in Environmental Health,Diploma,3 Years,,3000,800,53730, January/April/June/September,,,19730,,,49
Diploma in Medical Imaging (Radiography),Diploma,3 Years,,3000,800,53730, January/April/June/September,,,19730,,,49
Diploma in Physiotherapy,Diploma,3 Years,,3000,800,53730, January/April/June/September,,,19730,,,49
Bachelor of Engineering (Hons) in Electrical & Electronic Engineering,Bachelor,4 Years,,3000,2900,117160, January/April/June/September,,,40460,,,49
Bachelor of Mechanical Engineering with Honours,Bachelor,4 Years,,3000,2900,127160, January/April/June/September,,,50460,,,49
Diploma in Electrical and Electronic Engineering,Diploma,2.5 Years,,3000,800,40775, January/April/June/September,,,14975,,,49
Diploma in Mechanical Engineering,Diploma,2.5 Years,,3000,800,40775, January/April/June/September,,,14975,,,49
Bachelor of Civil Engineering with Honours,Bachelor,4 Years,,3000,2900,127160, January/April/June/September,,,50460,,,49
Diploma in Civil Engineering,Diploma,2.5 Years,,3000,800,40775, January/April/June/September,,,14975,,,49
Diploma in Quantity Surveying,Diploma,2.5 Years,,3000,800,40775, January/April/June/September,,,14975,,,49
Master of Business Administration,Masters,1 Year,,3000,3300,52880, January/April/June/September,,,28180,,,49
Master of Business Administration (Hospital Management),Masters,1 Year,,3000,3300,52880, January/April/June/September,,,28180,,,49
Master of Business Administration,Masters,1 Year,,3000,0,40830, January/April/June/September,,,15930,,,49
Master of Business Administration,Masters,1 Year,,3000,0,35830, January/April/June/September,,,15930,,,49
Master of Business Administration (Hospital Management),Masters,1 Year,,3000,0,40830, January/April/June/September,,,15930,,,49
Master of Business Administration (Hospital Management),Masters,1 Year,,3000,0,35830, January/April/June/September,,,15930,,,49
Bachelor of Accounting (Hons),Bachelor,3 Years,,3000,2900,64470, January/April/June/September,,,15870,,,49
Bachelor of Business Administration,Bachelor,3 Years,,3000,2900,64470, January/April/June/September,,,15870,,,49
Bachelor of Science (Hons) in Islamic Finance,Bachelor,3.5 Years,,3000,2900,64680, January/April/June/September,,,18880,,,49
Bachelor of Information Technology (Hons),Bachelor,3 Years,,3000,2900,64470, January/April/June/September,,,15870,,,49
Bachelor of Business Administration,Bachelor,3 Years,,3000,0,52560, January/April/June/September,,,13360,,,49
Bachelor of Business Administration,Bachelor,3 Years,,3000,0,45060, January/April/June/September,,,13360,,,49
Diploma in Accounting,Diploma,2 Years,,3000,800,33180, January/April/June/September,,,9780,,,49
Diploma in Business Administration,Diploma,2 Years,,3000,800,33180, January/April/June/September,,,9780,,,49
Diploma in Human Resource Management,Diploma,2.5 Years,,3000,800,40700, January/April/June/September,,,15100,,,49
Diploma in Marketing,Diploma,2.5 Years,,3000,800,40700, January/April/June/September,,,15100,,,49
Diploma in Information Technology,Diploma,2.5 Years,,3000,800,40700, January/April/June/September,,,15100,,,49
Diploma in Hotel Management,Diploma,2.5 Years,,3000,800,41300, January/April/June/September,,,15500,,,49
Diploma in Restaurant Management,Diploma,2.5 Years,,3000,800,41300, January/April/June/September,,,15500,,,49
Diploma in Early Childhood Education,Diploma,2.5 Years,,3000,800,40700, January/April/June/September,,,15100,,,49
Diploma in Teaching English as a Second Language (TESL),Diploma,2.5 Years,,3000,800,40700, January/April/June/September,,,15100,,,49
