c_key,c_value,c_id
Full Payment,15000,517
No. Credits,50,517
RM/Credit,300,517
Tuition Fees,15000,517
Minimun payable Credit,18,517
Full Payment,15000,518
No. Credits,50,518
RM/Credit,300,518
Tuition Fees,15000,518
Minimun payable Credit,18,518
Full Payment,28800,519
No. Credits,90,519
RM/Credit,320,519
Tuition Fees,28800,519
Minimun payable Credit,18,519
Full Payment,28800,520
No. Credits,90,520
RM/Credit,320,520
Tuition Fees,28800,520
Minimun payable Credit,18,520
Full Payment,37470,521
No. Credits,90,521
RM/Credit,375,521
Tuition Fees,37470,521
Minimun payable Credit,18,521
Full Payment,32630,522
No. Credits,90,522
RM/Credit,335,522
Tuition Fees,32630,522
Minimun payable Credit,18,522
Full Payment,30750,523
No. Credits,90,523
RM/Credit,325,523
Tuition Fees,30750,523
Minimun payable Credit,18,523
Full Payment,28800,524
No. Credits,90,524
RM/Credit,320,524
Tuition Fees,28800,524
Minimun payable Credit,18,524
Full Payment,28800,525
No. Credits,90,525
RM/Credit,320,525
Tuition Fees,28800,525
Minimun payable Credit,18,525
Full Payment,34000,526
No. Credits,90,526
RM/Credit,340,526
Tuition Fees,34000,526
Minimun payable Credit,18,526
Full Payment,30150,527
No. Credits,90,527
RM/Credit,335,527
Tuition Fees,30150,527
Minimun payable Credit,18,527
Full Payment,44785,528
No. Credits,90,528
RM/Credit,435,528
Tuition Fees,44785,528
Minimun payable Credit,18,528
Full Payment,31500,529
No. Credits,90,529
RM/Credit,350,529
Tuition Fees,31500,529
Minimun payable Credit,18,529
Full Payment,44610,530
No. Credits,105,530
RM/Credit,370,530
Tuition Fees,44610,530
Minimun payable Credit,18,530
Full Payment,45740,531
No. Credits,93,531
RM/Credit,380,531
Tuition Fees,45740,531
Minimun payable Credit,18,531
Full Payment,31500,532
No. Credits,90,532
RM/Credit,350,532
Tuition Fees,31500,532
Minimun payable Credit,18,532
Full Payment,31500,533
No. Credits,90,533
RM/Credit,350,533
Tuition Fees,31500,533
Minimun payable Credit,18,533
Full Payment,31500,534
No. Credits,90,534
RM/Credit,350,534
Tuition Fees,31500,534
Minimun payable Credit,18,534
Full Payment,27880,535
No. Credits,41,535
RM/Credit,680,535
Tuition Fees,27880,535
Minimun payable Credit,18,535
Full Payment,27200,536
No. Credits,40,536
RM/Credit,680,536
Tuition Fees,27200,536
Minimun payable Credit,18,536
Full Payment,27200,537
No. Credits,40,537
RM/Credit,680,537
Tuition Fees,27200,537
Minimun payable Credit,18,537
Full Payment,56700,538
No. Credits,126,538
RM/Credit,450,538
Tuition Fees,56700,538
Minimun payable Credit,18,538
Full Payment,54000,539
No. Credits,120,539
RM/Credit,450,539
Tuition Fees,54000,539
Minimun payable Credit,18,539
Full Payment,54000,540
No. Credits,120,540
RM/Credit,450,540
Tuition Fees,54000,540
Minimun payable Credit,18,540
Full Payment,54000,541
No. Credits,120,541
RM/Credit,450,541
Tuition Fees,54000,541
Minimun payable Credit,18,541
Full Payment,54000,542
No. Credits,120,542
RM/Credit,450,542
Tuition Fees,54000,542
Minimun payable Credit,18,542
Full Payment,54000,543
No. Credits,120,543
RM/Credit,450,543
Tuition Fees,54000,543
Minimun payable Credit,18,543
Full Payment,54000,544
No. Credits,120,544
RM/Credit,450,544
Tuition Fees,54000,544
Minimun payable Credit,18,544
Full Payment,56400,545
No. Credits,120,545
RM/Credit,470,545
Tuition Fees,56400,545
Minimun payable Credit,18,545
Full Payment,56400,546
No. Credits,120,546
RM/Credit,470,546
Tuition Fees,56400,546
Minimun payable Credit,18,546
Full Payment,56400,547
No. Credits,120,547
RM/Credit,470,547
Tuition Fees,56400,547
Minimun payable Credit,18,547
Full Payment,54000,548
