course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
MBA in Marketing,MBA,1.5,5,2250,800,36056,Jan/May/Sept,Application fee =220Rm,,,,,67
MBA in Human Potential Management,MBA,1.5,5,2250,800,36056,Jan/May/Sept,Application fee =220Rm,,,,,67
MBA in Accounting,MBA,1.5,5,2250,800,31556,Jan/May/Sept,Application fee =220Rm,,,,,67
MBA in General Management,MBA,1.5,5,2250,800,31556,Jan/May/Sept,Application fee =220Rm,,,,,67
MBA in Cororate Governance,MBA,1.5,5,2250,800,31556,Jan/May/Sept,Application fee =220Rm,,,,,67
MSC in Management,MSC,2,4,2250,800,16556,Jan/May/Sept,Application fee =220Rm,,,,,67
MSC in Finance,MSC,2,4,2250,800,16556,Jan/May/Sept,Application fee =220Rm,,,,,67
MSC in Accounting,MSC,2,4,2250,800,16556,Jan/May/Sept,Application fee =220Rm,,,,,67
MSC in Hospitality,MSC,2,4,2250,800,16556,Jan/May/Sept,Application fee =220Rm,,,,,67
MSC in Marketing,MSC,2,4,2250,800,16556,Jan/May/Sept,Application fee =220Rm,,,,,67
MSC in Human Potential ,MSC,2,4,2250,800,16556,Jan/May/Sept,Application fee =220Rm,,,,,67
MSC in Governance,MSC,2,4,2250,800,16556,Jan/May/Sept,Application fee =220Rm,,,,,67
PHD in Management,PHD,3,6,2250,800,34556,Jan/May/Sept,Application fee =220Rm,"2 years tution fee =25156, 4 years = 42596",,,,67
PHD in Finance,PHD,3,6,2250,800,34556,Jan/May/Sept,Application fee =220Rm,"2years tution fee =25156, 4 years = 42596",,,,67
PHD in Accounting,PHD,3,6,2250,800,34556,Jan/May/Sept,Application fee =220Rm,"2 years tution fee =25156, 4 years = 42596",,,,67
PHD in Hospitality,PHD,3,6,2250,800,34556,Jan/May/Sept,Application fee =220Rm,"2 years tution fee =25156, 4 years = 42596",,,,67
PHD in Marketing,PHD,3,6,2250,800,34556,Jan/May/Sept,Application fee =220Rm,"2 years tution fee =25156, 4 years = 42596",,,,67
PHD in Human Potential ,PHD,3,6,2250,800,34556,Jan/May/Sept,Application fee =220Rm,"2years tution fee =25156, 4 years = 42596",,,,67
PHD in Governance,PHD,3,6,2250,800,34556,Jan/May/Sept,Application fee =220Rm,"2years tution fee =25156, 4 years = 42596",,,,67
