course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Foundation in Business,Foundation,1 Year,3,2300,3400,9500,April /july/Sep,,,,,,68
Foundation in Science,Foundation,1 Year,3,2300,3400,12500,April /july/Sep,,,,,,68
Foundation in Arts,Foundation,1 Year,3,2300,3400,18500,April /july/Sep,,,9000,,,68
Diploma in Hotel Management,Diploma,2.5 Years,6,2300,3400,42000,April /july/Sep,,,19500,,,68
Diploma in Business Management,Diploma,2.5 Years,7,2300,3400,36000,April /july/Sep,,,13500,,,68
Diploma of Accountancy,Diploma,2.5 Years,9,2300,3400,36000,April /july/Sep,,,13500,,,68
Diploma in Information technology,Diploma,2.5 Years,12,2300,3400,45000,April /july/Sep,,,22500,,,68
Diploma in Machatronics Engineering,Diploma,2.5 Years,9,2300,3400,50000,April /july/Sep,,,27500,,,68
Diploma in Environmental Engineering,Diploma,2.5 Years,9,2300,3400,50000,April /july/Sep,,,27500,,,68
Diploma in Business Information System,Diploma,2.5 Years,10,2300,3400,45000,April /july/Sep,,,22500,,,68
Diploma in Early Childhood Education,Diploma,2.5 Years,10,2300,3400,40000,April /july/Sep,,,17500,,,68
Bachelor of Business Administration,Bachelor,3 Years,10,2300,3400,36000,April /july/Sep,,,,,,68
Bachelor of Computer Science,Bachelor,3 Years,10,2300,3400,36000,April /july/Sep,,,,,,68
Bachelor of Accountancy  (Hons) ,Bachelor,4 Years,10,2300,3400,62000,April /july/Sep,,,22000,,,68
Bachelor of Business Administration (Hons) in Hospitality & Tourism Management,Bachelor,3 Years,12,2300,3400,46800,April /july/Sep,,,10800,,,68
Bachelor of Arts (Hons) TESL ( Teaching English as Second Language),Bachelor,3.5 Years,12,2300,3400,39000,April /july/Sep,,,6000,,,68
Bachelor of Corporate Communication (Hons),Bachelor,3 Years,15,2300,3400,62000,April /july/Sep,,,26000,,,68
Bachelor of Mass Communication (Hons) Journalism,Bachelor,3 Years,15,2300,3400,72000,April /july/Sep,,,36000,,,68
Bachelor of Mass Communication (Hons) Advertising,Bachelor,3 Years,12,2300,3400,72000,April /july/Sep,,,36000,,,68
Bachelor of Information Technology,Bachelor,3 Years,12,2300,3400,65000,April /july/Sep,,,29000,,,68
Bachelor ofBusiness Information System (Hons),Bachelor,3 Years,3,2300,3400,65000,April /july/Sep,,,29000,,,68
Bachelor of Environmental Technology,Bachelor,3 Years,3,2300,3400,65000,April /july/Sep,,,21000,,,68
Bachelor of Science (Hons) Actuarial Science,Bachelor,3 Years,6,2300,3400,60000,April /july/Sep,,,18000,,,68
Bachelor of Finance,Bachelor,3 Years,6,2300,3400,46800,April /july/Sep,,,10800,,,68
Bachelor of Electronics & Communications Engineering with Honours,Bachelor,4 Year,3,2300,3400,62400,April /july/Sep,,,14400,,,68
Bachelor of Science (Hons) in Biotechnology,Bachelor,4 Years,4,2300,3400,62400,April /july/Sep,,,14400,,,68
Bachelor of Machatronics Engineering with Honours,Bachelor,4 Year,3,2300,3400,80000,April /july/Sep,,,32000,,,68
Bachelor of Early Childhood Education,Bachelor,3 Years,6,2300,3400,56000,April /july/Sep,,,20000,,,68
Bachelor of Special Needs Education,Bachelor,3 Year,3,2300,3400,56000,April /july/Sep,,,22000,,,68
Bachelor of Science (Hons) in Chemistry,Bachelor,3 Years,6,2300,3400,64000,April /july/Sep,,,22000,,,68
Bachelor of Biomedical Science  (Hons),Bachelor,4 Years,6,2300,3400,90000,April /july/Sep,,,42000,,,68
Master of Science,Master,4 Years,6,2300,3400,50000,April /july/Sep,,,30000,,,68
Master of Business Administration (MBA),Master,2.5 Years,5,2300,3400,40000,April /july/Sep,,,16000,,,68
PhD in Science,PhD ,5 Years,,2300,3400,59000,April /july/Sep,,,49000,,,68
PhD in Business Administration ,PhD ,5 Years,,2300,3400,55000,April /july/Sep,,,34000,,,68
Doctor of  Business Administration ,PhD ,4 Years,,2300,3400,70000,April /july/Sep,,,34000,,,68
Bachelor of Pharmacy (Hons),Bachelor,4 Years,,2300,3400,166000,April /july/Sep,,,66000,,,68
Bachelor of Medicine and Bachelor of Surgery(MBBS),Bachelor,5 Years,,2300,3400,420000,April /Sep,,,120000,,,68
