course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
FOUNDATION IN LIBERAL ARTS,Foundation,1year,3,3000,10000,14500,"JAN,MAY,SEP",,,,,,72
FOUNDATION IN BUSINESS,Foundation,1 year,3,3000,10000,14500,"JAN,MAY,SEP",,,,,,72
Diploma In Interior Design,Diploma,2.4years,6,4500,11000,40050,"JAN,MAY,SEP",,,,,,72
Diploma In Visual Communication,Diploma,2.4years,6,4500,11000,40050,"JAN,MAY,SEP",,,,,,72
Diploma In Digital Game Arts,Diploma,2.4years,6,4500,11000,44000,"JAN,MAY,SEP",,,,,,72
Diploma In Fashion Design,Diploma,2.4years,6,4500,11000,44000,"JAN,MAY,SEP",,,,,,72
Diploma In Business Studies,Diploma,2years,6,4500,10000,29500,"JAN,MAY,SEP",,,,,,72
Diploma In HRM,Diploma,2years,6,4500,10000,29500,"JAN,MAY,SEP",,,,,,72
Diploma In Psychology,Diploma,2years,6,4500,10000,29500,"JAN,MAY,SEP",,,,,,72
Bachelor Of Fashion Design (Honours),Bachelor,3years,9,4500,12000,87950,"JAN,MAY,SEP",,,,,,72
Bachelor Of Interior Design (Honours),Bachelor,3.6 years,10,4500,12600,112700,"JAN,MAY,SEP",,,,,,72
Bachelor Of Graphic Design (Honours,Bachelor,3years,9,4500,12600,87950,"JAN,MAY,SEP",,,,,,72
Bachelor Of Multimedia Design (Honours),Bachelor,3years,9,4500,12600,87950,"JAN,MAY,SEP",,,,,,72
Bachelor Of Business Administration (Honours),Bachelor,3  Years ,9,4500,12000,82500,"JAN,MAY,SEP",,,,,,72
Bachelor Of Supply Chain Management (Honours,Bachelor,3years,9,4500,12000,77000,"JAN,MAY,SEP",,,,,,72
Bachelor Of Psychology (Honours),Bachelor,3years,9,4500,12000,60500,"JAN,MAY,SEP",,,,,,72
Bachelor Of Accountancy (Honours),Bachelor,4years,12,4500,12000,83500,"JAN,MAY,SEP",,,,,,72
Bachelor Of Information System (Honours)-A.I,Bachelor,3years,9,4500,12000,66000,"JAN,MAY,SEP",,,,,,72
Bachelor Of Business (Accountancy) (Honours,Bachelor,3years,9,4500,12000,66000,"JAN,MAY,SEP",,,,,,72
MASTER OF BUSINESS ADMINISTRATION ,Masters,1.4years,4,4500,,40500,"JAN,MAY,SEP",,,,,,72
Doctor of Philosophy in Business Administration,PhD,3-6 years,,4500,,35500,"JAN,MAY,SEP",,,,,,72
