course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Swinburne Foundation Studies (Business,Foundation,1 year,3,1250,2350,24300,"Jan, Apr, Sep, Oct",,,,,,73
Swinburne Foundation Studies (Design),Foundation,1 year,3,1250,2350,24300,"Jan, Apr, Sep, Oct",,,,,,73
Swinburne Foundation Studies (Information Technology/Multimedia,Foundation,1 year,3,1250,2350,24300,"Jan, Apr, Sep, Oct",,,,,,73
Swinburne Foundation Studies (Engineering/Science,Foundation,1 year,3,1250,2350,24300,"Jan, Apr, Sep, Oct",,,,,,73
Diploma of Business Management,Diploma,2.5 Years ,5,1250,2350,40100,"Apr, Sep.",,,,,,73
Bachelor of Business (Accounting),Bachelor,3 years,9,1250,2350,92040,"Jan, Mar, Sep, Oct",,,,,,73
Bachelor of Business (Accounting and Finance),Bachelor,3 years,9,1250,2350,92040,"Jan, Mar, Sep, Oct",,,,,,73
Bachelor of Business (Finance),Bachelor,3 years,9,1250,2350,92040,"Jan, Mar, Sep, Oct",,,,,,73
Bachelor of Business ,Bachelor,3 years,9,1250,2350,92040,"Jan, Mar, Sep, Oct",,,,,,73
Bachelor of Business (Human Resource Management),Bachelor,3 years,9,1250,2350,92040,"Jan, Mar, Sep, Oct",,,,,,73
Bachelor of Business (International Business),Bachelor,3 years,9,1250,2350,92040,"Jan, Mar, Sep, Oct",,,,,,73
Bachelor of Business (Management),Bachelor,3 years,9,1250,2350,92040,"Jan, Mar, Sep, Oct",,,,,,73
Bachelor of Business (Management and Digital Media),Bachelor,3 years,9,1250,2350,92040,"Jan, Mar, Sep, Oct",,,,,,73
Bachelor of Business (Marketing),Bachelor,3 years,9,1250,2350,92040,"Jan, Mar, Sep, Oct",,,,,,73
Bachelor of Design with a major in Graphic Design,Bachelor,3  Years ,9,1250,2350,114000,"Mar, Sep",,,,,,73
Bachelor of Design (Multimedia Design),Bachelor,3 years,9,1250,2350,114000,"Mar, Sep",,,,,,73
Bachelor of Engineering (Honours)(Chemical),Bachelor,4 years,12,1250,2350,160000,"Mar, Sep, Oct",,,,,,73
Bachelor of Engineering (Honours)(Civil),Diploma,2.5 Years ,12,1250,2350,160000,"Mar, Sep, Oct",,,,,,73
Bachelor of Engineering (Honours)(Electrical and Electronic),Bachelor,4  years,12,1250,2350,160000,"Mar, Sep, Oct",,,,,,73
Bachelor of Engineering (Honours)(Mechanical),Bachelor,4  years,12,1250,2350,160000,"Mar, Sep, Oct",,,,,,73
Bachelor of Engineering (Honours)(Robotics and Mechatronics),Bachelor,4  years,12,1250,2350,160000,"Mar, Sep, Oct",,,,,,73
Bachelor of Computer Science,Bachelor,4 years,12,1250,2350,155104,"Mar, Sep, Oct",,,,,,73
Bachelor of Computer Science with a major in,Bachelor,3  years,9,1250,2350,92040,"Mar, Sep",,,,,,73
Cybersecurity,Bachelor,3  years,9,1250,2350,92040,"Mar, Sep",,,,,,73
Internet of Things,Bachelor,3  years,9,1250,2350,92040,"Mar, Sep",,,,,,73
Software Development,Bachelor,3  years,9,1250,2350,92040,"Mar, Sep",,,,,,73
Data Science,Bachelor,3  years,9,1250,2350,92040,"Mar, Sep",,,,,,73
Bachelor of Information and Communication Technology,Bachelor,3  years,9,1250,2350,92040,"Mar, Sep",,,,,,73
Network Technology,Bachelor,3  years,9,1250,2350,92040,"Mar, Sep",,,,,,73
Software Technology,Bachelor,3  years,9,1250,2350,92040,"Mar, Sep",,,,,,73
Bachelor of Science (Biotechnology),Bachelor,3  years,9,1250,2350,122040,"Mar, Sep",,,,,,73
Master of Business Administration (International),Masters,2 Years,6,1250,2350,48992,"Mar, May, Aug, Nov",,,,,,73
Master of Construction Management,Masters,1.5 Years,5,1250,2350,49020,"Mar, May, Aug, Nov",,,,,,73
Master of Arts (Teaching English to Speakers of Other Languages),Masters,2 Years,6,1250,2350,39008,"Mar, Aug",,,,,,73
Master of Business by Research,Masters,2 Years,,1250,2350,64120,OPEN,,,,,,73
Master of Engineering  by Research,Masters,3  years,,1250,2350,64120,OPEN,,,,,,73
Master of Science  by Research,Masters,3  years,,1250,2350,64120,OPEN,,,,,,73
Biology and Biochemistry by Research,Masters,3  years,,1250,2350,64120,OPEN,,,,,,73
Environmental Science  by Research,Masters,3  years,,1250,2350,64120,OPEN,,,,,,73
Mathematics  by Research,Masters,3  years,,1250,2350,64120,OPEN,,,,,,73
Statistics  by Research,Masters,3  years,,1250,2350,64120,OPEN,,,,,,73
Computer Science by Research,Masters,3  years,,1250,2350,64120,OPEN,,,,,,73
Computer Use  by Research,Masters,3  years,,1250,2350,64120,OPEN,,,,,,73
Teacher Training and Education Science,PhD,4 years,,1250,2350,140200,OPEN,,,,,,73
Social and Behavioural Science ,PhD,4 years,,1250,2350,140201,OPEN,,,,,,73
Business and Administration ,PhD,4 years,,1250,2350,140202,OPEN,,,,,,73
Biology and Biochemistry ,PhD,4 years,,1250,2350,140203,OPEN,,,,,,73
Environmental Science ,PhD,4 years,,1250,2350,140204,OPEN,,,,,,73
Physical Science (Broad Programmes) ,PhD,4 years,,1250,2350,140205,OPEN,,,,,,73
Mathematics ,PhD,4 years,,1250,2350,140206,OPEN,,,,,,73
Statistics ,PhD,4 years,,1250,2350,140207,OPEN,,,,,,73
Computer Science ,PhD,4  years,,1250,2350,140208,OPEN,,,,,,73
Computer Use ,PhD,4  years,,1250,2350,140209,OPEN,,,,,,73
Engineering and Engineering Trades (Broad Programmes)-P.HD,PhD,4  years,,1250,2350,140210,OPEN,,,,,,73
