course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,uid
FOUNDATION IN SCIENCE,Foundation,1 year,3,2630,2350,20300,JAN/JUL,,Total first time payment RM20300,,42
FOUNDATION IN ARTS,Foundation,1 year,3,2630,6800,19900,JAN/JUL,,Total first time payment RM19900,,42
FOUNDATION IN BUSINESS/IT,Foundation,1 year,3,2630,6800,19900,JAN/JUL,,Total first time payment RM19900,,42
FOUNDATION IN MUSIC,Foundation,1 year,3,2630,7750,23660,JAN/JUL,,Total first time payment RM23660,,42
DIPLOMA IN AQUACULTURE WITH ENTREPRENEURSHIP,Diploma,2.5 Years ,3,2630,8150,32720,JAN/JUL,,Total first time payment RM32720,,42
DIPLOMA IN HOTEL MANAGEMENT,Diploma,2.5 Years ,3,2630,12050,43120,JAN/JUL,,Total first time payment RM43120,,42
DIPLOMA IN CULINARY ARTS,Diploma,2.5 Years ,3,2630,12050,25029,JAN/JUL,,Total first time payment RM25029,,42
DIPLOMA IN LEISURE MANAGEMENT,Diploma,2.5 Years ,3,2630,9950,29999,JAN/JUL,,Total first time payment RM29999,,42
DIPLOMA IN LOGISTIC MANAGEMENT,Diploma,2.5 Years ,3,2630,8150,26440,JAN/JUL,,Total first time payment RM26440,,42
DIPLOMA IN INFORMATION TECHNOLOGY,Diploma,2.5 Years ,3,2630,8150,28640,JAN/JUL,,Total first time payment RM28640,,42
DIPLOMA IN INTERNATIONAL BUSINESS,Diploma,2.5 Years ,3,2630,8150,24406,JAN/JUL,,Total first time payment RM24406,,42
DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,Diploma,2.5 Years ,3,2630,11225,34285,JAN/JUL,,Total first time payment RM34285,,42
DIPLOMA IN INTERIOR ARCHITECTURE,Diploma,2.5 Years ,3,2630,9650,40447,JAN/JUL,,Total first time payment RM40447,,42
DIPLOMA IN ARCHITECTURAL STUDIES,Diploma,2.5 Years ,3,2630,9650,50474,JAN/JUL,,Total first time payment RM50474,,42
DIPLOMA IN NURSING,Diploma,3  Years ,3,2630,9950,52793,JAN/JUL,,Total first time payment RM52793,,42
DIPLOMA IN 3D ANIMATION AND DESIGN,Diploma,2.5 Years ,3,2630,8150,47487,JAN/JUL,,Total first time payment RM47487,,42
DIPLOMA IN GRAPHIC DESIGN,Diploma,2.5 Years ,3,2630,8150,44476,JAN/JUL,,Total first time payment RM44476,,42
DIPLOMA IN FASHION DESIGN,Diploma,2.5 Years ,3,2630,8150,43914,JAN/JUL,,Total first time payment RM43914,,42
BACHELOR OF OPTOMETRY,Bachelor,4  years,3,2630,19450,101640,JAN/JUL,,Total first time payment RM101640,,42
BACHELOR OF NURSING (Hons),Bachelor,4  years,3,2630,10650,75640,JAN/JUL,,Total first time payment RM75640,,42
BACHELOR OF PHARMACY (Hons),Bachelor,4  years,3,3130,33050,159298,JAN/JUL,,Total first time payment RM159298,,42
BSc IN BIOTECHNOLOGY,Bachelor,3  years,3,2630,13100,77535,JAN/JUL,,Total first time payment RM77535,,42
BSc IN FOOD SCIENCE WITH NUTRITION ,Bachelor,3  years,3,2630,13100,78065,JAN/JUL,,Total first time payment RM78065,,42
