c_key,c_value,c_id
Full Payment,20000,1779
1st semester,6667,1779
2nd semester,6667,1779
3rd semester,6667,1779
total payment,20000,1779
Full Payment,20000,1780
1st semester,6667,1780
2nd semester,6667,1780
3rd semester,6667,1780
total payment,20000,1780
Full Payment,20000,1781
1st semester,6667,1781
2nd semester,6667,1781
3rd semester,6667,1781
total payment,20000,1781
Full Payment,20000,1782
1st semester,6667,1782
2nd semester,6667,1782
3rd semester,6667,1782
total payment,20000,1782
Full Payment,18000,1783
1st semester,6000,1783
2nd semester,6000,1783
3rd semester,6000,1783
total payment,18000,1783
Full Payment,18000,1784
1st semester,6000,1784
2nd semester,6000,1784
3rd semester,6000,1784
total payment,18000,1784
Full Payment,18000,1785
1st semester,6000,1785
2nd semester,6000,1785
3rd semester,6000,1785
total payment,18000,1785
Full Payment,18000,1786
1st semester,6000,1786
2nd semester,6000,1786
3rd semester,6000,1786
total payment,18000,1786
Full Payment,27200,1787
1st semester,3886,1787
2nd semester,3886,1787
3rd semester,3886,1787
4th semester,3886,1787
5th semester,3886,1787
6th semester,3886,1787
7th semester,3886,1787
total payment,27200,1787
Full Payment,27200,1788
1st semester,3886,1788
2nd semester,3886,1788
3rd semester,3886,1788
4th semester,3886,1788
5th semester,3886,1788
6th semester,3886,1788
7th semester,3886,1788
total payment,27200,1788
Full Payment,29000,1789
1st semester,4143,1789
2nd semester,4143,1789
3rd semester,4143,1789
4th semester,4143,1789
5th semester,4143,1789
6th semester,4143,1789
7th semester,4143,1789
total payment,29000,1789
Full Payment,28000,1790
1st semester,4000,1790
2nd semester,4000,1790
3rd semester,4000,1790
4th semester,4000,1790
5th semester,4000,1790
6th semester,4000,1790
7th semester,4000,1790
total payment,28000,1790
Full Payment,25000,1791
1st semester,3572,1791
2nd semester,3572,1791
3rd semester,3572,1791
4th semester,3572,1791
5th semester,3572,1791
6th semester,3572,1791
7th semester,3572,1791
total payment,25000,1791
Full Payment,78000,1792
1st year,19500,1792
2nd year,19500,1792
3rd year,19500,1792
4th year,19500,1792
Total payment,78000,1792
Full Payment,78000,1793
1st year,19500,1793
2nd year,19500,1793
3rd year,19500,1793
4th year,19500,1793
Total payment,78000,1793
Full Payment,78000,1794
1st year,19500,1794
2nd year,19500,1794
3rd year,19500,1794
4th year,19500,1794
Total payment,78000,1794
Full Payment,78000,1795
1st year,19500,1795
2nd year,19500,1795
3rd year,19500,1795
4th year,19500,1795
Total payment,78000,1795
Full Payment,61000,1796
1st year,20334,1796
2nd year,20334,1796
3rd year,20334,1796
Total payment,61000,1796
Full Payment,61000,1797
1st year,20334,1797
2nd year,20334,1797
3rd year,20334,1797
Total payment,61000,1797
Full Payment,61000,1798
1st year,20334,1798
2nd year,20334,1798
3rd year,20334,1798
Total payment,61000,1798
Full Payment,61000,1799
1st year,20334,1799
2nd year,20334,1799
3rd year,20334,1799
Total payment,61000,1799
Full Payment,61000,1800
1st year,20334,1800
2nd year,20334,1800
3rd year,20334,1800
Total payment,61000,1800
Full Payment,66000,1801
1st year,16500,1801
2nd year,16500,1801
3rd year,16500,1801
4th year,16500,1801
Total payment,66000,1801
Full Payment,52000,1802
1st year,17334,1802
2nd year,17334,1802
3rd year,17334,1802
Total payment,52000,1802
Full Payment,52000,1803
1st year,17334,1803
2nd year,17334,1803
3rd year,17334,1803
Total payment,52000,1803
Full Payment,52000,1804
1st year,17334,1804
2nd year,17334,1804
3rd year,17334,1804
Total payment,52000,1804
Full Payment,52000,1805
1st year,17334,1805
2nd year,17334,1805
3rd year,17334,1805
Total payment,52000,1805
Full Payment,14400,1806
1st semester,3600,1806
2nd semester,3600,1806
3rd semester,3600,1806
4th semester,3600,1806
Total payment,14400,1806
Minimun graduate  semester,2,1806
Per semester ,3600,1806
Full Payment,14400,1807
1st semester,3600,1807
2nd semester,3600,1807
3rd semester,3600,1807
4th semester,3600,1807
Total payment,14400,1807
Minimun graduate semester,2,1807
Per semester ,3600,1807
Full Payment,14400,1808
1st semester,3600,1808
2nd semester,3600,1808
3rd semester,3600,1808
4th semester,3600,1808
Total payment,14400,1808
Minimun graduate  semester,2,1808
Per semester ,3600,1808
Full Payment,14400,1809
1st semester,3600,1809
2nd semester,3600,1809
3rd semester,3600,1809
4th semester,3600,1809
Total payment,14400,1809
Minimun graduate  semester,2,1809
Per semester ,3600,1809
Full Payment,14400,1810
1st semester,3600,1810
2nd semester,3600,1810
3rd semester,3600,1810
4th semester,3600,1810
Total payment,14400,1810
Minimun graduate  semester,2,1810
Per semester ,3600,1810
Full Payment,14400,1811
1st semester,3600,1811
2nd semester,3600,1811
3rd semester,3600,1811
4th semester,3600,1811
Total payment,14400,1811
Minimun graduate  semester,2,1811
Per semester ,3600,1811
Full Payment,14400,1812
1st semester,3600,1812
2nd semester,3600,1812
3rd semester,3600,1812
4th semester,3600,1812
Total payment,14400,1812
Minimun graduate semester,2,1812
Per semester ,3600,1812
Full Payment,14400,1813
1st semester,3600,1813
2nd semester,3600,1813
3rd semester,3600,1813
4th semester,3600,1813
Total payment,14400,1813
Minimun graduate  semester,2,1813
Per semester ,3600,1813
Full Payment,21000,1814
1st semester,5250,1814
2nd semester,5250,1814
3rd semester,5250,1814
4th semester,5250,1814
Total payment,21000,1814
Minimun graduate  semester,4,1814
Per semester ,5250,1814
Full Payment,21000,1815
1st semester,5250,1815
2nd semester,5250,1815
3rd semester,5250,1815
4th semester,5250,1815
Total payment,21000,1815
Minimun graduate semester,4,1815
Per semester ,5250,1815
Full Payment,19100,1816
1st semester,4775,1816
2nd semester,4775,1816
3rd semester,4775,1816
4th semester,4775,1816
Total payment,19100,1816
Minimun graduate semester,4,1816
Per semester ,5250,1816
Full Payment,19100,1817
1st semester,4775,1817
2nd semester,4775,1817
3rd semester,4775,1817
4th semester,4775,1817
Total payment,19100,1817
Minimun graduate semester,4,1817
Per semester ,5250,1817
