course,program,duration,nos,emgs,misc,ttf,Intake,description,remarks,discount,doc_title,doc_link,id
Bachelor of Accountancy with Honours,Bachelor,4 Years,8,1850,6152,56848,Feb/Sep,,,,,,51
Bachelor of Management (Marketing) with Honours,Bachelor,4 Years,8,1850,6152,56848,Feb/Sep,,,,,,51
Bachelor of Accountancy with Honours With Foundation,Bachelor,4.5 Years,9,1850,7569,60648,Feb/Sep,,,,,,51
Bachelor of Management (Marketing) with Honours With Foundation,Bachelor,4.5 Years,9,1850,7569,60648,Feb/Sep,,,,,,51
Bachelor of Science in Architecture with Honours,Bachelor,3 Years,6,1850,6152,45468,Feb/Sep,,,,,,51
Bachelor of Science in Architecture with Honours With Foundation,Bachelor,3.5 Years,7,1850,7569,49408,Feb/Sep,,,,,,51
Bachelor of Computer Science (Computer Networks and Security) with Honours,Bachelor,4 Years,8,1850,6152,64848,Feb/Sep,,,,,,51
Bachelor of Computer Science (Graphics and Multimedia Software) with Honours,Bachelor,4 Years,8,1850,6152,64848,Feb/Sep,,,,,,51
Bachelor of Computer Science (Computer Networks and Security) with Honours With Foundation,Bachelor,4.5 Years,9,1850,7569,68748,Feb/Sep,,,,,,51
Bachelor of Computer Science (Graphics and Multimedia Software) with Honours With Foundation,Bachelor,4.5 Years,9,1850,7569,68748,Feb/Sep,,,,,,51
Bachelor of Education (Teaching English as a Second Language) with Honours,Bachelor,4 Years,8,1850,6152,48848,Feb/Sep,,,,,,51
Bachelor of Education (Teaching English as a Second Language) with Honours With Foundation,Bachelor,4.5 Years,9,1850,7569,52748,Feb/Sep,,,,,,51
Bachelor of Biomedical Engineering with Honours,Bachelor,4 Years,8,1850,6152,68848,Feb/Sep,,,,,,51
Bachelor of Chemical Engineering with Honours,Bachelor,4 Years,8,1850,6152,68848,Feb/Sep,,,,,,51
Bachelor of Nuclear Engineering with Honours,Bachelor,4 Years,8,1850,6152,68848,Feb/Sep,,,,,,51
Bachelor of Chemical Engineering (Bioprocess) with Honours,Bachelor,4 Years,8,1850,6152,68848,Feb/Sep,,,,,,51
