course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation In ENGINEERING & SCIENCE,Foundation,1 Year,3,1919,7091,16950,Jan/ May/ Sep,,,,,,69
Foundation In Technology & Business Management,Foundation,1 Year,3,1919,7091,16950,Jan/ May/ Sep,,,,,,69
Foundation In Computer Science,Foundation,1 Year,3,1919,7091,16950,Jan/ May/ Sep,,,,,,69
Bachelor of Chemical Engineering with Honours?,Bachelor,4 Years,10,1919,7780,88885,Jan/ May/ Sep,,,,,,69
Bachelor of Civil Engineering with Honours ,Bachelor,4 Years,10,1919,7780,88885,Jan/ May/ Sep,,,,,,69
Bachelor of Computer Engineering? with Honours,Bachelor,4 Years,10,1919,7780,88885,Jan/ May/ Sep,,,,,,69
Bachelor of Electrical and Electronics Engineering with Honours,Bachelor,4 Years,10,1919,7780,88885,Jan/ May/ Sep,,,,,,69
Bachelor of Materials Engineering with Honours,Bachelor,4 Years,10,1919,7780,88885,Jan/ May/ Sep,,,,,,69
Bachelor of Mechanical Engineering with Honours,Bachelor,4 Years,10,1919,7780,88885,Jan/ May/ Sep,,,,,,69
Bachelor of Petroleum Engineering with Honours,Bachelor,4 Years,10,1919,7780,88885,Jan/ May/ Sep,,,,,,69
Bachelor of Information Systems (Hons),Bachelor,3.5 Years,8,1919,7526,64325,Jan/ May/ Sep,,,,,,69
Bachelor of Information Technology (Hons),Bachelor,3.5 Years,8,1919,7526,64325,Jan/ May/ Sep,,,,,,69
Bachelor of Technology (Hons) Petroleum Geoscience,Bachelor,3.5 Years,8,1919,7805,73809,Jan/ May/ Sep,,,,,,69
?Bachelor of Business Management (Hons),Bachelor,3.5 Years,8,1919,7526,64325,Jan/ May/ Sep,,,,,,69
Bachelor of Science (Hons) in Applied Chemistry,Bachelor,3.5 Years,8,1919,7523,66432,Jan/ May/ Sep,,,,,,69
Bachelor of Science (Hons) Applied Physics??,Bachelor,3.5 Years,8,1919,7523,66432,Jan/ May/ Sep,,,,,,69
Bachelor of Computer Science (Hons),Bachelor,3.5 Years,8,1919,7526,64325,Jan/ May/ Sep,,,,,,69
MSc in Petroleum Engineering?? by Coursework,Masters,1.5 Years,3,1919,7600,60000,Jan/ Sep,,,,,,69
MSc in Petroleum Geoscience? by Coursework,Masters,1.5 Years,3,1919,7600,50000,Jan/ Sep,,,,,,69
MSc in Asset Management and Maintanence by Coursework,Masters,1.5 Years,3,1919,7600,25000,Jan/ Sep,,,,,,69
MSc Electronic System Engineering by Coursework,Masters,1.5 Years,3,1919,7600,25000,Jan/ Sep,,,,,,69
MSc Electronic System Engineering (ODL) by Coursework,Masters,1.5 Years,3,1919,7600,25000,Jan/ Sep,,,,,,69
MSc in Process Integration by Coursework,Masters,1.5 Years,3,1919,7600,31000,Jan/ Sep,,,,,,69
MSc in Drilling Engineering by Coursework,Masters,1.5 Years,3,1919,7600,70000,Jan/ Sep,,,,,,69
MSc in Offshore Engineering by Coursework,Masters,1.5 Years,3,1919,7600,25000,Jan/ Sep,,,,,,69
MSc in Process Safety by Coursework,Masters,1.5 Years,3,1919,7600,70000,Jan/ Sep,,,,,,69
MBA in Energy Management by Coursework,Masters,1.5 Years,3,1919,7600,50000,Jan/ Sep,,,,,,69
MSc in Chemical Engineering,Masters,1.5 Years,3,1919,7600,9750,Jan/ Sep,,,,,,69
MSc in Petroleum Engineering,Masters,1.5 Years,3,1919,7600,9750,Jan/ Sep,,,,,,69
MSc in Petroleum Geoscience,Masters,1.5 Years,3,1919,7600,11000,Jan/ Sep,,,,,,69
MSc in Civil Engineering,Masters,1.5 Years,3,1919,7600,9750,Jan/ Sep,,,,,,69
MSc in Mechanical Engineering,Masters,1.5 Years,3,1919,7600,9750,Jan/ Sep,,,,,,69
MSc in Electrical & Electronic Engineering,Masters,1.5 Years,3,1919,7600,9750,Jan/ Sep,,,,,,69
MSc in Information Technology,Masters,1.5 Years,3,1919,7600,11000,Jan/ Sep,,,,,,69
MSc in Information Systems,Masters,1.5 Years,3,1919,7600,11000,Jan/ Sep,,,,,,69
Master of Science (MSc),Masters,1.5 Years,3,1919,7600,11000,Jan/ Sep,,,,,,69
MPhil in Management,Masters,1.5 Years,3,1919,7600,9000,Jan/ Sep,,,,,,69
PhD in? Chemical Engineering,PhD,3 Years,6,1919,7600,28500,Jan/ Jul,,,,,,69
PhD in Petroleum Engineering,PhD,3 Years,6,1919,7600,28500,Jan/ Jul,,,,,,69
PhD in Petroleum Geoscience,PhD,3 Years,6,1919,7600,28500,Jan/ Jul,,,,,,69
PhD in Civil Engineering,PhD,3 Years,6,1919,7600,28500,Jan/ Jul,,,,,,69
PhD in Mechanical Engineering,PhD,3 Years,6,1919,7600,28500,Jan/ Jul,,,,,,69
PhD in Electrical & Electronic Engineering,PhD,3 Years,6,1919,7600,28500,Jan/ Jul,,,,,,69
PhD in Information Technology,PhD,3 Years,6,1919,7600,24000,Jan/ Jul,,,,,,69
PhD in Information Systems,PhD,3 Years,6,1919,7600,24000,Jan/ Jul,,,,,,69
PhD in Management,PhD,3 Years,6,1919,7600,19500,Jan/ Jul,,,,,,69
PhD of? ?Science,PhD,3 Years,6,1919,7600,24000,Jan/ Jul,,,,,,69
