course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Bachelor of Electronic Engineering With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Computer Engineering With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Diploma In Electronic Engineering,Diploma,2.5 Years,5,2000,,,Feb/sept,,,,,,74
Bachelor of Mechatronics EngineeringWith Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Electrical Engineering With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Diploma In Electrical Engineering,Diploma,2.5 Years,5,2000,,,Feb/sept,,,,,,74
Bachelor of Mechanical Engineering With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Automotive Engineering With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Diploma In Mechanical Engineering,Bachelor,4 Years,8,2000,,,Feb/sept,,,,,,74
Bachelor of Manufacturing EngineeringWith Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Industrial Engineering With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Diploma In Manufacturing Engineering,Bachelor,4 Years,8,2000,,,Feb/sept,,,,,,74
Bachelor of Computer Science (Computer Networking) With Honours,Bachelor,4 Years,8,2000,4780,32628,Feb/sept,,,,,,74
Bachelor of Computer Science (Database Management) With Honours,Bachelor,4 Years,8,2000,4780,32628,Feb/sept,,,,,,74
Bachelor of Computer Science (Artificial Intelligence) With Honours,Bachelor,4 Years,8,2000,4780,32628,Feb/sept,,,,,,74
Bachelor of Computer Science (Interactive Media) With Honours,Bachelor,4 Years,8,2000,4780,32628,Feb/sept,,,,,,74
Bachelor of Computer Science (Software Development) With Honours,Bachelor,4 Years,8,2000,4780,32628,Feb/sept,,,,,,74
Bachelor of Computer Science (Computer Security) With Honours,Bachelor,4 Years,8,2000,4780,32628,Feb/sept,,,,,,74
Bachelor of Information Technology (Games Technology) With Honours  ,Bachelor,4 Years,8,2000,4780,32628,Feb/sept,,,,,,74
Diploma In Information Technology,Bachelor,4 Years,8,2000,4780,32628,Feb/sept,,,,,,74
Bachelor of Technopreneurship With Honours,Bachelor,4 Years,8,2000,4780,32628,Feb/sept,,,,,,74
Bachelor of Technology Management With Honours (TechnologyInnovation),Bachelor,4 Years,8,2000,4780,32628,Feb/sept,,,,,,74
Bachelor of Technology Management With Honours (High TechnologyMarketing),Bachelor,4 Years,8,2000,4780,32628,Feb/sept,,,,,,74
Bachelor of Technology Management (Supply Chain Management And Logistics) With Honours,Bachelor,4 Years,8,2000,4780,32628,Feb/sept,,,,,,74
Bachelor of Electrical Engineering Technology (Industrial Power) With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Electrical Engineering Technology (Industrial Automation And Robotics) With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Electronics Engineering Technology (Telecommunications) With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Electronics Engineering Technology (Industrial Electronics) With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Computer Engineering Technology (Computer Systems) With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Electrical Engineering Technology With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Electronics Engineering Technology With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Technology In Industrial Electronic Automation With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Technology In Electrical Maintenance System With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Mechanical Engineering Technology (Automotive Technology) With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Mechanical Engineering Technology (Refrigeration And Air Conditioning Systems) With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Mechanical Engineering Technology (Maintenance Technology) With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Manufacturing Engineering Technology (Process And Technology) With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Manufacturing Engineering Technology (Product Design) With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Mechanical Engineering Technology With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Manufacturing Engineering Technology With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Technology In Industrial Machining With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Technology In Welding With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Technology In Automotive With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Bachelor of Technology In Air Conditioning And Refrigeration With Honours,Bachelor,4 Years,8,2000,4780,36628,Feb/sept,,,,,,74
Master of Electronic Engineering (Telecommunication System),Masters,1 Years,2,2000,3500,11290,Feb/sept,,,,,,74
Master of Electronic Engineering (Computer Engineering),Masters,1 Years,2,2000,3500,11290,Feb/sept,,,,,,74
Master of Electronic Engineering (Electronic Systems),Masters,1 Years,2,2000,3500,11290,Feb/sept,,,,,,74
Master of Electrical Engineering (MEKG),Masters,1 Years,2,2000,3500,11290,Feb/sept,,Electricity and Energy,,,,74
Master of Mechatronics Engineering (MEKH),Masters,1 Years,2,2000,3500,10432,Feb/sept,,,,,,74
Master of Mechanical Engineering (Structure Mechanics),Masters,1 Years,2,2000,3500,11290,Feb/sept,,,,,,74
Master of Mechanical Engineering (Energy Engineering),Masters,1 Years,2,2000,3500,11290,Feb/sept,,Mechanics and Metal Work,,,,74
Master of Mechanical (Engineering Automotive),Masters,1 Years,2,2000,3500,11290,Feb/sept,,,,,,74
Master of Mechanical Engineering (Product Design),Masters,1 Years,2,2000,3500,11290,Feb/sept,,,,,,74
Master of Manufacturing Engineering ( Manufacturing System Engineering ),Masters,1 Years,2,2000,3500,11290,Feb/sept,,,,,,74
Master of Manufacturing Engineering ( Quality System Engineering ),Masters,1 Years,2,2000,3500,11290,Feb/sept,,,,,,74
Master of Manufacturing Engineering ( Industrial Engineering ),Masters,1 Years,2,2000,3500,11290,Feb/sept,,,,,,74
Master of Manufacturing Engineering ( Precision Engineering ),Masters,1 Years,2,2000,3500,11290,Feb/sept,,,,,,74
Master of Manufacturing Engineering ( Advanced Materials & Processing ),Masters,1 Years,2,2000,3500,11290,Feb/sept,,,,,,74
Master of Computer Science (Internetworking Technology),Masters,1 Years,2,2000,3500,16890,Feb/sept,,,,,,74
Master of Computer Science (Database Technology),Masters,1 Years,2,2000,3500,16890,Feb/sept,,,,,,74
Master of Computer Science (Software Engineering),Masters,1 Years,2,2000,3500,16890,Feb/sept,,,,,,74
Master of Computer Science (Security Science),Masters,1 Years,2,2000,3500,16890,Feb/sept,,,,,,74
Master of Computer Science (Multimedia Computing),Masters,1 Years,2,2000,3500,16890,Feb/sept,,,,,,74
Master of Technology  (Data Science and Analytics),Masters,1 Years,2,2000,3500,16890,Feb/sept,,,,,,74
Master of Business Administration (Advanced Operations Management),Masters,2 Years,4,2000,3500,21210,Feb/sept,,,,,,74
Master of Business Administration (Technology and Innovation Management),Masters,2 Years,4,2000,3500,21210,Feb/sept,,,,,,74
PhD in Electrical Engineering,PhD,3 Years,6,2000,3500,29728,,,,,,,74
PhD in Electronic and Computer Engineering,PhD,3 Years,6,2000,3500,29728,,,,,,,74
PhD in Mechanical Engineering,PhD,3 Years,6,2000,3500,29728,,,,,,,74
PhD in Manufacturing Engineering,PhD,3 Years,6,2000,3500,29728,,,,,,,74
PhD in Software and Information Systems Engineering,PhD,3 Years,6,2000,3500,29728,,,,,,,74
PhD in Data and Knowledge Engineering,PhD,3 Years,6,2000,3500,29728,,,,,,,74
"PhD in Artificial Intelligence, Modeling and Decision Technology",PhD,3 Years,6,2000,3500,29728,,,,,,,74
PhD in Networking and Internet Computing,PhD,3 Years,6,2000,3500,29728,,,,,,,74
PhD in Computer Systems and Security,PhD,3 Years,6,2000,3500,29728,,,,,,,74
