course,program,duration,nos,emgs,misc,ttf,intake,description,uid
Diploma in Digital Graphic Design,Diploma,3,,2500,7290,22235,Jan/May/Sept,,48
Diploma in Photograghy Technology,Diploma,3,,2500,7290,25645,Jan/May/Sept,,48
Bachelor of (Hons) Digital Graphic Design,Bachelor,3,,2500,7290,42940,Mar/May/Oct,,48
Diploma in Media & Communication,Diploma,3,,2500,7290,26445,Jan/May/Sept,,48
Bachelor in Communication (Corporate Communication) (Hons),Bachelor,3,,2500,7290,50250,Jan/May/Sept,,48
Bachelor in Communication (Journalism) (Hons),Bachelor,3,,2500,7290,51070,Jan/May/Sept,,48
Diploma in Mechatronics Engineering,Diploma,3,,2500,7290,31270,Jan/May/Sept,,48
Diploma in Mechanical Engineering,Diploma,3,,2500,7290,30610,Jan/May/Sept,,48
Diploma in Electrical & Electronic Engineering,Diploma,3,,2500,7290,30610,Jan/May/Sept,,48
Diploma in Civil Engineering,Diploma,3,,2500,7290,30940,Jan/May/Sept,,48
Bachelor of Engineering (Hons) Mechanical,Bachelor,4,,2500,7290,62830,Jan/May/Sept,,48
Bachelor of Engineering (Hons) Electric,Bachelor,4,,2500,7290,62350,Jan/May/Sept,,48
Bachelor of Engineering (Hons) Civil,Bachelor,4,,2500,7290,66655,Jan/May/Sept,,48
Bachelor of Engineering (Hons) Electronics,Bachelor,4,,2500,7290,62350,Jan/May/Sept,,48
Bachelor of Engineering (Hons) Mechatronics,Bachelor,4,,2500,7290,62350,Jan/May/Sept,,48
Diploma in Medical Laboratory Technology,Diploma,4,,2500,7290,48805,Jan/May/Sept,,48
Diploma in Physiotheraphy,Diploma,3,,2500,7290,56105,Jan/May/Sept,,48
Diploma in Environmental Health,Diploma,3,,2500,7290,47030,Jan/May/Sept,,48
Diploma in Medical Imaging,Diploma,3,,2500,7290,55205,Jan/May/Sept,,48
Diploma in Nursing,Diploma,3,,2500,7290,50100,Jan/May/Sept,,48
Bachelor of Medical Science Laboratory (Hons),Bachelor,4,,2500,7290,63340,Jan/May/Sept,,48
Bachelor of Occupational Safety & Health (Hons),Bachelor,4,,2500,7290,69195,Jan/May/Sept,,48
Foundation Year (Information Technology),Foundation,1,,2500,7290,11475,Jan/May/Sept,,48
