course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Bachelor of Business Administration (Hons),Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
Bachelor of Finance (Hons),Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
Bachelor of Marketing (Hons),Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
BBA (Hons) Banking and Finance,Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
BBA (Hons) Entrepreneurship,Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
BBA (Hons) Retail Management,Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
BCom (Hons) Accounting,Bachelor,3 Years,6,2260,7150,62050,Jan/May/Sep,,,,,,40
BEcon (Hons) Financial Economics,Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
Bachelor of Building & Property Management (Hons),Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
Bachelor of International Business (Hons),Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
BEcon (Hons) Global Economics,Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
Bachelor of Accounting (Hons),Bachelor,4 years,8,2260,7150,55600,Jan/May/Sep,,,,,,40
BSc (Hons) Actuarial Science,Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
BSc (Hons) Applied Mathematics with Computing,Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
BSc (Hons) Financial Mathematics,Bachelor,3 Years,6,2260,7150,55600,Jan/May/Sep,,,,,,40
BSc (Hons) Logistics & International Shipping,Bachelor,3 Years,6,2260,7150,54550,Jan/May/Sep,,,,,,40
BSc (Hons) Statistical Computing & Operations Research,Bachelor,3 Years,6,2260,7150,54550,Jan/May/Sep,,,,,,40
BSc (Hons) Actuarial Science,Bachelor,3 Years,6,2260,7150,54550,Jan/May/Sep,,,,,,40
BSc (Hons) Applied Mathematics with Computing,Bachelor,3 Years,6,2260,7150,54550,Jan/May/Sep,,,,,,40
BSc (Hons) Financial Mathematics,Bachelor,3 Years,6,2260,7150,54550,Jan/May/Sep,,,,,,40
BA (Hons) Digital Animation,Bachelor,3 Years,6,2260,7150,54350,Jan/May/Sep,,,,,,40
BA (Hons) Game Design,Bachelor,3 Years,6,2260,7150,54350,Jan/May/Sep,,,,,,40
BA (Hons) Graphic Design & Multimedia,Bachelor,3 Years,6,2260,7150,54350,Jan/May/Sep,,,,,,40
Bachelor of Media & Creative Studies (Hons),Bachelor,3 Years,6,2260,7150,54350,Jan/May/Sep,,,,,,40
BComm (Hons) Broadcasting,Bachelor,3 Years,6,2260,7150,54350,Jan/May/Sep,,,,,,40
BSc (Hons) Game Development,Bachelor,3 Years,6,2260,7150,54350,Jan/May/Sep,,,,,,40
BA (Hons) Chinese Studies,Bachelor,3 Years,6,2260,7150,54850,Jan/May/Sep,,,,,,40
BA (Hons) English Education,Bachelor,3 Years,6,2260,7150,54850,Jan/May/Sep,,,,,,40
BA (Hons) English Language,Bachelor,3 Years,6,2260,7150,54850,Jan/May/Sep,,,,,,40
BComm (Hons) Advertising,Bachelor,3 Years,6,2260,7150,54850,Jan/May/Sep,,,,,,40
BComm (Hons) Journalism,Bachelor,3 Years,6,2260,7150,54850,Jan/May/Sep,,,,,,40
BComm (Hons) Public Relations,Bachelor,3 Years,6,2260,7150,54850,Jan/May/Sep,,,,,,40
BSocSc (Hons) Guidance and Counselling ,Bachelor, 4 years,8,2260,7150,59300,Jan/May/Sep,,,,,,40
BSocSc (Hons) Psychology,Bachelor,3 Years,6,2260,7150,54850,Jan/May/Sep,,,,,,40
BA (Hons) Journalism in Chinese Media,Bachelor,3 Years,6,2260,7150,54850,Jan/May/Sep,,,,,,40
Bachelor of Early Childhood Education (Hons),Bachelor,3 Years,6,2260,7150,54850,Jan/May/Sep,,,,,,40
Bachelor of Corporate Communication (Hons),Bachelor,3 Years,6,2260,7150,54850,Jan/May/Sep,,,,,,40
BSc (Hons) Agricultural Science,Bachelor,3 Years,6,2260,7150,57250,Jan/May/Sep,,,,,,40
BSc (Hons) Food Science,Bachelor,3 Years,6,2260,7150,57250,Jan/May/Sep,,,,,,40
BSc (Hons) Biomedical Science ,Bachelor,3.5 years,7,2260,7150,63650,Jan/May/Sep,,,,,,40
"BSc (Hons) Environmental, Occupational Safety and Health",Bachelor,4 years,8,2260,7150,64200,Jan/May/Sep,,,,,,40
Bachelor of Chinese Medicine (Hons) ,Bachelor,5 years,10,2260,7150,103200,Jan/May/Sep,,,,,,40
Bachelor of Medicine & Bachelor of Surgery (M.B.B.S.),Bachelor,5 years,10,2260,7150,310600,Jan/May/Sep,,,,,,40
Bachelor of Nursing (Hons),Bachelor, 4 years,8,2260,7150,80500,Jan/May/Sep,,,,,,40
Bachelor of Physiotheraphy (Hons) ,Bachelor, 4 years,8,2260,7150,80200,Jan/May/Sep,,,,,,40
BEng (Hons) Electronic Engineering,Bachelor,4 Years,8,2260,7150,65500,Jan/May/Sep,,,,,,40
BEng (Hons) Environmental Engineering,Bachelor,4 Years,8,2260,7150,65500,Jan/May/Sep,,,,,,40
BEng (Hons) Industrial Engineering,Bachelor,4 Years,8,2260,7150,65500,Jan/May/Sep,,,,,,40
BEng (Hons) Petrochemical Engineering,Bachelor,4 Years,8,2260,7150,65500,Jan/May/Sep,,,,,,40
BSc (Hons) Construction Management ,Bachelor,3 years,6,2260,7150,65500,Jan/May/Sep,,,,,,40
BEng (Hons) Biomedical Engineering,Bachelor,4 Years,8,2260,7150,65500,Jan/May/Sep,,,,,,40
BEng (Hons) Chemical Engineering,Bachelor,4 Years,8,2260,7150,65500,Jan/May/Sep,,,,,,40
BEng (Hons) Civil Engineering,Bachelor,4 Years,8,2260,7150,65500,Jan/May/Sep,,,,,,40
BEng (Hons) Electrical & Electronic Engineering,Bachelor,4 Years,8,2260,7150,65500,Jan/May/Sep,,,,,,40
BEng (Hons) Electronic & Communications Engineering,Bachelor,4 Years,8,2260,7150,65500,Jan/May/Sep,,,,,,40
BEng (Hons) Electronics (Computer Networking),Bachelor,4 Years,8,2260,7150,65500,Jan/May/Sep,,,,,,40
BEng (Hons) Materials & Manufacturing Engineering,Bachelor,4 Years,8,2260,7150,65500,Jan/May/Sep,,,,,,40
BEng (Hons) Mechanical Engineering,Bachelor,4 Years,8,2260,7150,65500,Jan/May/Sep,,,,,,40
