course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Foundation in Science,Foundation,1 Year,3,2900,1000,15000,15000,"FEB,APR,SEPT",,,upto 75%,,54
Foundation in Arts & S0cial Science,Foundation,1 Year,3,2900,1000,15000,15000,"FEB,APR,SEPT",,,upto 75%,,54
Bachelor in Chinese Studies,Bachelor,3 Years,9,2900,1000,24000,72000,"FEB,APR,SEPT",,,upto 75%,,54
Journalism,Bachelor,3 Years,9,2900,1000,24000,72000,"FEB,APR,SEPT",,,upto 75%,,54
Accounting,Bachelor,3 Years,9,2900,1000,24000,72000,"FEB,APR,SEPT",,,upto 75%,,54
International Business,Bachelor,3 Years,9,2900,1000,24000,72000,"FEB,APR,SEPT",,,upto 75%,,54
Finance,Bachelor,3 Years,9,2900,1000,24000,72000,"FEB,APR,SEPT",,,upto 75%,,54
Mathematics,Bachelor,3 Years,9,2900,1000,24000,72000,"FEB,APR,SEPT",,,upto 75%,,54
Advertising,Bachelor,3 Years,9,2900,1000,25000,75000,"FEB,APR,SEPT",,,upto 75%,,54
Computer Science & Technology,Bachelor,4 Years,12,2900,1000,26000,104000,"FEB,APR,SEPT",,,upto 75%,,54
Digital Media Technology,Bachelor,4 Years,12,2900,1000,26000,104000,"FEB,APR,SEPT",,,upto 75%,,54
Software Engineering,Bachelor,4 Years,12,2900,1000,26000,104000,"FEB,APR,SEPT",,,upto 75%,,54
New Energy Science & Engineering,Bachelor,4 Years,12,2900,1000,26000,104000,"FEB,APR,SEPT",,,upto 75%,,54
Chemical Engineering,Bachelor,4 Years,12,2900,1000,26000,104000,"FEB,APR,SEPT",,,upto 75%,,54
Marine Biotechnology,Bachelor,4 Years,12,2900,1000,26000,104000,"FEB,APR,SEPT",,,upto 75%,,54
Marine Environmental Chemistry,Bachelor,4 Years,12,2900,1000,26000,104000,"FEB,APR,SEPT",,,upto 75%,,54
Electrical & Electronics Engineering,Bachelor,4 Years,12,2900,1000,26000,104000,"FEB,APR,SEPT",,,upto 75%,,54
Traditional Chinese Medicine,Bachelor,4 Years,12,2900,1000,25000,100000,"FEB,APR,SEPT",,,upto 75%,,54
Masters of Business Administration,Masters,1.5 Years,4,2900,1000,39900,39900,"FEB,APR,SEPT",,,upto 75%,,54
Masters of Chinese Studies,Masters,2 Years,6,2900,1000,13200,13200,"FEB,APR,SEPT",,,upto 75%,,54
