course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Master of Business Administration (MBA),Masters,1.5 Years,,2500,4500,52000,,,,32365,,,64
Master of Information Technology (MIT),Masters,1.5 Years,,2500,4500,50000,,,,31065,,,64
Master of Science (By Research) In Business Administration(MScBA),Masters,1.5 Years,,2500,4500,50000,,,,31065,,,64
Master of Mechanical Engineering,Masters,1 Year,,2500,4500,59000,,,,44000,,,64
Master of Education,Masters,1 Year,,2500,4500,50000,,,,35000,,,64
Doctorate of Philosophy (PHD),PhD,3 Years,,2500,4500,69000,,,,43765,,,64
Doctoral Business Administration (DBA),PhD,3 Years,,2500,4500,70000,,,,44065,,,64
Diploma in Accountancy,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Diploma in Business Management,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Diploma in Human Resource Management,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Bachelor of Accounting (Hons),Bachelor,4 Years,,2500,4500,84000,,,,49665,,,64
Diploma in Management,Diploma,2.5 Years,,2500,4500,52350,,,,32365,,,64
Diploma in Office Management,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Diploma in Islamic Banking,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Bachelor of Engineering Management (Hons),Bachelor,3 Years,,2500,4500,78000,,,,46465,,,64
Bachelor of Business Administration (Hons),Bachelor,3 Years,,2500,4500,78000,,,,46465,,,64
Bachelor of Science in Accounting & Finance (Hons),Bachelor,3 Years,,2500,4500,79350,,,,47115,,,64
Diploma in Early Childhood Education,Diploma,3 Years,,2500,4500,55350,,,,35365,,,64
Diploma in Mass Communication,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Bachelor of Education (Hons) In Teaching English As A Second Language (TESL),Bachelor,3 Years,,2500,4500,80850,,,,47915,,,64
Bachelor of Applied Psychology (Hons),Bachelor,3 Years,,2500,4500,80850,,,,47915,,,64
Bachelor of Communication (Hons) Corporate Communication,Bachelor,3 Years,,2500,4500,80850,,,,47915,,,64
Diploma in Corporate Communication,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Bachelor of Communication (Hons) Journalism,Bachelor,3 Years,,2500,4500,78000,,,,46465,,,64
Bachelor of Education (Hons) Early Childhood Education,Bachelor,3 Years,,2500,4500,80850,,,,47915,,,64
Bachelor of Communication (Hons) Mass Communication,Bachelor,3 Years,,2500,4500,80850,,,,47915,,,64
Diploma in Fashion Design,Diploma,2.5 Years,,2500,4500,52350,,,,32365,,,64
Diploma in Culinary Arts,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Diploma in Hotel Management,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Bachelor of Hospitality Management (Hons),Bachelor,3 Years,,2500,4500,59000,,,,26065,,,64
Diploma in information Technology,Diploma,2.5 Years,,2500,4500,52350,,,,32365,,,64
Bachelor of Computer Science (Hons) Software Engineering,Bachelor,3 Years,,2500,4500,78000,,,,46465,,,64
Diploma in Graphic Design,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Diploma in Multimedia,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Bachelor (Hons) Graphic Design,Bachelor,3 Years,,2500,4500,80850,,,,47915,,,64
Bachelor of Multimedia (Hons),Bachelor,3 Years,,2500,4500,80850,,,,47915,,,64
Bachelor of Information Technology (Hons),Bachelor,3 Years,,2500,4500,78000,,,,46465,,,64
Diploma in Interior Design,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Diploma in Architectural Technology,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Bachelor of Science (Hons) Architectural Design,Bachelor,3 Years,,2500,4500,85850,,,,51515,,,64
Bachelor of Interior Design (Hons),Bachelor,3.5 Years,,2500,4500,83850,,,,49515,,,64
Diploma in Civil Engineering,Diploma,2.5 Years,,2500,4500,52350,,,,32365,,,64
Diploma in Electrical & Electronic Engineering,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Diploma in Mechanical Engineering,Diploma,3 Years,,2500,4500,52350,,,,32365,,,64
Bachelor of Engineering Civil (Hons),Bachelor,4 Years,,2500,4500,94850,,,,51170,,,64
Bachelor of Electronic Engineering ( Hons),Bachelor,4 Years,,2500,4500,94850,,,,51170,,,64
Bachelor of Engineering in Mechanical (Hons),Bachelor,4 Years,,2500,4500,94850,,,,51170,,,64
Diploma in Medical Lab Technolgy,Diploma,3 Years,,2500,4500,88350,,,,52090,,,64
Diploma in Occupational Health & Safety (Hons),Diploma,3 Years,,2500,4500,88350,,,,52090,,,64
Bachelor of Environmental Health (Hons),Bachelor,4 Years,,2500,4500,140000,,,,86065,,,64
Bachelor of Occupational Health & Safety (Hons),Bachelor,4 Years,,2500,4500,140000,,,,86065,,,64
Bachelor of Biomedical (Hons),Bachelor,4 Years,,2500,4500,140000,,,,86065,,,64
Foundation in Arts,Foundation,1 Year,,2500,4500,35000,,"( English , Communications, Built Environment , Graphic Design & Multimedia )",,23065,,,64
Foundation in Business,Foundation,1 Year,,2500,4500,35000,,,,23065,,,64
Foundation in Science,Foundation,1 Year,,2500,4500,35000,,,,23065,,,64
Foundation in information technology,Foundation,1 Year,,2500,4500,35000,,,,23065,,,64
