course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Bachelor of Medicine & Bachelor of Surgery (MBBS),Bachelor,5 Years,10,2500,6350,543500,"Feb, Aug",,,,IMU Undergraduate Fees,Fees_Undergraduate_International.pdf,63
Bachelor of Science (Hons) Psychology,Bachelor,3 Years,9,2500,3500,84000,"Feb, Sep",,,,IMU Undergraduate Fees,Fees_Undergraduate_International.pdf,63
Bachelor of Dental Surgery (BDS),Bachelor,5 Years,10,2500,7350,654000,"Feb, Sep",,,,IMU Undergraduate Fees,Fees_Undergraduate_International.pdf,63
Bachelor of Pharmacy (Hons),Bachelor,4 Years,8,2500,4500,204800,"July, Sep",,,,IMU Undergraduate Fees,Fees_Undergraduate_International.pdf,63
Bachelor of Science (Hons) Pharmaceutical Chemistry,Bachelor,3 Years,6,2500,3500,117300,"Feb, July, Sep",,,,IMU Undergraduate Fees,Fees_Undergraduate_International.pdf,63
Bachelor of Science (Hons) Medical Biotechnology,Bachelor,3 Years,6,2500,3500,117300,"July, Sep",,,,IMU Undergraduate Fees,Fees_Undergraduate_International.pdf,63
Bachelor of Science (Hons) Dietetics with Nutrition,Bachelor,4 Years,8,2500,3500,192400,"July, Sep",,,,IMU Undergraduate Fees,Fees_Undergraduate_International.pdf,63
Bachelor of Science (Hons) Nutrition,Bachelor,3 Years,6,2500,3500,121200,"July, Sep",,,,IMU Undergraduate Fees,Fees_Undergraduate_International.pdf,63
Bachelor of Science (Hons) Biomedical Science,Bachelor,3 Years,6,2500,3500,117300,"July, Sep",,,,IMU Undergraduate Fees,Fees_Undergraduate_International.pdf,63
Bachelor of Science (Hons) Chiropractic,Bachelor,4 Years,8,2500,3500,249600,"Feb, Sep",,,,IMU Undergraduate Fees,Fees_Undergraduate_International.pdf,63
Bachelor of Science (Hons) Chinese Medicine,Bachelor,4 Years,12,2500,3500,113000,"Feb, Sep",,,,IMU Undergraduate Fees,Fees_Undergraduate_International.pdf,63
,,,,,,,,,,,,,
