course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
PHD in Civil Engineering (by research),PHD,3 Years,,3100,7760,46500,,,,,,,19
PHD in Information Technology,PHD,3 Years,,3100,7760,31500,,,,,,,19
PHD in Communication,PHD,3 Years,,3100,7760,31500,,,,,,,19
PHD in Education,PHD,3 Years,,3100,7760,27750,,,,,,,19
PHD in Business Administration ,PHD,3 Years,,3100,7760,31500,,,,,,,19
Masters in Built Environment,Masters ,1 1/2 Years,,3100,7760,29500,,,,,,,19
Masters in Architecture,Masters ,2 Years,,3100,7760,39000,,,,,,,19
Masters in Water Resources,Masters ,1 1/2 Years,,3100,7760,33600,,,,,,,19
Masters in Civil Engineering (by Research),Masters ,1 1/2 Years,,3100,7760,32000,,,,,,,19
Masters in Electronics Engineering (by research),Masters ,1 1/2 Years,,3100,7760,32000,,,,,,,19
Masters in Electronics Engineering (mixed mode),Masters ,1 1/2 Years,,3100,7760,29760,,,,,,,19
Masters in Construction Management,Masters ,1 1/2 Years,,3100,7760,29280,,,,,,,19
Masters in Information Technology,Masters ,1 1/2 Years,,3100,7760,27600,,,,,,,19
Masters in Information System,Masters ,1 1/2 Years,,3100,7760,27600,,,,,,,19
Masters in Communication,Masters ,1 1/2 Years,,3100,7760,27140,,,,,,,19
Masters in Teaching English and Other Language,Masters ,1 1/4 Years,,3100,7760,24780,,,,,,,19
Masters in Business Administration,Masters ,1 Year,,3100,7760,28560,,,,,,,19
