course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Bachelor of Science (Architectural Studies),Bachelor,3 Years,,3100,6300,73200,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Landscape Architecture,Bachelor,3 Years,,3100,6300,62500,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Quantity Surveying (Hons),Bachelor,3 Years,,3100,6300,56580,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Real Estate Management (Hons),Bachelor,3.5 Years,,3100,6300,52890,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Civil Engineering (Hons),Bachelor,4 Years,,3100,6300,77000,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Electronics Engineering (Hons),Bachelor,4 Years,,3100,6300,67000,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Mechanical Engineering (Hons),Bachelor,4 Years,,3100,6300,66000,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Technology (Hons) in Construction Management,Bachelor,3 Years,,3100,6300,56400,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Technology (Hons) in Automotive,Bachelor,3 Years,,3100,6300,56400,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Technology (Hons) In Water and Wastewater,Bachelor,3 Years,,3100,6300,56400,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Computer Science (Hons),Bachelor,3 Years,,3100,6300,54000,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of IT (Hons) in Network Technology,Bachelor,3 Years,,3100,6300,54000,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of  Software Engineering (Hons),Bachelor,3 Years,,3100,6300,54000,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Information Systems (Hons),Bachelor,3 Years,,3100,6300,54000,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Multimedia (Hons),Bachelor,3 Years,,3100,6300,54000,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Communication (Hons) in Corporate Communication,Bachelor,3 Years,,3100,6300,47580,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Communication (Hons) in Integrated Marketing Communication,Bachelor,3 Years,,3100,6300,45140,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Arts (Hons) Teaching of English to Speakers of Other Languages,Bachelor,3 Years,,3100,6300,44400,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Arts(Hons) in English for Professional Communication,Bachelor,3 Years,,3100,6300,46800,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Business Administration (Hons) in E-Commerce,Bachelor,3 Years,,3100,6300,48000,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Business Administration (Hons) (Major: Management),Bachelor,3 Years,,3100,6300,48000,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Accountancy (Hons),Bachelor,3.5 Years,,3100,6300,55600,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Science (Hons) in Logistics and Supply Chain Management,Bachelor,3 Years,,3100,6300,56120,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Science (Hons) in Economics and Finance,Bachelor,3 Years,,3100,6300,56120,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Bachelor of Biotechnology(Hons),Bachelor,3 Years,,3100,6300,53680,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Foundation in Science,Foundation,1 Year,,3100,6300,14700,Anytime,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Foundation in Arts,Foundation,1 Year,,3100,6300,12600,Anytime,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Architecture,Diploma,2.5 Years,,3100,6300,40420,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Geomatic Engineering,Diploma,3 Years,,3100,6300,26600,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Quantity Surveying,Diploma,2.5 Years,,3100,6300,29450,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Landscape Architecture,Diploma,2.5 Years,,3100,6300,30080,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Civil Engineering,Diploma,2.5 Years,,3100,6300,27440,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Electrical & Electronics Engineering,Diploma,2.5 Years,,3100,6300,25480,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Mechanical Engineering,Diploma,2.5 Years,,3100,6300,26320,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Automotive Engineering,Diploma,2.5 Years,,3100,6300,26880,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Software Engineering,Diploma,2.5 Years,,3100,6300,26320,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Information Technology,Diploma,2.5 Years,,3100,6300,25760,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Visual and Interactive Media,Diploma,2.5 Years,,3100,6300,29140,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Corporate Communication,Diploma,2.5 Years,,3100,6300,26880,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in English for Professional Communication,Diploma,2.5 Years,,3100,6300,26040,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Business Administration,Diploma,2 Years,,3100,6300,25200,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Accounting,Diploma,2.5 Years,,3100,6300,26600,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Agricultural Science (Plantation Management),Diploma,2.5 Years,,3100,6300,25760,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Biotechnology,Diploma,2.5 Years,,3100,6300,25760,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Diploma in Sports Management,Diploma,2.5 Years,,3100,6300,20700,Mar/Jun/Sept,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
Intensive English Programme (Full-time),Certificate,1 Year,,3100,6300,12600,Anytime,,,,UG Fees Structure 2020,IUKL-UG-FEES-STRUCTURE.pdf,19
PHD in Built Environment (by research),PHD,3 Years,,3100,7760,46500,Anytime,,,,,,19
PHD in Civil Engineering (by research),PHD,3 Years,,3100,7760,46500,Anytime,,,,,,19
PHD in Information Technology,PHD,3 Years,,3100,7760,31500,Anytime,,,,,,19
PHD in Communication,PHD,3 Years,,3100,7760,31500,Anytime,,,,,,19
PHD in Education,PHD,3 Years,,3100,7760,27750,Anytime,,,,,,19
PHD in Business Administration ,PHD,3 Years,,3100,7760,31500,Anytime,,,,,,19
Masters in Built Environment,Masters ,1.5 Years,,3100,7760,29500,Anytime,,,,,,19
Masters in Architecture,Masters ,2 Years,,3100,7760,39000,Anytime,,,,,,19
Masters in Water Resources,Masters ,1.5 Years,,3100,7760,33600,Anytime,,,,,,19
Masters in Civil Engineering (by Research),Masters ,1.5 Years,,3100,7760,32000,Anytime,,,,,,19
Masters in Electronics Engineering (by research),Masters ,1.5 Years,,3100,7760,32000,Anytime,,,,,,19
Masters in Electronics Engineering (mixed mode),Masters ,1.5 Years,,3100,7760,29760,Anytime,,,,,,19
Masters in Construction Management,Masters ,1.5 Years,,3100,7760,29280,Anytime,,,,,,19
Masters in Information Technology,Masters ,1.5 Years,,3100,7760,27600,Anytime,,,,,,19
Masters in Information System,Masters ,1.5 Years,,3100,7760,27600,Anytime,,,,,,19
Masters in Communication,Masters ,1.5 Years,,3100,7760,27140,Anytime,,,,,,19
Masters in Teaching English and Other Language,Masters ,1 1/4 Years,,3100,7760,24780,Anytime,,,,,,19
Masters in Business Administration,Masters ,1 Year,,3100,7760,28560,Anytime,,,,,,19
