course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Doctor in Business Administration,PhD,3 Years,6,2200,2040,30000,"Ongoing, Limited Seats Available.",,,,,,71
PhD in Information Technology,PhD,3 Years,6,2200,2040,30000,"Ongoing, Limited Seats Available.",,,,,,71
PhD in Health Science,PhD,3 Years,6,2200,2040,35000,"Ongoing, Limited Seats Available.",,,,,,71
PhD in Medical Physiology,PhD,3 Years,6,2200,2040,35000,"Ongoing, Limited Seats Available.",,,,,,71
PhD in Nursing,PhD,3 Years,6,2200,2040,35000,"Ongoing, Limited Seats Available.",,,,,,71
PhD in Pharmacy,PhD,3 Years,6,2200,2040,35000,"Ongoing, Limited Seats Available.",,,,,,71
PhD in Medical Science,PhD,3 Years,6,2200,2040,35000,"Ongoing, Limited Seats Available.",,,,,,71
Doctor of Philosophy (PhD) in Management,PhD,3 Years,6,2200,2040,30000,"Ongoing, Limited Seats Available.",,,,,,71
Doctor of Philosophy in Psychology,PhD,3 Years,6,2200,2040,30000,"Ongoing, Limited Seats Available.",,,,,,71
Doctor of Philosophy (PhD) in Accounting,PhD,3 Years,6,2200,2040,30000,"Ongoing, Limited Seats Available.",,,,,,71
Doctor of Philosophy (PhD) in Social Sciences,PhD,3 Years,6,2200,2040,30000,"Ongoing, Limited Seats Available.",,,,,,71
Doctor of Philosophy Engineering,PhD,3 Years,6,2200,2040,35000,"Ongoing, Limited Seats Available.",,,,,,71
Doctor of Philosophy (PhD) in Strategic Management,PhD,3 Years,6,2200,2040,30000,"Ongoing, Limited Seats Available.",,,,,,71
Mater in Medical Ultra Sound,Masters,2 Years,4,2200,2040,30000,"January, May, September",,,,,,71
Master of Pharmacy (By Research),Masters,2 Years,4,2200,2040,30000,"January, May, September",,,,,,71
Master in Nursing (Public Health),Masters,2 Years,4,2200,2040,25000,"January, May, September",,,,,,71
Master in Nursing (Midwifery),Masters,2 Years,4,2200,2040,25000,"January, May, September",,,,,,71
Master in Nursing (Education),Masters,2 Years,4,2200,2040,25000,"January, May, September",,,,,,71
Master in Nursing ( By Research),Masters,2 Years,4,2200,2040,25000,"January, May, September",,,,,,71
Master of Pharmacy,Masters,2 Years,4,2200,2040,28000,"January, May, September",,,,,,71
Master of Medical Science,Masters,1 Year,2,2200,2040,28000,"January, May, September",,,,,,71
Master of Science in Biotechnology,Masters,2 Years,4,2200,2040,28000,"January, May, September",,,,,,71
Master of Science in Microbiology,Masters,2 Years,4,2200,2040,28000,"January, May, September",,,,,,71
Master of Science Public Health,Masters,2 Years,4,2200,2040,25000,"January, May, September",,,,,,71
Master of Science in Psychology,Masters,2 Years,4,2200,2040,28000,"January, May, September",,,,,,71
Master of Business Administration in Health Care Management,Masters,2 Years,4,2200,2040,23000,"January, May, September",,,,,,71
Master of Health Care,Masters,2 Years,4,2200,2040,23000,"January, May, September",,,,,,71
Master of Social Work,Masters,2 Years,4,2200,2040,23000,"January, May, September",,,,,,71
Master of Education,Masters,2 Years,4,2200,2040,23000,"January, May, September",,,,,,71
Master of Communication,Masters,2 Years,4,2200,2040,23000,"January, May, September",,,,,,71
Master of Arts in Teaching of English as a second Language (MATESL),Masters,2 Years,4,2200,2040,23000,"January, May, September",,,,,,71
Master of Computer Science,Masters,2 Years,4,2200,2040,23000,"January, May, September",,,,,,71
Master of Science in Electrical & Electronic Engineering,Masters,2 Years,4,2200,2040,27000,"January, May, September",,,,,,71
Master of Science in Telecommunication Engineering,Masters,2 Years,4,2200,2040,27000,"January, May, September",,,,,,71
Master of Science in Alternative Energy,Masters,2 Years,4,2200,2040,27000,"January, May, September",,,,,,71
Master of Science in Civil Engineering,Masters,2 Years,4,2200,2040,27000,"January, May, September",,,,,,71
Master of Mechanical Engineering,Masters,2 Years,4,2200,2040,27000,"January, May, September",,,,,,71
Master in Tourism Management,Masters,2 Years,4,2200,2040,18000,"January, May, September",,,,,,71
MBA in Hospitality Management,Masters,2 Years,4,2200,2040,18000,"January, May, September",,,,,,71
Master in Finance,Masters,2 Years,4,2200,2040,23000,"January, May, September",,,,,,71
Master in Economy,Masters,2 Years,4,2200,2040,23000,"January, May, September",,,,,,71
Master of Business Administration,Masters,1 Year,2,2200,2040,15000,"January, May, September",,,,,,71
Master of Business Administration on oil & Gas,Masters,2 Years,4,2200,2040,19000,"January, May, September",,,,,,71
Master of Administration in Insurance,Masters,2 Years,4,2200,2040,19000,"January, May, September",,,,,,71
Master of Business Administration (Global Business),Masters,2 Years,4,2200,2040,19000,"January, May, September",,,,,,71
Master of Business Administration of Health Care Management,Masters,2 Years,4,2200,2040,19000,"January, May, September",,,,,,71
Master of Administration in Project Management,Masters,2 Years,4,2200,2040,19000,"January, May, September",,,,,,71
Master of Administration in Human Resource Management,Masters,2 Years,4,2200,2040,19000,"January, May, September",,,,,,71
Master of Public Administration,Masters,2 Years,4,2200,2040,19000,"January, May, September",,,,,,71
Master of Business Administration in Supply Chain and Logistics Management,Masters,2 Years,4,2200,2040,19000,"January, May, September",,,,,,71
Master of Business Administration in Islamic Banking,Masters,2 Years,4,2200,2040,19000,"January, May, September",,,,,,71
Master of Water Resource Management,Masters,2 Years,4,2200,2040,19000,"January, May, September",,,,,,71
Post Graduate Diploma in Railway Infrastructure Management,Masters,2 Years,4,2200,2040,19000,"January, May, September",,,,,,71
SarjanaSainsBioteknologi ( By Research) Master of Biotechnology,Masters,2 Years,4,2200,2040,35000,"January, May, September",,,,,,71
Master of Science in Applied Geology,Masters,2 Years,4,2200,2040,28000,"January, May, September",,,,,,71
Master of Computer Engineering and Application,Masters,2 Years,4,2200,2040,25000,"January, May, September",,,,,,71
Master of International Relations and Policies,Masters,2 Years,4,2200,2040,23000,"January, May, September",,,,,,71
Doctor of Medicine ( MD ),Bachelor,5 Years,10,2200,2040,250000,"January, May, September",,,,,,71
Doctor of Dental Surgery (DDS),Bachelor,5 Years,10,2200,2040,250000,"January, May, September",,,,,,71
Bachelor of Pharmacy ( B.Pharm ),Bachelor,4 Years,8,2200,2040,80000,"January, May, September",,,,,,71
Bachelor of Science (Hons) in Nursing 4+0,Bachelor,4 Years,8,2200,2040,60000,"January, May, September",,,,,,71
Bachelor of Science (Hons) in Nursing (Post Registration),Bachelor,2 Years,4,2200,2040,25000,"January, May, September",,,,,,71
Bachelor of Biotechnology ( Honours ),Bachelor,3 Years,6,2200,2040,60000,"January, May, September",,,,,,71
Bachelor of Homeopathy,Bachelor,4 Years,8,2200,2040,60000,"January, May, September",,,,,,71
Bachelor of Biomedical Science (Honours ),Bachelor,4 Years,8,2200,2040,60000,"January, May, September",,,,,,71
Bachelor of Mechanical Engineering Technology,Bachelor,4 Years,8,2200,2040,50000,"January, May, September",,,,,,71
Bachelor of  Mechanical Engineering Technology ( Aeronautics ) Hons,Bachelor,4 Years,8,2200,2040,50000,"January, May, September",,,,,,71
Bachelor of Civil Engineering Technology,Bachelor,4 Years,8,2200,2040,50000,"January, May, September",,,,,,71
Bachelor of Chemical Engineering Technology,Bachelor,4 Years,8,2200,2040,50000,"January, May, September",,,,,,71
Bachelor of Engineering Technology (Hons) in Electrical & Electronics,Bachelor,4 Years,8,2200,2040,50000,"January, May, September",,,,,,71
BA (Hons) in Creative Multimedia Technology,Bachelor,3 Years,6,2200,2040,27000,"January, May, September",,,,,,71
Bachelor of Information Technology (Hons),Bachelor,3 Years,6,2200,2040,27000,"January, May, September",,,,,,71
Bachelor of Computer Science (Hons) (Network Technology and Cybersecurity),Bachelor,3 Years,6,2200,2040,27000,"January, May, September",,,,,,71
Bachelor of Science ( Hons) in Hospitality Management,Bachelor,3 Years,6,2200,2040,27000,"January, May, September",,,,,,71
Bachelor of Psychology,Bachelor,3 Years,6,2200,2040,27000,"January, May, September",,,,,,71
Bachelor of Arts in Mass Communication,Bachelor,3 Years,6,2200,2040,27000,"January, May, September",,,,,,71
Bachelor of Economics and Finance (Hons),Bachelor,3 Years,6,2200,2040,27000,"January, May, September",,,,,,71
Bachelor (Hons) in Business Administration,Bachelor,3 Years,6,2200,2040,30000,"January, May, September",,,,,,71
Bachelor of Business in Banking and Finance (Hons),Bachelor,3 Years,6,2200,2040,27000,"January, May, September",,,,,,71
Bachelor of Business Administration in Human Resource Management,Bachelor,3 Years,6,2200,2040,27000,"January, May, September",,,,,,71
Bachelor of Business Administration in Accounting,Bachelor,3 Years,6,2200,2040,27000,"January, May, September",,,,,,71
Bachelor of Management (Oil and Gas Management ),Bachelor,3 Years,6,2200,2040,27000,"January, May, September",,,,,,71
Diploma in Pharmacy,Diploma,2.5 Years,5,2200,2040,30000,"January, May, September",,,,,,71
Diploma in Nursing,Diploma,2.5 Years,5,2200,2040,30000,"January, May, September",,,,,,71
Diploma in Medical Assistant,Diploma,2.5 Years,5,2200,2040,30000,"January, May, September",,,,,,71
Diploma in Physiotherapy,Diploma,2.5 Years,5,2200,2040,30000,"January, May, September",,,,,,71
Diploma in Aeronautical Engineering Technology (Aircraft Maintenance),Diploma,2.5 Years,5,2200,2040,25000,"January, May, September",,,,,,71
Diploma in Electrical & Electronic engineering,Diploma,2.5 Years,5,2200,2040,25000,"January, May, September",,,,,,71
Diploma in Mechanical Engineering,Diploma,2.5 Years,5,2200,2040,25000,"January, May, September",,,,,,71
Diploma in Architecture,Diploma,2.5 Years,5,2200,2040,25000,"January, May, September",,,,,,71
Diploma in Civil Engineering,Diploma,2.5 Years,5,2200,2040,25000,"January, May, September",,,,,,71
Diploma in Computer Science,Diploma,2.5 Years,5,2200,2040,20000,"January, May, September",,,,,,71
Diploma in Multimedia Applications,Diploma,2.5 Years,5,2200,2040,20000,"January, May, September",,,,,,71
Diploma in Mobile Computing,Diploma,2.5 Years,5,2200,2040,20000,"January, May, September",,,,,,71
Diploma in Accounting,Diploma,2.5 Years,5,2200,2040,20000,"January, May, September",,,,,,71
Diploma in Business Administration,Diploma,2.5 Years,5,2200,2040,20000,"January, May, September",,,,,,71
Diploma in Hotel Management,Diploma,2.5 Years,5,2200,2040,20000,"January, May, September",,,,,,71
Diploma in Culinary Arts,Diploma,2.5 Years,5,2200,2040,20000,"January, May, September",,,,,,71
Diploma in Early Childhood Education,Diploma,2.5 Years,5,2200,2040,25000,"January, May, September",,,,,,71
Diploma in Psychology,Diploma,2.5 Years,5,2200,2040,25000,"January, May, September",,,,,,71
Foundation in Science,Foundation,1 Year,2,2200,2040,10000,"January, May, September",,,,,,71
Foundation in Business and Computing,Foundation,1 Year,2,2200,2040,10000,"January, May, September",,,,,,71
Foundation in Art,Foundation,1 Year,2,2200,2040,10000,"January, May, September",,,,,,71
