course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Foundation in Engineering,Foundation,2 Year,1,2600,6900,16500,April/July/October,,,,,,50
Foundation in Science,Foundation,3 Year,1,2600,6900,16500,April/July/October,,,,,,50
Foundation in Business Studies,Foundation,1 Year,1,2600,6900,15000,Apr/July/October,,,,,,50
Diploma in Civil Engineering,Diploma,2.8 Years,8,2600,6900,32900,March/May/October,,,30%,,,50
Diploma in Mechanical Engineering,Diploma,2.8 Years,8,2600,6900,31800,March/May/October,,,30%,,,50
Diploma in Computer & Electronics Engineering,Diploma,2.8 Years,8,2600,6900,34000,March/May/October,,,30%,,,50
Diploma in Applied Sciences,Diploma,2.8 Years,8,2600,6900,32500,March/May/October,,,30%,,,50
Diploma in Business Administration,Diploma,2.5 Years,7,2600,6900,28200,March/May/October,,,30%,,,50
Diploma in Mass Communication,Diploma,2.5 Years,7,2600,6900,27300,March/May/October,,,30%,,,50
Bachelor of Chemical Engineering,Bachelor,4 Years,12,2600,8000,88000,March/May/October,,,,,,50
Bachelor of Civil Engineering,Bachelor,4 Years,12,2600,8000,88000,March/May/October,,,,,,50
Bachelor of Computer Engineering,Bachelor,4 Years,12,2600,8000,88000,March/May/October,,,,,,50
Bachelor of Electrical and Electronics Engineering,Bachelor,4 Years,12,2600,8000,88000,March/May/October,,,,,,50
Bachelor of Electronics Engineering (Communication),Bachelor,4 Years,12,2600,8000,88000,March/May/October,,,,,,50
Bachelor of Mechanical Engineering,Bachelor,4 Years,12,2600,8000,88000,March/May/October,,,,,,50
Bachelor of Computer Science,Bachelor,3 Years,9,2600,8000,61000,March/May/October,,,,,,50
Bachelor of Science (Biotechnology) (Hons),Bachelor,3 Years,9,2600,8000,62500,March/May/October,,,,,,50
Bachelor of Business Administration (Hons),Bachelor,3 Years,9,2600,8000,48500,March/May/October,,,30%,,,50
Bachelor of Actuarial Finance (Hons),Bachelor,3 Years,9,2600,8000,51000,March/May/October,,,,,,50
Bachelor of Business Administration (Hons) (Marketing),Bachelor,3 Years,9,2600,8000,51000,March/May/October,,,30%,,,50
Bachelor of Business Administration (Hons) (Finance),Bachelor,3 Years,9,2600,8000,52500,March/May/October,,,30%,,,50
Bachelor of Business Administration (Hons) (Islamic Finance),Bachelor,3 Years,9,2600,8000,52500,March/May/October,,,30%,,,50
Bachelor of Business Administration (Hons) (International Business),Bachelor,3 Years,9,2600,8000,52500,March/May/October,,,30%,,,50
Bachelor of Accounting (Hons),Bachelor,4 Years,12,2600,8000,56000,March/May/October,,,30%,,,50
English Enhancement Program,Language,1 Year,3,2600,6900,7200,March/May/October,,,,,,50
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,"Food Technology, Chemical & Bioengineering",,,,,
