course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,uid
Doctor of Philosophy (Business),PhD,2 years,4,2625,46486,49111,Feb/ Apr/Jun/Aug/Oct,,,,37
Master of Business Administration,Masters,1 year,2,2625,47064,49689,Jan/ May/ Aug,,,,37
Master in Management,Masters,1 year,2,2625,51649,54274,Feb/ May/ Jul/ Oct,,,,37
Master in Finance,Masters,1 year,2,2625,51649,54274,Feb/ May/ Jul/ Oct,,,,37
Bachelor of Business (Hons) Business Administration,Bachelor,3 years,6,2625,112099,114724,Mar/ Aug/ Oct,"Dual Award with the University of the West of England, UK",,,37
"Bachelor of Business (Hons) Human Resource Management
",Bachelor,3 years,6,2625,101369,103994,Mar/ Aug/ Oct,"Dual Award with the University of the West of England, UK",,,37
"Bachelor of Business (Hons) International Business
",Bachelor,3 years,6,2625,101609,104234,Mar/ Aug/ Oct,"Dual Award with the University of the West of England, UK",,,37
"Bachelor of Business (Hons) International Business & Marketing
",Bachelor,3 years,6,2625,99109,101734,Mar/ Aug/ Oct,"Dual Award with the University of the West of England, UK",,,37
"Bachelor of Business (Hons) Marketing
",Bachelor,3 years,6,2625,99109,101734,Mar/ Aug/ Oct,"Dual Award with the University of the West of England, UK",,,37
"Bachelor of Arts (Hons) Accounting & Finance
",Bachelor,3 years,6,2625,97469,100094,Mar/ Aug/ Oct,"Dual Award with the University of the West of England, UK",,,37
"Bachelor of Business (Hons) Banking & Finance
",Bachelor,3 years,6,2625,96701,99326,Mar/ Aug/ Oct,"Dual Award with the University of the West of England, UK",,,37
"Bachelor of Business (Hons) Finance & Economics
",Bachelor,3 years,6,2625,96701,99326,Mar/ Aug/ Oct,"Dual Award with the University of the West of England, UK",,,37
Bachelor of Science (Hons) Actuarial Studies,Bachelor,3 years,6,2625,108975,111600,Aug/ Oct,,,,37
Diploma in Business,Diploma,2 years,4,2625,45362,47987,Mar/ Jul,,,,37
Taylor's Business Foundation,Foundation,1 year,2,2625,21039,23664,Jan/ Mar/ Jul,,,,37
Foundation in Arts (FIA),Foundation,1 year,2,2625,21039,23664,Jan/ Mar/ Jul,,,,37
Doctor of Philosophy (Hospitality & Tourism),PhD,2 years,4,2625,43986,46611.4,Feb/ Apr/ Jun/ Aug/ Oct,,,,37
"Master in International Hospitality Management
",Masters,2 years,4,2625,48045,50670,Feb/ May/ Jul/ Oct,"Dual Award with University of Toulouse, France",,,37
"Master of Philosophy (Food Studies)
",Masters,1.5 years,3,2625,37335,39960,Feb/ Jul,"Dual Award with University of Toulouse, France",,,37
Master of Science (Tourism),Masters,1 year,2,2625,25655,28280,Feb/ Apr/ Jun/ Aug/ Oct,,,,37
"Bachelor of Culinary Arts & Foodservice Management (Hons) *
",Bachelor,3 years,6,2625,94759,97384,Mar/ Aug/ Oct,"Dual Award with University of Toulouse, France",,,37
"Bachelor of International Hospitality Management (Hons) *
",Bachelor,,6,2625,94659,97284,,"Dual Award with University of Toulouse, France",,,37
"Bachelor of International Tourism Management (Hons) (Events Management) *
",Bachelor,,6,2625,93802,96427,Mar/ Aug,"Dual Award with University of Toulouse, France",,,37
"Bachelor of International Tourism Management (Hons) (Travel & Recreation Management) *
",Bachelor,,6,2625,93820,96445,,"Dual Award with University of Toulouse, France",,,37
Bachelor of Science (Hons) (Culinology®),Bachelor,,6,2625,101056,103681,,,,,37
Advanced Diploma in Patisserie & Gastronomic Cuisine,Diploma,1 year,2,2625,29577,32202,Jan/ Aug,,,,37
Diploma in Hotel Management,Diploma,2 years,4,2625,44950,47575,Jan/ May/ Aug,,,,37
