course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Foundation in Engineering for Spanish Universities,Foundation,1 Year,2,2200,6200,,May,,,,,,43
Foundation in Pre-France University,Foundation,1.5 Years,3,2200,6200,,May,,,,,,43
Foundation in Science and Technology,Foundation,1 Years,3,2200,6200,18000,May,,,,,,43
Foundation in Computer Technology,Foundation,,3,2200,6200,19500,June,,,,,,43
Science and Technology for Korean Universities,Foundation,1 Year,2,2200,6200,,June,,,,,,43
Science and Technology,Foundation,1.5 Years,3,2200,6200,,May,,,,,,43
Foundation in Medical Science,Foundation,1 Year,,2200,6200,25000,,,,,,,43
Foundation in Business ,Foundation,1 Year,2,2200,6200,17000,June,,,,,,43
Foundation in Science,Foundation,1 Year,2,2200,6200,,July,,,,,,43
Foundation for Korean University (self-sponsored),Foundation,1.5 Years,3,2200,6200,,May,,,,,,43
Pre- Russian University Engineering Program,Foundation,1 Year,2,2200,6200,,may,,,,,,43
Diploma in IT,Diploma,3 Years,6,2200,6200,35100,Jan/Jun/July/Sep,,,,,,43
Diploma in Mltimedia,Diploma,3 Years,6,2200,6200,35100,Jan/Jun/July/Sep,,,,,,43
Diploma in computer & networking,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in animation,Diploma,3 Years,6,2200,6200,50700,Jan/Jun/July/Sep,,,,,,43
Diploma in computing,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in Engineering Technology Electrical & Electronics,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in medical electonics,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in talecommunication ,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in biomedical lab science ,Diploma,3 Years,6,2200,6200,44100,Jan/Jun/July/Sep,,,,,,43
Diploma in Environmental health science ,Diploma,3 Years,6,2200,6200,44100,Jan/Jun/July/Sep,,,,,,43
Diploma in medical Laboratory Technology,Diploma,3 Years,6,2200,6200,44100,Jan/Jun/July/Sep,,,,,,43
Diploma in automated system maintenance ,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in electrical equipment & installation ,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in Machine building & maintenance ,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in Airconditioning & refrigeration ,Diploma,3 Years,6,2200,6200,46200,Jan/Jun/July/Sep,,,,,,43
Diploma in Metal febrication ,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in welding ,Diploma,3 Years,6,2200,6200,44700,Jan/Jun/July/Sep,,,,,,43
Diploma in Automotive maintenance ,Diploma,3 Years,6,2200,6200,46200,Jan/Jun/July/Sep,,,,,,43
Diploma in aircraft [avionics],Diploma,3 Years,6,2200,6200,50700,Jan/Jun/July/Sep,,,,,,43
Diploma in aircraft [Composites],Diploma,3 Years,6,2200,6200,50700,Jan/Jun/July/Sep,,,,,,43
Diploma in aircraft [Manufacturing],Diploma,3 Years,6,2200,6200,50700,Jan/Jun/July/Sep,,,,,,43
Diploma in Avionics maintenance,Diploma,3 Years,6,2200,6200,50700,Jan/Jun/July/Sep,,,,,,43
Diploma in Helicoptar Maintenance ,Diploma,3 Years,6,2200,6200,50700,Jan/Jun/July/Sep,,,,,,43
Diploma In Aeroplane Maintenance ,Diploma,3 Years,6,2200,6200,50700,Jan/Jun/July/Sep,,,,,,43
Diploma in Chemical Engineering [Bio-process],Diploma,3 Years,6,2200,6200,44700,Jan/Jun/July/Sep,,,,,,43
Diploma in Chemical Engineering [process],Diploma,3 Years,6,2200,6200,44700,Jan/Jun/July/Sep,,,,,,43
Diploma in Chemical Engineering [Environmental],Diploma,3 Years,6,2200,6200,44700,Jan/Jun/July/Sep,,,,,,43
Diploma in Chemical [Food],Diploma,3 Years,6,2200,6200,44700,Jan/Jun/July/Sep,,,,,,43
Diploma in Chemical [Polymer],Diploma,3 Years,6,2200,6200,44700,Jan/Jun/July/Sep,,,,,,43
Diploma in Ship Design ,Diploma,3 Years,6,2200,6200,46800,Jan/Jun/July/Sep,,,,,,43
Diploma in Ship Maintenance & Construction,Diploma,3 Years,6,2200,6200,46800,Jan/Jun/July/Sep,,,,,,43
Diploma in Marine ,Diploma,3 Years,6,2200,6200,50700,Jan/Jun/July/Sep,,,,,,43
Diploma in Marine electrical & electronics ,Diploma,3 Years,6,2200,6200,46800,Jan/Jun/July/Sep,,,,,,43
Diploma in Mechanical Design & Development,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in Mould Manufacturing ,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in Production Engineering ,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in Automated regulation & Control,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in Elecromechanical installation & Maintenance ,Diploma,3 Years,6,2200,6200,42300,Jan/Jun/July/Sep,,,,,,43
Diploma in Quality Engineering ,Diploma,3 Years,6,2200,6200,44100,Jan/Jun/July/Sep,,,,,,43
Diploma in industrial logistics ,Diploma,3 Years,6,2200,6200,44100,Jan/Jun/July/Sep,,,,,,43
Diploma in pharmacy,Diploma,3 Years,6,2200,6200,50700,Jan/Jun/July/Sep,,,,,,43
Diploma in Nursing ,Diploma,3 Years,6,2200,6200,51600,Jan/Jun/July/Sep,,,,,,43
Diploma in Radiography ,Diploma,3 Years,6,2200,6200,50700,Jan/Jun/July/Sep,,,,,,43
Diploma in physiotherapy ,Diploma,3 Years,6,2200,6200,62400,Jan/Jun/July/Sep,,,,,,43
Diploma in Nursing ,Diploma,3 Years,6,2200,6200,51600,Jan/Jun/July/Sep,,,,,,43
Bachelor in accounting ,Bachelor,3.5 Years,7,2200,6200,59150,Apr/May/Sept/Nov,,,,,,43
Bachelor of Aircraft Engineering Technology (Hons) in Avionics,Bachelor,4 Years,8,2200,6200,84400,Apr/May/Sept/Nov,,,,,,43
Bachelor of Aircraft Engineering Technology (Hons) in Mechanical,Bachelor,4 Years,8,2200,6200,84400,Feb/ Sep,,,,,,43
Bachelor of Aviation Management (Hons.),Bachelor,4 Years,8,2200,6200,78000,Feb/ Sep,,,,,,43
Bachelor of Business Admin in Management and Entrepreneurship,Bachelor,4 Years,6,2200,6200,46800,Jan/Jun/July/Sep,,,,,,43
Bachelor of Business Administration (Hons) International Business,Bachelor,3 Years,6,2200,6200,50700,Jan/Jun/July/Sep,,,,,,43
Bachelor of Business Administration (Hons.) in Islamic Finance,Bachelor,3 Years,6,2200,6200,46800,Jan/Jun/July/Sep,,,,,,43
Bachelor of Business Technology (Hons.) in Computer Entrepreneurial Management,Bachelor,4 Yearss,8,2200,6200,70400,Jan/sep,,,,,,43
Bachelor of Chemical Engineering Technology (Hons.) in Bioprocess,Bachelor,4 Yearss,8,2200,6200,78000,jan/sep,,,,,,43
Bachelor of Chemical Engineering Technology in Environment,Bachelor,4 Yearss,8,2200,6200,78000,Jan/Apr/ August,,,,,,43
Bachelor of Chemical Engineering Technology (Hons.) in Food,Bachelor,4 Yearss,8,2200,6200,78000,Jan/Apr/ August,,,,,,43
Bachelor of Chemical Engineering Technology (Hons.) in Polymer,Bachelor,4 Yearss,8,2200,6200,78000,Jan/Apr/ August,,,,,,43
Bachelor of Chemical Engineering Technology (Hons.) in Process,Bachelor,4 Yearss,8,2200,6200,78000,Jan/Apr/ August,,,,,,43
Bachelor of Clinical Laboratory Science (Hons.),Bachelor,4 Yearss,8,2200,6200,78000,Jan/Apr/ August,,,,,,43
Bachelor of Computer Engineering (Hons.),Bachelor,4 Yearss,8,2200,6200,70400,Jan/Apr/ August,,,,,,43
Bachelor of Engineering Technology (Hons.) in Electronics,Bachelor,4 Yearss,8,2200,6200,78000,Jan/Apr/ August,,,,,,43
Bachelor of Engineering Technology (Hons) in Business Management,Bachelor,4 Yearss,8,2200,6200,78000,Jan/Apr/ August,,,,,,43
Bachelor of Engineering Technology (Hons) in Facilities Maintenance Engineering,Bachelor,4 Yearss,8,2200,6200,78000,Jan/Apr/ August,,,,,,43
Bachelor of Engineering Technology (Hons) in Industrial Design,Bachelor,4 Yearss,8,2200,6200,78000,Jan/Apr/ August,,,,,,43
Bachelor of Engineering Technology (Hons) in Instrumentation and Control Engineering,Bachelor,4 Yearss,8,2200,6200,78000,Jan/Apr/ August,,,,,,43
Bachelor of Engineering Technology (Hons) in Manufacturing Systems,Bachelor,4 Yearss,8,2200,6200,78000,Jan/Apr/ August,,,,,,43
