course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation Non Engineering,Foundation,1 year,3,2300,6400,24400,Apr/May/Sept/Nov,"(Business & Finance, Computing & Technology, Design, International Studies)",,,APU Leaflet 2018,2018_Int_Leaflet.pdf,1
Foundation Engineering,Foundation,1 year,3,2300,6400,24900,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,2
Diploma in Information & Communication Technology,Diploma,2.4 years,6,2300,6400,47200,Apr/May/Sept/Nov,,Full Payment: RM 45000,,APU Leaflet 2018,2018_Int_Leaflet.pdf,3
Diploma in Information & Communication Technology (Software Engineering),Diploma,2.4 years,6,2300,6400,47200,Apr/May/Sept/Nov,,Full Payment: RM 45001,,APU Leaflet 2018,2018_Int_Leaflet.pdf,4
Diploma in Business with Information Technology,Diploma,2.4 years,6,2300,6400,47200,Apr/May/Sept/Nov,,Full Payment: RM 45002,,APU Leaflet 2018,2018_Int_Leaflet.pdf,5
Diploma in Business Administration,Diploma,2.4 years,6,2300,6400,47200,Apr/May/Sept/Nov,,Full Payment: RM 45003,,APU Leaflet 2018,2018_Int_Leaflet.pdf,6
Diploma in Accounting,Diploma,2.4 years,6,2300,6400,47200,Apr/May/Sept/Nov,,Full Payment: RM 45004,,APU Leaflet 2018,2018_Int_Leaflet.pdf,7
Diploma in Finance,Diploma,2.4 years,6,2300,6400,47200,Apr/May/Sept/Nov,,Full Payment: RM 45005,,APU Leaflet 2018,2018_Int_Leaflet.pdf,8
Diploma in International Studies,Diploma,2.4 years,6,2300,6400,47200,Apr/May/Sept/Nov,,Full Payment: RM 45006,,APU Leaflet 2018,2018_Int_Leaflet.pdf,9
Diploma in Design & Media,Diploma,2.4 years,6,2300,6400,47200,Apr/May/Sept/Nov,,Full Payment: RM 45007,,APU Leaflet 2018,2018_Int_Leaflet.pdf,10
Diploma in Journalism,Diploma,2.4 years,6,2300,6400,47200,Apr/May/Sept/Nov,,Full Payment: RM 45008,,APU Leaflet 2018,2018_Int_Leaflet.pdf,11
Diploma in Electrical & Electronic Engineering,Diploma,28 Months,6,2300,6400,47200,Apr/May/Sept/Nov,,Full Payment: RM 45009,,APU Leaflet 2018,2018_Int_Leaflet.pdf,12
BA (Hons) Animation,Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,13
BA (Hons) VFX: Visual Effects and Concept Design,Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,14
BSc (Hons) Digital Film and 3D Animation,Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,15
Bachelor in CGI & Digital Effects,Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,16
BA (Hons) Product Design,Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,17
BA (Hons) Transport Design,Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,18
BA (Hons) Advertising & Brand Management,Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,19
BSc (Hons) Forensic Computing,Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,20
BSc (Hons) Cyber Security,Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,21
BSc (Hons) Business Information Technology,Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,22
Bachelor in Business Computing,Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,23
Bachelor in Business Computing (E-Commerce),Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,24
BA (Hons) International Relations,Bachelor,3 year,6,2300,6400,82200,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,25
BSc (Hons) in Information Technology,Bachelor,3 year,6,2300,6400,83800,Apr/May/Sept/Nov,"Specialization in: Information System Security, Database Administration, Cloud Computing, Network Computing, Mobile Technology, Business Information System, Internet of Things (IoT)",,,APU Leaflet 2018,2018_Int_Leaflet.pdf,26
BSc (Hons) in Software Engineering,Bachelor,3 year,6,2300,6400,83800,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,27
BSc (Hons) in Computer Science,Bachelor,3 year,6,2300,6400,83800,Apr/May/Sept/Nov,Specialism in Data Analytics,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,28
BSc (Hons) in Intelligent Systems,Bachelor,3 year,6,2300,6400,83800,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,29
Bachelor in Internet Technology,Bachelor,3 year,6,2300,6400,83800,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,30
Bachelor in Technopreneurship,Bachelor,3 year,6,2300,6400,83800,Apr/May/Sept/Nov,,,,APU Leaflet 2018,2018_Int_Leaflet.pdf,31
