course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
English Course,Certificate,6 months,,4600,,8500,AnyTime,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,958
Foundation in Arts,Foundation,1 year,,4600,,20900,Jan/Apr/Sept/Nov,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,959
A Levels Express Route (2subjects)- Arts,A Levels,1 year,,4600,2100,25900,Jan/Sept,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,960
A Levels Standard Route (2subjects)- Arts,A Levels,18 months,,4600,2100,20900,Jan/Sept,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,961
A Levels Standard Route (3subjects)- Arts,A Levels,18 months,,4600,3000,27900,Jan/Sept,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,962
A Levels Standard Route (4subjects)- Arts,A Levels,18 months,,4600,3900,33900,Jan/Sept,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,963
A Levels Standard Route (3subjects)- Science,A Levels,18 months,,4600,3000,28900,Jan/Sept,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,964
A Levels Standard Route (4subjects)- Science,A Levels,18 months,,4600,3900,33900,Jan/Sept,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,965
UKT Business,Bachelor,3 years,,4600,,25000,Jan/Apr/Sept/Nov,,"Total tuition fee here is given per year, it is not full tuition fees.",,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,966
UKT Accounting & Finance,Bachelor,3 years,,4600,,25000,Jan/Apr/Sept/Nov,,"Total tuition fee here is given per year, it is not full tuition fees.",,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,967
UKT LAW(LLB),Bachelor,3 years,,4600,,32000,Jan/Apr/Sept/Nov,,"Total tuition fee here is given per year, it is not full tuition fees.",,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,968
Business and Management with Law,Bachelor,3 years,,4600,4417,89400,Jan/Apr/Sept/Nov,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,969
Economics with Law,Bachelor,3 years,,4600,4417,89400,Jan/Apr/Sept/Nov,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,970
Marketing with Law,Bachelor,3 years,,4600,4417,89400,Jan/Apr/Sept/Nov,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,971
Accounting & Finance with Law,Bachelor,3 years,,4600,4417,89400,Jan/Apr/Sept/Nov,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,972
UNIVERSITY OF LONDON INT. PROGRAMME (LLB),Bachelor,3 years,,4600,11619,47000,Jan/Apr/Sept/Nov,,,,BAC International Student Fees 2018-2019,BAC International Student Fees 2018-2019.pdf,973
