course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Arts Stream,Foundation,1 Year,,,3050,23176,"March, August",,,,,,1341
Commerce Stream,Foundation,1 Year,,,3050,23176,"March, August",,,,,,1342
Engineering and Science Stream,Foundation,1 Year,,,3050,23176,"March, August",,,,,,1343
Intensive English Program,Foundation,1 Year,,,3050,4577,"Jan, Apr, Jun, Sep",,Tuition fee is shown per term,,,,1344
Pre University English Program ,Foundation,1 Year,,,3050,3221,"March, August",,Tuition fee is shown per unit,,,,1345
Bachelor of Arts (Mass Communication),Bachelor,3 Years,,,3050,101592,"February, July",,Deadline 6th Jan and 9th June,,,,1346
Bachelor of Business Administration,Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1347
Bachelor of Commerce (Accounting),Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1348
Bachelor of Commerce (Finance),Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1349
Bachelor of Accounting and Banking,Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1350
Bachelor of Accounting and Entrepreneurship,Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1351
Bachelor of Accounting and Finance,Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1352
Bachelor of Banking and Finance,Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1353
Bachelor of Entrepreneurship and Marketing,Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1354
Bachelor of Finance and Management,Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1355
Bachelor of Finance and Marketing,Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1356
Bachelor of Management and Marketing,Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1357
Bachelor of Marketing and Public Relations,Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1358
Bachelor of Public Relations and Management,Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1359
"Bachelor of Tourism, Hospitality and Marketing",Bachelor,3 Years,,,3050,95640,"February, July",,Deadline 6th Jan and 9th June,,,,1360
Bachelor of Chemical Engineering,Bachelor,4 Years,,,3050,170688,"February, July",,Deadline 6th Jan and 9th June,,,,1361
Bachelor of Civil and Construction Engineering,Bachelor,4 Years,,,3050,170688,"February, July",,Deadline 6th Jan and 9th June,,,,1362
Bachelor of Environmental Engineering,Bachelor,4 Years,,,3050,170688,"February, July",,Deadline 6th Jan and 9th June,,,,1363
Bachelor of Mechanical Engineering,Bachelor,4 Years,,,3050,170688,"February, July",,Deadline 6th Jan and 9th June,,,,1364
Bachelor of Petroleum Engineering,Bachelor,4 Years,,,3050,170688,"February, July",,Deadline 6th Jan and 9th June,,,,1365
Bachelor of Electrical and Electronic Engineering,Bachelor,4 Years,,,3050,170688,"February, July",,Deadline 6th Jan and 9th June,,,,1366
Bachelor of Applied Geology,Bachelor,4 Years,,,3050,170688,"February, July",,Deadline 6th Jan and 9th June,,,,1367
Bachelor of Computer Systems and Networking,Bachelor,3 Years,,,3050,120360,"February, July",,Deadline 6th Jan and 9th June,,,,1368
Graduate Certificate in Project Management,Certificate,1 to 2 Years,,,3050,4481,"February, July",,Tuition fee is shown per unit,,,,1369
Graduate Diploma in Project Management ,Diploma,1 to 2 Years,,,3050,4481,"February, July",,Tuition fee is shown per unit,,,,1370
Graduate Certificate in Policy Science ,Certificate,1 to 2 Years,,,3050,4481,"February, July",,Tuition fee is shown per unit,,,,1371
Graduate Diploma in Policy Science,Diploma,1 to 2 Years,,,3050,4481,"February, July",,Tuition fee is shown per unit,,,,1372
Master of Science (Project Management),Masters,1 to 2 Years,,,3050,4481,"February, July",,Tuition fee is shown per unit,,,,1373
Master of Policy Science,Masters,1 to 2 Years,,,3050,5567,"February, July",,Tuition fee is shown per unit,,,,1374
Master of Engineering Science (Electrical Engineering),Masters,1 to 2 Years,,,3050,6225,"February, July",,Tuition fee is shown per unit,,,,1375
Master of Petroleum Engineering,Masters,1 to 2 Years,,,3050,7641,"February, July",,Tuition fee is shown per unit,,,,1376
Master of Engineering Management,Masters,1 to 2 Years,,,3050,7641,"February, July",,Tuition fee is shown per unit,,,,1377
Master of Philosophy Electrical and Computer Engineering (by Research),Masters,1 to 2 Years,,,3050,33024,"February, July",,Tuition fee is shown per annuam,,,,1378
Master of Philosophy Mechanical Engineering (by Research),Masters,1 to 2 Years,,,3050,33024,"February, July",,Tuition fee is shown per annuam,,,,1379
Master of Philosophy  Civil Engineering (by Research),Masters,1 to 2 Years,,,3050,33024,"February, July",,Tuition fee is shown per annuam,,,,1380
Master of Philosophy Chemical Engineering (by Research),Masters,1 to 2 Years,,,3050,33024,"February, July",,Tuition fee is shown per annuam,,,,1381
Master of Philosophy Applied Geology (by Research),Masters,1 to 2 Years,,,3050,33024,"February, July",,Tuition fee is shown per annuam,,,,1382
"Master of Philosophy  Media, Culture & Creative Arts  (by Research)",Masters,1 to 2 Years,,,3050,34800,"February, July",,Tuition fee is shown per annuam,,,,1383
Master of Philosophy Accounting  (by Research),Masters,1 to 2 Years,,,3050,36736,"February, July",,Tuition fee is shown per annuam,,,,1384
Master of Philosophy   Business Law and Taxation  (by Research),Masters,1 to 2 Years,,,3050,36736,"February, July",,Tuition fee is shown per annuam,,,,1385
Master of Philosophy   Economic and Finance  (by Research),Masters,1 to 2 Years,,,3050,36736,"February, July",,Tuition fee is shown per annuam,,,,1386
Master of Philosophy  Information Systems  (by Research),Masters,1 to 2 Years,,,3050,36736,"February, July",,Tuition fee is shown per annuam,,,,1387
Master of Philosophy  Management  (by Research),Masters,1 to 2 Years,,,3050,36736,"February, July",,Tuition fee is shown per annuam,,,,1388
Master of Philosophy  Marketing  (by Research),Masters,1 to 2 Years,,,3050,36736,"February, July",,Tuition fee is shown per annuam,,,,1389
Master of Philosophy Public Relations (by Research),Masters,1 to 2 Years,,,3050,36736,"February, July",,Tuition fee is shown per annuam,,,,1390
Doctor of Philosophy Engineering & Science  (by Research),PhD,3 to 5 Years,,,3050,44456,,,Tuition fee is shown per annuam,,,,1391
Doctor of Philosophy Business  (by Research),PhD,3 to 5 Years,,,3050,44456,,,Tuition fee is shown per annuam,,,,1392
