course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Bachelor in Science (Architectural Studies),Bachelor,3 Years,,3100,7800,73200,Mar/Jun/Sept,,,,,,132
Bachelor in Landscape Architecture,Bachelor,3 Years,,3100,7800,62500,Mar/Jun/Sept,,,,,,133
Bachelor in Quantity Surveying (Hons),Bachelor,3 Years,,3100,7800,56580,Mar/Jun/Sept,,,,,,134
Bachelor in Real Estate Management (Hons),Bachelor,3.5 Years,,3100,7800,52890,Mar/Jun/Sept,,,,,,135
Bachelor in Civil Engineering (Hons),Bachelor,4 Years,,3100,7800,77000,Mar/Jun/Sept,,,,,,136
Bachelor in Electronics Engineering (Hons),Bachelor,4 Years,,3100,7800,67000,Mar/Jun/Sept,,,,,,137
Bachelor in Mechanical Engineering (Hons),Bachelor,4 Years,,3100,7800,66000,Mar/Jun/Sept,,,,,,138
Bachelor in Technology (Hons) in Construction Management,Bachelor,3 Years,,3100,7800,56400,Mar/Jun/Sept,,,,,,139
Bachelor in Technology (Hons) in Automotive,Bachelor,3 Years,,3100,7800,56400,Mar/Jun/Sept,,,,,,140
Bachelor in Computer Science (Hons),Bachelor,3 Years,,3100,7800,54000,Mar/Jun/Sept,,,,,,141
Bachelor in Information Technology (Hons) in Network Technology,Bachelor,3 Years,,3100,7800,54000,Mar/Jun/Sept,,,,,,142
Bachelor in Software Engineering,Bachelor,3 Years,,3100,7800,54000,Mar/Jun/Sept,,,,,,143
Bachelor in Information System (Hons),Bachelor,3 Years,,3100,7800,54000,Mar/Jun/Sept,,,,,,144
Bachelor in Multimedia (Hons),Bachelor,3 Years,,3100,7800,54000,Mar/Jun/Sept,,,,,,145
Bachelor in Corporate Communication (Hons),Bachelor,3 Years,,3100,7800,47580,Mar/Jun/Sept,,,,,,146
Bachelor in Communication (Hons) in Integrated Marketing Communication,Bachelor,3 Years,,3100,7800,45140,Mar/Jun/Sept,,,,,,147
Bachelor in BA (Hons) in Teaching English to Speakers of Other Languages (TESOL),Bachelor,3 Years,,3100,7800,44400,Mar/Jun/Sept,,,,,,148
Bachelor in BA (Hons) English for Professional Communication,Bachelor,3 Years,,3100,7800,46800,Mar/Jun/Sept,,,,,,149
Business Administration in E- Commerce,Bachelor,3 Years,,3100,7800,48000,Mar/Jun/Sept,,,,,,150
Business Administration (Hons),Bachelor,3 Years,,3100,7800,48000,Mar/Jun/Sept,,,,,,151
Bachelor in Accountancy (Hons),Bachelor,3.5 Years,,3100,7800,55600,Mar/Jun/Sept,,,,,,152
Bachelor in Science (Hons) in Logistics and Supply Chain Management,Bachelor,3 Years,,3100,7800,56120,Mar/Jun/Sept,,,,,,153
Bachelor in Science (Hons) in Economics and Finance,Bachelor,3 Years,,3100,7800,56120,Mar/Jun/Sept,,,,,,154
Bachelor in Biotechnology (Hons),Bachelor,3 Years,,3100,7800,53680,Mar/Jun/Sept,,,,,,155
Foundation Science,Foundation,1 Year,3 sem,3100,7800,14700,Anytime,,,,,,156
Foundation Arts,Foundation,1 Year,3 sem,3100,7800,12600,Anytime,,,,,,157
Diploma in Architectural,Diploma,2.5 Years,,3100,7800,40420,Mar/Jun/Sept,,,,,,158
Diploma in Geomatic Engineering,Diploma,3 Years,,3100,7800,26600,Mar/Jun/Sept,,,,,,159
Diploma in Quantity Surveying ,Diploma,2.5 Years,,3100,7800,29450,Mar/Jun/Sept,,,,,,160
Diploma in Landscape Architecture,Diploma,2.5 Years,,3100,7800,30080,Mar/Jun/Sept,,,,,,161
Diploma in Civil Engineering ,Diploma,2.5 Years,,3100,7800,27440,Mar/Jun/Sept,,,,,,162
Diploma in Electrical & Electronics Engineering,Diploma,2.5 Years,,3100,7800,25480,Mar/Jun/Sept,,,,,,163
Diploma in Mechanical Engineering ,Diploma,2.5 Years,,3100,7800,26320,Mar/Jun/Sept,,,,,,164
Diploma in Automotive Engineering,Diploma,2.5 Years,,3100,7800,26880,Mar/Jun/Sept,,,,,,165
Diploma in Software Engineering,Diploma,2.5 Years,,3100,7800,26320,Mar/Jun/Sept,,,,,,166
Diploma in Information Technology,Diploma,2.5 Years,,3100,7800,25760,Mar/Jun/Sept,,,,,,167
Diploma in Visual and Interective Media,Diploma,2.5 Years,,3100,7800,29140,Mar/Jun/Sept,,,,,,168
Diploma in Corporate Communication,Diploma,2.5 Years,,3100,7800,26880,Mar/Jun/Sept,,,,,,169
Diploma in English for Professional Communication,Diploma,2.5 Years,,3100,7800,26040,Mar/Jun/Sept,,,,,,170
Diploma in Business Administration,Diploma,2 Years,,3100,7800,25200,Mar/Jun/Sept,,,,,,171
Diploma in Accountancy,Diploma,2.5 Years,,3100,7800,26600,Mar/Jun/Sept,,,,,,172
Diploma in Agricultural Science (Plantation Management),Diploma,2.5 Years,,3100,7800,25760,Mar/Jun/Sept,,,,,,173
Diploma in Biotechnology,Diploma,2.5 Years,,3100,7800,25760,Mar/Jun/Sept,,,,,,174
Diploma in Sports Science,Diploma,2.5 Years,,3100,7800,20700,Mar/Jun/Sept,,,,,,175
Intensive English,Certificate,1 Year,,3100,7720,10660,Anytime,,,,,,176
PHD in Built Environment (by research),PHD,3 Years,,3100,7760,46500,,,,,,,177
