course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Certificate in Hotel Operations,Certificate,1 Year 5 Months,4,2920,,19860,"Jan,Mar,May,Sep",,,,,,1087
Foundation in Arts     ,Foundation,1 Year,3,2920,6880,13530,"Jan,Mar,May,Sep",,,,,,1088
Foundation Studies (Art & Technology),Foundation,1 Year,3,2920,6880,13530,"Jan,Mar,May,Sep",,,,,,1089
Certified Accounting Technician (CAT)/Foundation in Accountancy (FIA),CAT/FIA,1 Year,2,2920,8330,8900,"Jan, July",,,,,,1090
Association of Chartered Certified Accountants (ACCA),ACCA,2.5 Year,5,2920,4645,19250,"Jan, July",,,,,,1091
FOUNDATION IN ENGINEERING,Foundation,1 Year,3,2920,6880,13530,"Jan,Mar,May,Sep",,,,,,1092
A-Level (Science),Foundation,1.5 Years,3,2920,11525,29730,"Jan,Mar,July,",,,,,,1093
A-Level (Arts),Foundation,1.5 Years,3,2920,5830,29730,"Jan,Mar,May,Sep",,,,,,1094
A-Level (Pre-Law),Foundation,1 Years,3,2920,5230,20370,"Jan, July",,,,,,1095
Diploma in Entertainment Arts,Diploma,2 Years,6,2920,6580,35030,"Jan,May,Sep",,,,,,1096
Diploma in Entrepreneurial Design,Diploma,2 Years,6,2920,6430,35460,"Jan,May,Sep",,,,,,1097
Diploma in Computer Studies,Diploma,2 Years,5,2920,6880,33225,"Jan,May,Sep",,,,,,1098
Diploma in Communication & media,Diploma,2 Years,5,2920,6580,35550,"Jan,May,Sep",,,,,,1099
Diploma in Sequential Art,Diploma,2 Years,6,2920,8110,36480,"Jan,May,Sep",,,,,,1100
Diploma in Business Administration,Diploma,2 Years,6,2920,5280,33530,"Jan,May,Sep",,,,,,1101
Diploma in Accountancy,Diploma,2 Years,6,2920,5280,33530,"Jan,May,Sep",,,,,,1102
Diploma in Electrical and Electronics Engineering,Diploma,2 Years,5,2920,7130,32500,"Jan,May,Sep",,,,,,1103
Diploma in Mechanical Engineering,Diploma,2 Years,5,2920,7180,33300,"Jan,May,Sep",,,,,,1104
Diploma in Food Service Management,Diploma,2 Years,6,2920,11680,27800,"Jan,May,Sep",,,,,,1105
Diploma in International Hotel Management,Diploma,2 Years,6,2920,11680,27800,"Jan,May,Sep",,,,,,1106
Diploma in Culinary Arts,Diploma,2 Years,6,2920,12580,27800,"Jan,May,Sep",,,,,,1107
Bachelor of Culinary Management (Hons),Bachelor,3 Years,6,2920,10480,60360,"Jan,May,Sep",,,,,,1108
Bachelor of Culinary Management (Hons) (Italian cuisine),Bachelor,3 Years,6,2920,10480,46200,"Jan,May,Sep",,,,,,1109
Bachelor of Hospitality Management (Hons) (Food & Beverage/Tourism/Events management),Bachelor,3 Years,6,2920,10480,59700,"Jan,May,Sep",,,,,,1110
Bachelor of Hospitality Entrepreneurship (Hons),Bachelor,3 Years,6,2920,10480,58725,"Jan,May,Sep",,,,,,1111
"Bachelor of Law (LLB)  (Oxford Brookes University, Twinning Programme 2+1)",Bachelor,3 Years,,2920,4680,43250,"Jan,May,Sep",,,,,,1112
Bachelor of Law (LLB)  (UOL international Programmes),Bachelor,3 Years,6,2920,5480,34390,"Jan,May,Sep",,,,,,1113
Bachelor of Business with Law  ,Bachelor,3 Years,8,2920,5530,56175,"Jan,May,Sep",,,,,,1114
Bachelor of  Accounting & Finance (Hons),Bachelor,3 Years,8,2920,5530,62430,"Jan,May,Sep",,,,,,1115
Bachelor of  Accounting (Hons),Bachelor,3 Years,8,2920,5530,65840,"Jan,May,Sep",,,,,,1116
Bachelor of Business(Hons),Bachelor,3 Years,8,2920,5530,56175,"Jan,May,Sep",,,,,,1117
Bachelor of Arts (Hons) in banking & Finance,Bachelor,3 Years,8,2920,5530,58800,"Jan,May,Sep",,,,,,1118
