course,program,duration,nos,emgs,misc,ttf,grand_total,intake,description,remarks,discount,doc_title,doc_link,id
Foundation in Design,Foundation,1 Year,3,3219,6590,16500,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1720
Foundation in Built Environment,Foundation,1 Year,3,3219,6590,16500,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1721
Foundation in Information Technology,Foundation,1 Year,3,3219,6590,12000,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1722
Foundation in Communication,Foundation,1 Year,3,3219,6590,16500,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1723
Foundation in Business ,Foundation,1 Year,3,3219,6590,10000,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1724
Foundation in Sound & Music,Foundation,1 Year,3,3219,6590,16500,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1725
Foundation in Engineering ,Foundation,1 Year,3,3219,6590,16500,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1726
Diploma in Product Design,Diploma,3 Years,6,3219,6590,50600,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1727
Diploma in Graphic Technology,Diploma,3 Years,6,3219,6590,51500,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1728
Diploma in Animation ,Diploma,3 Years,6,3219,6590,55200,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1729
Diploma in Games Art,Diploma,3 Years,6,3219,6590,55200,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1730
Diploma in interactive & Multimedia,Diploma,3 Years,6,3219,6590,55200,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1731
Diploma in Architectural Technology,Diploma,3 Years,6,3219,6590,55200,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1732
Diploma in Interior Design,Diploma,3 Years,6,3219,6590,55200,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1733
Diploma in Civil Engineering ,Diploma,3 Years,6,3219,6590,20460,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1734
Diploma in Multimedia & Broadcasting,Diploma,3 Years,6,3219,6590,42000,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1735
Diploma in Perfomance Arts,Diploma,3 Years,6,3219,6590,40800,,Feb/August-sep-oct,,,,Limkokwing fees structure 2018,Limkokwing 2018 fees.pdf,1736
