course,program,duration,nos,emgs,misc,ttf,grand_total,intake,description,remarks,discount,doc_title,doc_link,id
Foundation In Engineering,Foundation,1 year,3,3420,5505,19800,,April/June/November,,Melaka&Cyberjaya,,fees MMU International Student Handbook 2017,MMU.pdf,1657
Foundation In Information Technology,Foundation,1 year,3,3420,5505,18975,,April/June/November,,Melaka&Cyberjaya,,fees MMU International Student Handbook 2017,MMU.pdf,1658
Foundation In English,Foundation,1 year,3,3420,5505,14375,,April/June/November,,Cyberjaya,,fees MMU International Student Handbook 2017,MMU.pdf,1659
Foundation In Life Science,Foundation,1 year,3,3420,5505,19800,,April/June/November,,Melaka,,fees MMU International Student Handbook 2017,MMU.pdf,1660
Foundation In Management,Foundation,1 year,3,3420,5505,18975,,April/June/November,,Cyberjaya,,fees MMU International Student Handbook 2017,MMU.pdf,1661
Foundation In Business,Foundation,1 year,3,3420,5505,18975,,April/June/November,,Melaka,,fees MMU International Student Handbook 2017,MMU.pdf,1662
Foundation In Creative Multimedia,Foundation,1 year,3,3420,5505,16500,,April/June/November,,Cyberjaya,,fees MMU International Student Handbook 2017,MMU.pdf,1663
Diploma In Electronic Engineering,Diploma,2.3 year,7,3420,5505,24000,,April/June/November,,Melaka,,fees MMU International Student Handbook 2017,MMU.pdf,1664
Diploma In Telecommunication Engineering,Diploma,2.3 year,7,3420,5505,24000,,April/June/November,,Melaka,,fees MMU International Student Handbook 2017,MMU.pdf,1665
Diploma In Information Technology,Diploma,2.3 year,7,3420,5505,21334,,April/June/November,,Melaka&Cyberjaya,,fees MMU International Student Handbook 2017,MMU.pdf,1666
Diploma In Business Information System,Diploma,2.3 year,7,3420,5505,20000,,April/June/November,,Melaka,,fees MMU International Student Handbook 2017,MMU.pdf,1667
Diploma In Business Administration,Diploma,2.3 year,7,3420,5505,20000,,April/June/November,,Melaka,,fees MMU International Student Handbook 2017,MMU.pdf,1668
Diploma In Accounting,Diploma,2.3 year,7,3420,5505,24000,,April/June/November,,Melaka,,fees MMU International Student Handbook 2017,MMU.pdf,1669
Bachelor Of Engineering(Hons.) Electrical,Bachelor,4 year,12,3420,5505,90000,,April/June/November,,Cyberjaya,,fees MMU International Student Handbook 2017,MMU.pdf,1670
Bachelor Of Engineering (Hons.) Electronics,Bachelor,4 year,12,3420,5505,90000,,April/June/November,,Cyberjaya,,fees MMU International Student Handbook 2017,MMU.pdf,1671
Bachelor Of Engineering (Hons.)Electronics majoring in Computer,Bachelor,4 year,12,3420,5505,90000,,April/June/November,,Cyberjaya,,fees MMU International Student Handbook 2017,MMU.pdf,1672
Bachelor Of Eng(Hons.)Electronics Majoring In Optical Eng.,Bachelor,4 year,12,3420,5505,90000,,April/June/November,,Cyberjaya,,fees MMU International Student Handbook 2017,MMU.pdf,1673
Bachelor Of Eng(Hons.)Electronics In Nanotechnology,Bachelor,4 year,12,3420,5505,90000,,April/June/November,,Cyberjaya,,fees MMU International Student Handbook 2017,MMU.pdf,1674
Bachelor Of Eng(Hons.)Majoring In Telecommunications,Bachelor,4 year,12,3420,5505,90000,,April/June/November,,Melaka,,fees MMU International Student Handbook 2017,MMU.pdf,1675
Bachelor Of Eng(Hons.)Electronics majoring In Robotics & Automation,Bachelor,4 year,12,3420,5505,90000,,April/June/November,,Melaka,,fees MMU International Student Handbook 2017,MMU.pdf,1676
Bachelor Of Engineering (Hons.) Mechanical,Bachelor,4 year,12,3420,5505,90000,,April/June/November,,Melaka,,fees MMU International Student Handbook 2017,MMU.pdf,1677
Bachelor Of Computer Science(Hons.),Bachelor,3 year,9,3420,5505,73800,,April/June/November,"With Specializations in Software Eng,Information System,Game Development,Data Science",Cyberjaya,,fees MMU International Student Handbook 2017,MMU.pdf,1678
Bachelor Of Information Tech(Hons.) Data Communication & Networking,Bachelor,3 year,9,3420,5505,75600,,April/June/November,,Melaka,,fees MMU International Student Handbook 2017,MMU.pdf,1679
