course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation In Engineering,Foundation,1year,3,2700,6505,19800,March/June/October,,Melaka&Cyberjaya,,,,1657
Foundation In Information Technology,Foundation,1 year,3,2700,6505,18975,March/June/October,,Melaka&Cyberjaya,,,,1658
Foundation In English,Foundation,1 year,3,2700,6505,14375,March/June/October,,Cyberjaya,,,,1659
Foundation In Life Science,Foundation,1 year,3,2700,6505,19800,March/June/October,,Melaka,,,,1660
Foundation In Management,Diploma,1 year,3,2700,6505,18975,March/June/October,,Melaka&Cyberjaya,,,,1661
Foundation In Business,Foundation,1 year,3,2700,6505,18975,March/June/October,,Melaka&Cyberjaya,,,,1662
Foundation In Creative Multimedia,Foundation,1 year,3,2700,6505,16500,March/June/October,,Cyberjaya,,,,1663
Diploma In Electronic Engineering,Diploma,2.3 year,9,2700,6505,27000,March/June/October,,Melaka,,,,1664
Diploma In Telecommunication Engineering,Diploma,2.3 year,9,2700,6505,24000,March/June/October,,Melaka,,,,1665
Diploma In Information Technology,Diploma,2.3 year,9,2700,6505,24000,March/June/October,,Melaka&Cyberjaya,,,,1666
Diploma In Business Information System,Diploma,2.3 year,9,2700,6505,20000,March/June/October,,Melaka,,,,1667
Diploma In Business Administration,Diploma,2.3 year,9,2700,6505,20000,March/June/October,,Melaka,,,,1668
Diploma In Accounting,Diploma,2.3 year,9,2700,6505,24000,March/June/October,,Melaka,,,,1669
Bachelor Of Engineering(Hons.) Electrical,Bachelor,4 year,12,2700,6505,90000,March/June/October,,Cyberjaya,,,,1670
Bachelor Of Engineering (Hons.) Electronics,Bachelor,4 year,12,2700,6505,90000,March/June/October,,Cyberjaya,,,,1671
Bachelor Of Engineering (Hons.)Electronics majoring in Computer,Bachelor,4 year,12,2700,6505,90000,March/June/October,,Cyberjaya,,,,1672
Bachelor Of Eng(Hons.)Electronics Majoring In Optical Eng.,Bachelor,4 year,12,2700,6505,90000,March/June/October,,Cyberjaya,,,,1673
Bachelor Of Eng(Hons.)Electronics In Nanotechnology,Bachelor,4 year,12,2700,6505,90000,March/June/October,,Cyberjaya,,,,1674
Bachelor Of Eng(Hons.)Majoring In Telecommunications,Bachelor,4 year,12,2700,6505,90000,March/June/October,,Melaka,,,,1675
Bachelor Of Eng(Hons.)Electronics majoring In Robotics & Automation,Bachelor,4 year,12,2700,6505,90000,March/June/October,,Melaka,,,,1676
Bachelor Of Engineering (Hons.) Mechanical,Bachelor,4 year,12,2700,6505,90000,March/June/October,,Melaka,,,,1677
Bachelor Of Computer Science(Hons.),Bachelor,3 year,9,2700,6505,73800,March/June/October,"With Specializations in Software Eng,Information System,Game Development,Data Science",Cyberjaya,,,,1678
Bachelor Of Information Tech(Hons.) Data Communication & Networking,Bachelor,3 year,9,2700,6505,75600,March/June/October,,Melaka,,,,1679
Bachelor Of Information Tech(Hons.) Security Technology,Bachelor,3 year,9,2700,6505,75600,March/June/October,,Melaka,,,,1680
Bachelor Of Information Tech(Hons.) Information Technology,Bachelor,3 year,9,2700,6505,75600,March/June/October,,Melaka,,,,1681
Bachelor Of Information Tech(Hons.) Artificial Intelligence,Bachelor,3 year,9,2700,6505,70200,March/June/October,,Melaka,,,,1682
Bachelor Of Communication( Strategic Communicaions),Bachelor,3 year,9,2700,6505,62499,March/June/October,,Cyberjaya,,,,1683
Bachelor Of science(Hons.) BioInformatics,Bachelor,3 year,9,2700,6505,70200,March/June/October,,Melaka,,,,1684
Bachelor Of Business Administration (hons.) Mgt with Multimedia,Bachelor,3 year,9,2700,6505,64800,March/June/October,,Cyberjaya,,,,1685
Bachelor Of Admin(Hons.) Marketing with multimedia,Bachelor,3 year,9,2700,6505,21600,March/June/October,,Cyberjaya,,,,1686
Bachelor Of Finance(Hons.),Bachelor,3 year,9,2700,6505,64800,March/June/October,,Cyberjaya,,,,1687
Bachelor Of Analytical Economics(Hons.),Bachelor,3 year,9,2700,6505,64800,March/June/October,,Cyberjaya,,,,1688
Bachelor Of Financial Engineering (Hons.),Bachelor,3 year,9,2700,6505,70200,March/June/October,,Cyberjaya,,,,1689
Bachelor Of Accounting(Hons.),Bachelor,4 year,12,2700,6505,82800,March/June/October,,Melaka&Cyberjaya,,,,1690
Bachelor Of Business Adm(Hons.) HRM,Bachelor,3 year,9,2700,6505,64800,March/June/October,,Melaka,,,,1691
Bachelor Of Business Adm(Hons.) Marketing Mgt,Bachelor,3 year,9,2700,6505,64800,March/June/October,,Melaka,,,,1692
Bachelor Of Business Adm(Hons.) International Business,Bachelor,3 year,9,2700,6505,64800,March/June/October,,Melaka,,,,1693
Bachelor of Business & knowledge mgt (Hons.),Bachelor,3 year,9,2700,6505,64800,March/June/October,,Melaka,,,,1694
Bachelor Of Business Administration Banking & Finance,Bachelor,3 year,9,2700,6505,64800,March/June/October,,Melaka,,,,1695
Bachelor Of Multimedia (Hons) Media Arts,Bachelor,3 year,9,2700,6505,70200,March/June/October,,Cyberjaya,,,,1696
Bachelor of Multimedia (Hons) Virtual Reality,Bachelor,3 year,9,2700,6505,70200,March/June/October,,Cyberjaya,,,,1697
Bachelor Of Multimedia (Hons) Interface Design,Bachelor,3 year,9,2700,6505,70200,March/June/October,,Cyberjaya,,,,1698
Bachelor Of Multimedia (Hons) Advertising Design,Bachelor,3 year,9,2700,6505,70200,March/June/October,,Cyberjaya,,,,1699
Bachelor Of Multimedia (Hons) Animation & Visual Effects,Bachelor,3 year,9,2700,6505,70200,March/June/October,,Cyberjaya,,,,1700
Masters Of Philosophy(Management),Research,1-3 year,,2700,6505,3750,Anytime,,Cyberjaya&Melaka,,,,1701
Masters Of Engineering Science,Research,1-3 year,,2700,6505,3750,Anytime,,Cyberjaya&Melaka,,,,1702
Masters Of Science(Information Technology),Research,1-3 year,,2700,6505,3750,Anytime,,Cyberjaya&Melaka,,,,1703
Masters Of Science(Creative Multimedia),Research,1-3 year,,2700,6505,3750,Anytime,,Cyberjaya,,,,1704
Masters Of Eng (Telecommunications),Coursework,1-3 year,,2700,6505,36250,Apr/May/Sept/Nov,,Cyberjaya,,,,1705
Masters Of Electrical & Electronics Engineering,Coursework,1-3 year,,2700,6505,37050,Apr/May/Sept/Nov,,Cyberjaya,,,,1706
Masters Of Engineering In Embedded System,Coursework,1-3 year,,2700,6505,30400,Apr/May/Sept/Nov,,Melaka,,,,1707
Masters Of Engineering In Advanced Mfg Management ,Coursework,1-3 year,,2700,6505,28900,Apr/May/Sept/Nov,,Melaka,,,,1708
Masters of Scince In Eng Business Mgt,Coursework,1-3 year,,2700,6505,27800,Apr/May/Sept/Nov,,Cyberjaya,,,,1709
Masters Of Business Adm (MBA),Coursework,1-3 year,,2700,6505,33750,Apr/May/Sept/Nov,,Cyberjaya&Melaka,,,,1710
Masters Of Knowledge Mgt with Multimedia ,Coursework,1-3 year,,2700,6505,27500,Jan/Apr/ August,,Cyberjaya,,,,1711
Masters Of Multimedia(E learning Technologies),Coursework,1-3 year,,2700,6505,27500,Jan/Apr/ August,,Cyberjaya,,,,1712
Executive Masters Of Business Administration,Coursework,1-2year,,2700,6505,24000,Jan/Apr/ August,,Cyberjaya,,,,1713
Masters Of Computer Science,Coursework,1-3 year,,2700,6505,27500,Jan/Apr/ August,In Software Engineering & Software Architechture,Cyberjaya,,,,1714
Doctor Of Philosophy (Engineering),Phd,2-5 year,,2700,6505,3750,Anytime,,Cyberjaya&Melaka,,,,1715
