course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation in Science,Foundation,1 Year,2,2500,2100,23500, January/April/June/September,,,30%,Mahsa Fees - 2018,Mahsa Fees - 2018.pdf,1483
Foundation in Business,Foundation,1 Year,2,2500,2100,20400, January/April/June/September,,,30%,Mahsa Fees - 2019,Mahsa Fees - 2018.pdf,1484
Master of Business Administration,Masters,1 Year,2,2500,3500,52200, January/April/June/September,,,,Mahsa Fees - 2020,Mahsa Fees - 2018.pdf,1485
Master of Business Administration (Hospital Management),Masters,1 Year,2,2500,3500,52200, January/April/June/September,,,,Mahsa Fees - 2021,Mahsa Fees - 2018.pdf,1486
Bachelor of Accounting (Hons),Bachelor,3 Years,6,2500,5600,62800, January/April/June/September,,,30%,Mahsa Fees - 2022,Mahsa Fees - 2018.pdf,1487
Bachelor of Business Administration,Bachelor,3 Years,6,2500,5600,62800, January/April/June/September,,,30%,Mahsa Fees - 2023,Mahsa Fees - 2018.pdf,1488
Bachelor of Oil and Gas Management (Hons),Bachelor,3 Years,6,2500,5600,62800, January/April/June/September,,,30%,Mahsa Fees - 2024,Mahsa Fees - 2018.pdf,1489
Diploma in Accounting,Diploma,2 Years,4,2500,3500,36000, January/April/June/September,,,30%,Mahsa Fees - 2025,Mahsa Fees - 2018.pdf,1490
Diploma in Business Administration,Diploma,2 Years,4,2500,3500,36000, January/April/June/September,,,30%,Mahsa Fees - 2026,Mahsa Fees - 2018.pdf,1491
Diploma in Entrepreneurship,Diploma,2 Years,4,2500,500,35600, January/April/June/September,this subject is not available,,30%,Mahsa Fees - 2027,Mahsa Fees - 2018.pdf,1492
Doctor of Dental Surgery (DDS),Bachelor,5 Years,10,2500,5600,450800, January/April/June/September,,,,Mahsa Fees - 2028,Mahsa Fees - 2018.pdf,1493
Diploma in Dental Technology,Diploma,3 Years,6,2500,3000,71500, January/April/June/September,,,30%,Mahsa Fees - 2029,Mahsa Fees - 2018.pdf,1494
Certificate in Dental Surgery Assistant,Certificate,2 Years,4,2500,1500,34000, January/April/June/September,this subject is not available,,30%,Mahsa Fees - 2030,Mahsa Fees - 2018.pdf,1495
"Bachelor of Engineering (Hons) in Mechatronics Engineering
(ARU)",Bachelor,4 Years,8,2500,2600,104700, January/April/June/September,this subject is not available,,30%,Mahsa Fees - 2031,Mahsa Fees - 2018.pdf,1496
"Bachelor of Engineering (Hons) in Electronic and
Communication Engineering (ARU) ",Bachelor,4 Years,8,2500,2600,104700, January/April/June/September,this subject is not available,,30%,Mahsa Fees - 2032,Mahsa Fees - 2018.pdf,1497
"Bachelor of Engineering (Hons) in Electrical & Electronic
Engineering (ARU) ",Bachelor,4 Years,8,2500,2600,123900, January/April/June/September,this subject is not available,,30%,Mahsa Fees - 2033,Mahsa Fees - 2018.pdf,1498
"Bachelor of Engineering (Hons) in Medical Electronic
Engineering (ARU)",Bachelor,4 Years,8,2500,2600,104700, January/April/June/September,this subject is not available,,30%,Mahsa Fees - 2034,Mahsa Fees - 2018.pdf,1499
"Bachelor of Engineering (Hons) in Electronic Engineering
(Automotive) (ARU)",Bachelor,4 Years,8,2500,2600,104700, January/April/June/September,this subject is not available,,30%,Mahsa Fees - 2035,Mahsa Fees - 2018.pdf,1500
Bachelor of Environment Health and Safety (Hons),Bachelor,4 Years,8,2500,5600,101100, January/April/June/September,,,30%,Mahsa Fees - 2036,Mahsa Fees - 2018.pdf,1501
Bachelor of Medical Imaging (Hons),Bachelor,4 Years,8,2500,5600,101100, January/April/June/September,,,30%,Mahsa Fees - 2037,Mahsa Fees - 2018.pdf,1502
Bachelor of Physiotherapy (Hons) (ARU),Bachelor,4 Years,8,2500,5600,101100, January/April/June/September,,,30%,Mahsa Fees - 2038,Mahsa Fees - 2018.pdf,1503
Diploma in Physiotherapy,Diploma,3 Years,6,2500,3500,58900, January/April/June/September,,,30%,Mahsa Fees - 2039,Mahsa Fees - 2018.pdf,1504
Diploma in Medical Imaging (Radiography),Diploma,3 Years,6,2500,3500,58900, January/April/June/September,,,30%,Mahsa Fees - 2040,Mahsa Fees - 2018.pdf,1505
Diploma in Environmental Health,Diploma,3 Years,6,2500,500,58900, January/April/June/September,,,30%,Mahsa Fees - 2041,Mahsa Fees - 2018.pdf,1506
Master of Medical Science (Anatomy),Masters,2 Years,4,2500,7000,55700, January/April/June/September,,,30%,Mahsa Fees - 2042,Mahsa Fees - 2018.pdf,1507
Master of Science in Public Health,Masters,2 Years,4,2500,7000,55700, January/April/June/September,,,30%,Mahsa Fees - 2043,Mahsa Fees - 2018.pdf,1508
Bachelor of Medicine and Bachelor of Surgery (MBBS),Bachelor,5 Years,10,2500,8500,433500, January/April/June/September,,,,Mahsa Fees - 2044,Mahsa Fees - 2018.pdf,1509
Bachelor in Biomedical Sciences (Hons) (ARU),Bachelor,4 Years,8,2500,5600,101100, January/April/June/September,,,30%,Mahsa Fees - 2045,Mahsa Fees - 2018.pdf,1510
Diploma in Medical Laboratory Technology,Diploma,3 Years,6,2500,3500,58900, January/April/June/September,,,30%,Mahsa Fees - 2046,Mahsa Fees - 2018.pdf,1511
Doctor of Philosophy (PhD) in Nursing,Phd,3 Years,6,2500,7000,82300, January/April/June/September,,,30%,Mahsa Fees - 2047,Mahsa Fees - 2018.pdf,1512
Master of Nursing,Masters,2 Years,4,2500,7000,55700, January/April/June/September,,,30%,Mahsa Fees - 2048,Mahsa Fees - 2018.pdf,1513
Bachelor of Science (Hons) Nursing,Bachelor,4 Years,8,2500,5600,101100, January/April/June/September,,,30%,Mahsa Fees - 2049,Mahsa Fees - 2018.pdf,1514
Bachelor of Hospital Management (Hons) ,Bachelor,3 Years,6,2500,5600,61000, January/April/June/September,,,30%,Mahsa Fees - 2050,Mahsa Fees - 2018.pdf,1515
Advanced Diploma in Midwifery,Diploma,1 Year,2,2500,2000,29700, January/April/June/September,,,30%,Mahsa Fees - 2051,Mahsa Fees - 2018.pdf,1516
Advanced Diploma in Paediatric Nursing,Diploma,1 Year,2,2500,2000,29700, January/April/June/September,,,30%,Mahsa Fees - 2052,Mahsa Fees - 2018.pdf,1517
