course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation in Science,Foundation,1 Year,2,3000,2100,14600, January/April/June/September,,,,,,1483
Foundation in Business,Foundation,1 Year,2,3000,2100,14600, January/April/June/September,,,,,,1484
Master of Business Administration,Masters,1 Year,2,3000,3500,24000, January/April/June/September,,,,,,1485
Master of Business Administration (Hospital Management),Masters,1 Year,2,3000,3500,25000, January/April/June/September,,,,,,1486
Bachelor of Accounting (Hons),Bachelor,3 Years,6,3000,5600,46900, January/April/June/September,,,,,,1487
Bachelor of Business Administration,Bachelor,3 Years,6,3000,5600,46900, January/April/June/September,,,,,,1488
Bachelor of Oil and Gas Management (Hons),Bachelor,3 Years,6,3000,5600,33150, January/April/June/September,,,,,,1489
Diploma in Accounting,Diploma,2 Years,4,3000,3500,26000, January/April/June/September,,,,,,1490
Diploma in Business Administration,Diploma,2 Years,4,3000,3500,26000, January/April/June/September,,,,,,1491
Diploma in HRM,Diploma,2.5 Years,5,3000,500,28500, January/April/June/September,,,,,,1492
Doctor of Dental Surgery (DDS),Bachelor,5 Years,10,3000,5600,450800, January/April/June/September,,,,,,1493
Diploma in Dental Technology,Diploma,3 Years,6,3000,3000,40000, January/April/June/September,,,,,,1494
Certificate in Dental Surgery Assistant,Certificate,2 Years,4,3000,1500,34000, January/April/June/September,,,,,,1495
Bachelor of Engineering (Hons) EEE,Bachelor,4 Years,8,3000,2600,93500, January/April/June/September,,,,,,1496
Bachelor of Engineering (Hons) in ME ,Bachelor,4 Years,8,3000,2600,63500, January/April/June/September,,,,,,1497
Bachelor of Engineering (Hons) in CIVIL,Bachelor,4 Years,8,3000,2600,63500, January/April/June/September,,,,,,1498
Bachelor of IT,Bachelor,3 Years,6,3000,2600,43600, January/April/June/September,,,,,,1499
Bachelor of Environment Health and Safety (Hons),Bachelor,4 Years,8,3000,5600,57100, January/April/June/September,,,,,,1500
Bachelor of Medical Imaging (Hons),Bachelor,4 Years,8,3000,5600,57100, January/April/June/September,,,,,,1501
Bachelor of Physiotherapy (Hons) (ARU),Bachelor,4 Years,8,3000,5600,74700, January/April/June/September,,,,,,1502
Diploma in Physiotherapy,Diploma,3 Years,6,3000,3500,43600, January/April/June/September,,,,,,1503
Diploma in Medical Imaging (Radiography),Diploma,3 Years,6,3000,3500,43600, January/April/June/September,,,,,,1504
Diploma in Environmental Health,Diploma,3 Years,6,3000,500,43600, January/April/June/September,,,,,,1505
Master of Medical Science (Anatomy),Masters,2 Years,4,3000,7000,41700, January/April/June/September,,,,,,1506
Master of Science in Public Health,Masters,2 Years,4,3000,7000,41700, January/April/June/September,,,,,,1507
Bachelor of Medicine and Bachelor of Surgery (MBBS),Bachelor,5 Years,10,3000,8500,433500, January/April/June/September,,,,,,1508
Bachelor in Biomedical Sciences (Hons) (ARU),Bachelor,4 Years,8,3000,5600,74700, January/April/June/September,,,,,,1509
Diploma in Medical Laboratory Technology,Diploma,3 Years,6,3000,3500,43600, January/April/June/September,,,,,,1510
Doctor of Philosophy (PhD) in Nursing,Phd,3 Years,6,3000,7000,50010, January/April/June/September,,,,,,1511
Master of Nursing,Masters,2 Years,4,3000,7000,41700, January/April/June/September,,,,,,1512
Bachelor of Science (Hons) Nursing,Bachelor,4 Years,8,3000,5600,57100, January/April/June/September,,,,,,1513
Bachelor of Hospital Management (Hons) ,Bachelor,3 Years,6,3000,5600,46600, January/April/June/September,,,,,,1514
Advanced Diploma in Midwifery,Diploma,1 Year,2,3000,2000,29700, January/April/June/September,,,,,,1515
Advanced Diploma in Paediatric Nursing,Diploma,1 Year,2,3000,2000,29700, January/April/June/September,,,,,,1516
Diploma in Nursing,Diploma,3 Years,6,3000,3500,43600, January/April/June/September,,,,,,1517
PhD in Pharmacy,Phd,3 Years,6,3000,7000,61300, January/April/June/September,,,,,,1518
Master in Pharmacy,Masters,2 Years,4,3000,7000,41700, January/April/June/September,,,,,,1519
Bachelor of Pharmamcy (Hons),Bachelor,4 Years,8,3000,5600,97100, January/April/June/September,,,,,,1520
Diploma in Pharmacy,Diploma,3 Years,6,3000,3500,43600, January/April/June/September,,,,,,1521
Diploma in EEE,Diploma,2.5Years,5,3000,5100,31000, January/April/June/September,,,,,,1522
Diploma in ME,Diploma,2.5Years,5,3000,5100,31000, January/April/June/September,,,,,,1931
Diploma in Civil,Diploma,2.5Years,5,3000,5100,31000, January/April/June/September,,,,,,1932
Diploma in Hotel Management ,Diploma,2.5Years,5,3000,3000,30500, January/April/June/September,,,,,,1933
Diploma in Restaurant Managent,Diploma,2.5Years,5,3000,3000,30500, January/April/June/September,,,,,,1934
