course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation in Business,Foundation,1 year,3,2750,5250,15000,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,668
Foundation in Science,Foundation,1 year,3,2750,5250,15000,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,669
Diploma in Accounting,Diploma,2.4 years,6,2750,5250,28800,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,670
Diploma in Business Administration,Diploma,2.4 years,6,2750,5250,28800,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,671
Diploma in Culinary Arts,Diploma,2.4 years,6,2750,3720,37470,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,672
Diploma in Hotel Management,Diploma,2.4 years,6,2750,2480,32630,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,673
Diploma in Tourisum Management,Diploma,2.4 years,6,2750,1500,30750,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,674
Diploma in Business Information Technology,Diploma,2.4 years,6,2750,5250,28800,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,675
Diploma in Computer Science,Diploma,2.4 years,6,2750,5250,28800,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,676
Diploma in Biotechnology ,Diploma,2.4 years,6,2750,3400,34000,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,677
Diploma in Agricultural Management,Diploma,2.4 years,6,2750,5250,30150,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,678
Diploma in Medical Laboratory Technology,Diploma,2.4 years,6,2750,5635,44785,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,679
Diploma in Electrical & Electronic Engineering,Diploma,2.4 years,6,2750,5250,31500,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,680
Diploma in Nursing ,Bachelor,2.4 years,6,2750,5760,44610,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,681
Diploma in Aircraft Maintenance Engineering,Bachelor,2.4 years,6,2750,10400,45740,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,682
Diploma in Machanical Engineering,Bachelor,2.4 years,6,2750,5250,31500,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,683
Diploma in Mechatronic Engineering,Bachelor,2.4 years,6,2750,5250,31500,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,684
Diploma in Automotive Engineering,Bachelor,2.4 years,6,2750,5250,31500,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,685
Advanced Diploma in Aircraft Engineering Technology,Bachelor,1 year,6,2750,5250,27880,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,686
Advanced Diploma in Mechanical  Engineering ,Bachelor,1 year,6,2750,5250,27200,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,687
Advanced Diploma in Electrical Engineering,Bachelor,1 year,6,2750,5250,27200,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,688
B.A(Hons)in Accounting and Finance,Bachelor,3 year,6,2750,5750,56700,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,689
B.B.A.(Hons),Bachelor,3 year,6,2750,5750,54000,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,690
B.B.A.(Hons) Finance,Bachelor,3 year,6,2750,5750,54000,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,691
B.B.A.(Hons)Human Resource Management,Bachelor,3 year,6,2750,5750,54000,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,692
B.B.A.(Hons)Internatoinal Business,Bachelor,3 year,6,2750,5750,54000,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,693
B.B.A.(Hons)Management,Bachelor,3 year,6,2750,5750,54000,January to October,"Specialization in: Information System Security, Database Administration, Cloud Computing, Network Computing, Mobile Technology, Business Information System",,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,694
B.B.A.(Hons)Marketing,Bachelor,3 year,6,2750,5750,54000,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,695
B.A.(Hons) in Business and Hospitality Management,Bachelor,3 year,6,2750,5750,56400,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,696
B.A.(Hons) in Food Studies Management,Bachelor,3 year,6,2750,5750,56400,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,697
B.Sc (Hons) in Event Management,Bachelor,3 year,6,2750,5750,56400,January to October,,,50%,Nilai Undergraduate Fees 2018,UNDERGRADUATE-FEES-2018.pdf,698
