course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation in Arts,Foundation,1 Year,2,2700,9350,12500,Jan/July/ Oct,,,,,,77
Foundation in Commerce,Foundation,1 Year,2,2700,9350,12500,Jan/July/ Oct,,,,,,78
Foundation in Science,Foundation,1 Year,2,2700,9350,15000,Jan/July/ Oct,,,,,,79
Bachelor of Biomedical science (hons),Bachelor,4 Years,8,2700,10800,77200,April/August,,,,,,80
Bachelor of Optometry (hons),Bachelor,4 Years,8,2700,10800,91200,April/August,,,,,,81
Bachelor of Pharmacy,Bachelor,4 Years,8,2700,10800,121200,sept,,,,,,82
Bachelor of Dental Surgery,Bachelor,5 Years,10,2700,11800,326800,sept,,,,,,83
Bachelor of Medicine and Bachelor of Surgery,Bachelor,5 Years,10,2700,11800,328550,sept,,,,,,84
Bachelor of Medicine and Bachelor of Surgery (USMLE),Bachelor,5 Years,10,2700,11800,328550,sept,Additional RM50000 for United States Medical Licensing Examination,,,,,85
Bachelor of Accounting & Finance (Hons),Bachelor,3 Years,6,2700,9800,49500,Feb / Jun / Sept,,,,,,86
Bachelor of Business management (Hons),Bachelor,3 Years,6,2700,9800,49500,Feb / Jun / Sept,"Marketing, Management, HR, Financial Management",,,,,87
Bachelor of Accounting (Hons),Bachelor,3 Years,8,2700,9800,53000,Feb / Jun / Sept,,,,,,88
Bachelor of Accounting & Finance (Hons) Dual award,Bachelor,3 Years,6,2700,9800,57000,Feb / Jun / Sept,,,,,,89
Bachelor of Business management (Hons) Dual Award,Bachelor,3 Years,6,2700,9800,57000,Feb / Jun / Sept,"Marketing, Management, HR, Financial Management",,,,,90
Bachelor of Accounting (Hons) Dual award,Bachelor,3 Years,8,2700,9800,60500,Feb / Jun / Sept,,,,,,91
Bachelor of Engineering (Hons) in EEE,Bachelor,4 Years,8,2700,9800,69310,Feb / Jun / Sept,,,,,,92
