course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
FOUNDATION IN SCIENCE,Foundation,1 year,3,1370,2350,17040,JAN/JUL,,Total first time payment RM17040,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1393
FOUNDATION IN ARTS,Foundation,1 year,3,1370,6800,17040,JAN/JUL,,Total first time payment RM17040,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1394
FOUNDATION IN BUSINESS/IT,Foundation,1 year,3,2630,6800,19900,JAN/JUL,,Total first time payment RM19900,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1395
FOUNDATION IN MUSIC,Foundation,1 year,3,3090,7750,23660,JAN/JUL,,Total first time payment RM24200,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1396
DIPLOMA IN AQUACULTURE WITH ENTREPRENEURSHIP,Diploma,2.5 Years ,5,2790,8150,32720,JAN/JUL,,Total first time payment RM32720,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1397
DIPLOMA IN HOTEL MANAGEMENT,Diploma,2.5 Years ,5,2790,12050,28410,JAN/JUL,,Total first time payment RM28410,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1398
DIPLOMA IN CULINARY ARTS,Diploma,2.5 Years ,5,2790,12050,41380,JAN/JUL,,Total first time payment RM41380,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1399
DIPLOMA IN LEISURE MANAGEMENT,Diploma,2.5 Years ,5,2790,9950,30000,JAN/JUL,,Total first time payment RM30000,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1400
DIPLOMA IN LOGISTIC MANAGEMENT,Diploma,2.5 Years ,5,2790,8150,26440,JAN/JUL,,Total first time payment RM26440,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1401
DIPLOMA IN INFORMATION TECHNOLOGY,Diploma,2.5 Years ,5,2790,8150,28640,JAN/JUL,,Total first time payment RM28640,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1402
DIPLOMA IN INTERNATIONAL BUSINESS,Diploma,2.5 Years ,5,2790,8150,24406,JAN/JUL,,Total first time payment RM24406,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1403
DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,Diploma,2.5 Years ,5,2840,11225,34285,JAN/JUL,,Total first time payment RM34285,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1404
DIPLOMA IN INTERIOR ARCHITECTURE,Diploma,2.5 Years ,5,2790,9650,40447,JAN/JUL,,Total first time payment RM40447,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1405
DIPLOMA IN ARCHITECTURAL STUDIES,Diploma,2.5 Years ,5,2790,9650,50474,JAN/JUL,,Total first time payment RM50474,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1406
DIPLOMA IN NURSING,Diploma,3  Years ,6,2790,9950,52793,JAN/JUL,,Total first time payment RM52793,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1407
DIPLOMA IN 3D ANIMATION AND DESIGN,Diploma,2.5 Years ,5,2790,8150,47487,JAN/JUL,,Total first time payment RM47487,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1408
DIPLOMA IN GRAPHIC DESIGN,Diploma,2.5 Years ,5,2790,8150,44476,JAN/JUL,,Total first time payment RM44476,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1409
DIPLOMA IN FASHION DESIGN,Diploma,2.5 Years ,5,2790,8150,43914,JAN/JUL,,Total first time payment RM43914,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1410
BACHELOR OF OPTOMETRY,Bachelor,4  years,12,2790,19450,101640,JAN/JUL,,Total first time payment RM101640,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1411
BACHELOR OF NURSING (Hons),Bachelor,4  years,12,2790,10650,75640,JAN/JUL,,Total first time payment RM75640,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1412
BACHELOR OF PHARMACY (Hons),Bachelor,4  years,12,3290,33050,159298,JAN/JUL,,Total first time payment RM159298,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1413
BSc IN BIOTECHNOLOGY,Bachelor,3  years,9,2790,13100,77535,JAN/JUL,,Total first time payment RM77535,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1414
BSc IN FOOD SCIENCE WITH NUTRITION ,Bachelor,3  years,9,2790,13100,78065,JAN/JUL,,Total first time payment RM78065,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1415
BSc IN NUTRITION WITH WELLNESS,Bachelor,3  years,9,2790,10200,86010,JAN/JUL,,Total first time payment RM86010,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1416
BSc IN AQUATIC SCIENCE ,Bachelor,3  years,9,2790,13100,75390,JAN/JUL,,Total first time payment RM75390,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1417
BA (Hons) IN MASS COMMUNICATION,Bachelor,3  years,9,2790,9500,57900,JAN/JUL,,Total first time payment RM57340,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1418
BA (Hons) IN PSYCHOLOGY,Bachelor,3  years,9,2790,9500,58196,JAN/JUL,,Total first time payment RM57040,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1419
BA (Hons) IN ENGLISH LANGUAGE & COMMUNICATION,Bachelor,3  years,9,2790,9500,59340,JAN/JUL,,Total first time payment RM59340,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1420
BBA IN OIL & GAS MANAGEMENT ,Bachelor,3  years,9,2790,9500,59060,JAN/JUL,,Total first time payment RM59060,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1421
BA (Hons) IN EDUCATION AND ENGLISH,Bachelor,3  years,9,2790,9500,55710,JAN/JUL,,Total first time payment RM55710,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1422
BACHELOR OF HOSPITALITY ADMINSTRATION ,Bachelor,3  years,9,2790,15500,48300,JAN/JUL,,Total first time payment RM48300,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1423
BA (Hons) IN HOSPITALITY MANAGEMENT,Bachelor,3  years,9,2790,12200,50486,JAN/JUL,,Total first time payment RM50486,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1424
BA (Hons) EVENT & TOURISM MANAGEMENT ,Bachelor,3  years,9,2790,13150,42082,JAN/JUL,,Total first time payment RM42082,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1425
BA (Hons) COMMERCE ,Bachelor,3  years,9,2790,12200,48736,JAN/JUL,,Total first time payment RM48736,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1426
BA (Hons) IN BUSINESS ADMINSTRATION,Bachelor,3  years,9,2790,9500,54240,JAN/JUL,,Total first time payment RM54240,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1427
BA (Hons) IN ACCOUNTING,Bachelor,3  years,9,2790,9500,54240,JAN/JUL,,Total first time payment RM54240,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1428
BA (Hons ) IN ACCOUNTING & FINANCE,Bachelor,3  years,9,2790,9500,54240,JAN/JUL,,Total first time payment RM54240,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1429
BA (Hons) IN BRANDING & ADVERITSING ,Bachelor,3  years,9,2790,9500,53040,JAN/JUL,,Total first time payment RM53040,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1430
BA (Hons) IN MARKETING ,Bachelor,3  years,9,2790,9500,54240,JAN/JUL,,Total first time payment RM54240,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1431
BA (Hons) IN LOGISTICS MANAGEMENT,Bachelor,3  years,9,2790,9500,54240,JAN/JUL,,Total first time payment RM54240,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1432
BA (Hons) IN SUPPLY CHAIN MANAGEMENT,Bachelor,3  years,9,2790,9500,52740,JAN/JUL,,Total first time payment RM52740,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1433
BA (Hons) IN INTERIOR ARCHITECTURE,Bachelor,3  years,9,2790,9500,67000,JAN/JUL,,Total first time payment RM67000,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1434
BA (Hons) IN FASHION DESIGN WITH MARKETING,Bachelor,3  years,9,2790,9500,68790,JAN/JUL,,Total first time payment RM68790,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1435
BA (Hons) IN GRAPHIC DESIGN,Bachelor,3  years,9,2790,9500,60245,JAN/JUL,,Total first time payment RM60245,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1436
BA (Hons) IN MULTIMEDIA DESIGN,Bachelor,3  years,9,2790,9500,63340,JAN/JUL,,Total first time payment RM63340,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1437
BSc (Hons) IN ACTUARIAL SCIENCE ,Bachelor,3  years,9,2790,9500,56140,JAN/JUL,,Total first time payment RM56140,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1438
BSc (Hons) IN ACTUARIAL SCIENCE & FINANCE ,Bachelor,3  years,9,2790,9500,55340,JAN/JUL,,Total first time payment RM55340,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1439
BSc (Hons) IN COMPUTING ,Bachelor,3  years,9,2790,9500,55745,JAN/JUL,,Total first time payment RM55745,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1440
BSc (Hons) IN BUSINESS INFORMATION SYSTEM,Bachelor,3  years,9,2790,9500,53700,JAN/JUL,,Total first time payment RM53700,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1441
BCompSc (Hons) IN MOBILE COMPUTIN & NETWORKING ,Bachelor,3  years,9,2790,9500,54440,JAN/JUL,,Total first time payment RM54440,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1442
Bcomm (Hons) IN ACCOUNTING & FINANCE  ,Bachelor,3  years,9,2790,13150,53340,JAN/JUL,,Total first time payment RM53340,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1443
Bcomm (Hons) IN MARKETING  ,Bachelor,3  years,9,2790,13150,54240,JAN/JUL,,Total first time payment RM54240,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1444
Beng (Hons) IN ELECTRICAL & ELECTRONIC ENGINEERING ,Bachelor,4  years,12,2840,15350,70495,JAN/JUL,,Total first time payment RM70495,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1445
Beng (Hons) IN COMMUNICATION & ELECTRONIC ENGINEERING ,Bachelor,4  years,12,2840,15350,69615,JAN/JUL,,Total first time payment RM69615,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1446
Beng (Hons) IN MECHATRONIC ENGINEERING ,Bachelor,4  years,12,2840,15350,74025,JAN/JUL,,Total first time payment RM74025,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1447
Beng (Hons) IN MECHANICAL ENGINEERING,Bachelor,4  years,12,2840,15350,69930,JAN/JUL,,Total first time payment RM69930,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1448
Beng (Hons) IN CHEMICAL ENGINEERING,Bachelor,4  years,12,2840,15350,83520,JAN/JUL,,Total first time payment RM83520,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1449
Beng (Hons) IN PETROLEUM ENGINEERING,Bachelor,4  years,12,2840,15350,82890,JAN/JUL,,Total first time payment RM82890,,UCSI UG Fees 2018,UCSI UG Fees.pdf,1450
