course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation in Electrical and Electronics Engineering,Foundation,1 year,3,3814,13044,20000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1837
Foundation in Electrical Power Engineering,Foundation,1 Year,3,3814,13044,20000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1838
Foundation in Mechanical Engineering,Foundation,1 year,3,3814,13044,20000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1839
Foundation in Civil Engineering,Foundation,1 year,3,3814,13044,20000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1840
Foundation in Computer Science,Foundation,1 years,3,3814,13044,18000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1841
Foundation in Information Technology,Foundation,1 years,3,3814,13044,18000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1842
Foundation in Accounting ,Foundation,1 years,3,3814,13044,18000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1843
Foundation in Business Administration ,Foundation,1 years,3,3814,13044,18000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1844
Diploma in Mechanical Engineering ,Diploma,2.5 years,7,4095,13880,27200,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1845
Diploma in Electrical Engineering,Diploma,2.4 years,7,4095,13880,27200,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1846
Diploma in Computer Science,Diploma,2.4 years,7,4095,13880,29000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1847
Diploma of Accountancy ,Diploma,2.4 years,7,4095,13880,28000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1848
Diploma in Business Studies,Diploma,2.4 years,7,4095,13880,25000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1849
Bachelor of Electrical and Electronics Engineering,Bachelor,4 years,12,4376,13880,78000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1850
Bachelor of Electrical Power Engineering,Bachelor,4 years,12,4376,13880,78000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1851
Bachelor of Machanical Engineering,Bachelor,4 years,12,4376,13880,78000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1852
Bachelor of Civil Engineering,Bachelor,4 years,12,4376,13880,78000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1853
Bachelor of Computer Science (System and Networking),Bachelor,3 years,12,4376,13880,61000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1854
Bachelor of Computer Science (Software Engineering),Bachelor,3 years,12,4376,13880,61000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1855
Bachelor of Computer Science (Cyber Security),Bachelor,3 years,12,4376,13880,61000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1856
Bachelor of Information Technology (Information System),Bachelor,3 years,12,4376,13880,61000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1857
Bachelor of Information Technology (Visual Media),Bachelor,3 years,12,4376,13880,61000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1858
Bachelor of Accounting ,Bachelor,4 years,12,4376,13880,66000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1859
Bachelor of Finance,Bachelor,3 years,12,4376,13880,52000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1860
Bachelor of International Business,Bachelor,3 years,12,4376,13880,52000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1861
Bachelor of Business Administration in Human Resource Management,Bachelor,3 years,12,4376,13880,52000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1862
Bachelor of Business Administration in Marketing,Bachelor,3 years,12,4376,13880,52000,Feb/May/Sep,,,,Uniten UG Fees 2018,Uniten UG 2018.pdf,1863
Masters of Information Technology (by research),Masters,1 to 3 years ,4,3814,13830,3600,Feb/May/Sep,,Per Semester,,Uniten PG Fees 2018,Uniten PG 2018.pdf,1864
Masters of Electrical Engineering (by research),Masters,1 to 3 years,4,3814,13830,3600,Feb/May/Sep,,Per Semester,,Uniten PG Fees 2018,Uniten PG 2018.pdf,1865
Masters of Mechanical Engineering (by research),Masters,1 to 3 years,4,3814,13830,3600,Feb/May/Sep,,Per Semester,,Uniten PG Fees 2018,Uniten PG 2018.pdf,1866
Masters of Civil Engineering (by research),Masters,1 to 3years,4,3814,13830,3600,Feb/May/Sep,,Per Semester,,Uniten PG Fees 2018,Uniten PG 2018.pdf,1867
Masters of Industrial Science (by research),Masters,1 to 3 years,4,3814,13830,3600,Feb/May/Sep,,Per Semester,,Uniten PG Fees 2018,Uniten PG 2018.pdf,1868
Masters of Science in Management (by research),Masters,1 to 4 years,4,3814,13830,3600,Feb/May/Sep,,Per Semester,,Uniten PG Fees 2018,Uniten PG 2018.pdf,1869
Masters of Science in Accounting (by research),Masters,1 to 4 years,4,3814,13830,3600,Feb/May/Sep,,Per Semester,,Uniten PG Fees 2018,Uniten PG 2018.pdf,1870
Masters of Science in Finance (by research),Masters,1 to 4 years,8,3814,13830,3600,Feb/May/Sep,,Per Semester,,Uniten PG Fees 2018,Uniten PG 2018.pdf,1871
PhD in Engineering ,phD,2 to 7 years,8,3814,13830,5250,Feb/May/Sep,,,,Uniten PG Fees 2018,Uniten PG 2018.pdf,1872
