course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Diploma in Digital Graphic Design,Diploma,3 Years,,3000,4230,22235,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,178
Diploma in Photograghy Technology,Diploma,3 Years,,3000,4230,25645,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,179
Bachelor of (Hons) Digital Graphic Design,Bachelor,3 Years,,3000,4230,42940,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,180
Diploma in Media & Communication,Diploma,3 Years,,3000,4230,26445,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,181
Bachelor in Communication (Corporate Communication) (Hons),Bachelor,3 Years,,3000,4230,50250,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,182
Bachelor in Communication (Journalism) (Hons),Bachelor,3 Years,,3000,4230,51070,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,183
Diploma in Mechatronics Engineering,Diploma,3 Years,,3000,4230,31270,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,184
Diploma in Mechanical Engineering,Diploma,3 Years,,3000,4230,30610,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,185
Diploma in Electrical & Electronic Engineering,Diploma,3 Years,,3000,4230,30610,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,186
Diploma in Civil Engineering,Diploma,3 Years,,3000,4230,30940,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,187
Bachelor of Engineering (Hons) Mechanical,Bachelor,4 Years,,3000,4230,62830,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,188
