course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation In Mgt/Programme Mgt,Foundation,1 Year,3,2308,6500,8000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1002
Foundation In Information Technology,Foundation,1 Year,3,2308,6500,7500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1003
Foundation In Commerce,Foundation,1.5 Year,3,2308,6500,10500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1004
Foundation In Built Environment,Foundation,1 Year,3,2308,6500,13500,January/June/October, this subject is not availabe,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1005
Foundation In Art & Design,Foundation,1 Year,3,2308,6500,13500,January/June/October, this subject is not availabe,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1006
Foundation In Design,Foundation,1 Year,3,2308,6500,13500,January/June/October, this subject is not availabe,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1007
Diploma in Architectural Technology,Diploma,2.4 Years,7,2308,6500,32500,January/June/October, this subject is not availabe,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1008
Diploma In Interior Architecture,Diploma,2.4 Years,7,2308,6500,30000,January/June/October, this subject is not availabe,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1009
Diploma In Product Design,Diploma,2 Years,6,2308,6500,30000,January/June/October, this subject is not availabe,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1010
Diploma In Accountancty,Diploma,2.8 Years,8,2308,6500,21000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1011
Diploma In Information Technology,Diploma,2.4 Years,7,2308,6500,21000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1012
Diploma iN Management,Diploma,2.4 Years,7,2308,6500,20500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1013
Diploma In logistic ,Diploma,2.4 Years,7,2308,6500,20500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1014
Diploma In Retail Management,Diploma,2.4 Years,7,2308,6500,20500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1015
Diploma In Culinary Arts,Diploma,3 Years,9,2308,6500,27500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1016
Diploma In Hotel Management,Diploma,2.4 Years,7,2308,6500,25000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1017
Diploma In Tourism Management,Diploma,2.4 Years,7,2308,6500,26500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1018
Diploma In Children Performing Art,Diploma,2.4 Years,7,2308,6500,24000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1019
Diploma In Early Childhood Education,Diploma,2.4 Years,7,2308,6500,21000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1020
Bachelor Of Science(Hons)In Architecture,Bachelor,3 Years,7,2308,6500,61000,January/June/October, this subject is not availabe,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1021
Bachelor Of Arts(Hons) In Interior Architecture,Bachelor,3.6 Years,7,2308,6500,61000,January/June/October, this subject is not availabe,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1022
Bachelor of Accounting(Hons),Bachelor,3.8 Years,11,2308,6500,55000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1023
Bachelor Of Business Administration(Hons),Bachelor,3 Years,9,2308,6500,45000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1024
Bachelor Of Computer Security(Hons),Bachelor,3 Years,9,2308,6500,47500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1025
Bachelor OF Finance(IslamicFinance)(Hons),Bachelor,3 Years,9,2308,6500,46500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1026
Bachelor Of Information Technology(Hons),Bachelor,3 Years,9,2308,6500,44500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1027
Bachelor Of Management(Hons),Bachelor,3.4 Year,10,2308,6500,45000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1028
Bachelor Of Software Enginnering(Hons),Bachelor,3 Years,9,2308,6500,47500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1029
Bachelor Of Culinary Arts(Hons),Bachelor,3 Years,9,2308,6500,52000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1030
Bachelor Of Hospitality Management(Hons),Bachelor,3 Years,9,2308,6500,50000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1031
Bachelor Of Hotel Management(Hons),Bachelor,3 Years,9,2308,6500,52000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1032
Bachelor Of Tourism Management(Hons),Bachelor,3 Years,9,2308,6500,51000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1033
Bachelor of Communication,Bachelor,3 Years,9,2308,6500,50000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1034
Bachelor Of Education(Hons),Bachelor,3 Years,9,2308,6500,51500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1035
Bachelor Of Education(Guidence&Counselling)(Hons),Bachelor,4 Years,12,2308,6500,54000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1036
Bachelor Of English(Hons),Bachelor,3 Years,9,2308,6500,47500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1037
Bachelor Of Guidance & Counseling(Hons),Bachelor,3 Years,9,2308,6500,47500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1038
Bachelor Of Education(Early Childhood Education)(Hons),Bachelor,3 Years,9,2308,6500,51500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1039
Masters Of Education(Education Leadership & Management),Masters,1.4 Years,4,2308,6500,22000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1040
