course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Pre-sessional/ Bridgeing,Foundation,0.5 years,1,2400,1810,600,February/May/Sept,,,,,,525
Bachelor of Law (LLB),Bachelor,4 years,8,2400,1810,34000,February/May/Sept,,,,,,526
Bachelor of Law Shariah(LLBS),Bachelor,5 years,10,2400,1810,42500,February/May/Sept,,,,,,527
Bachelor of Economics,Bachelor,4 years,8,2400,1810,30000,February/May/Sept,,,,,,528
Bachelor of Accounting,Bachelor,4 years,8,2400,1810,30000,February/May/Sept,,,,,,529
Bachelor of Business Administration,Bachelor,4 years,8,2400,1810,30000,February/May/Sept,,,,,,530
Bachelor of Science (Islamic Finance),Bachelor,4 years,8,2400,1835,30000,February/May/Sept,,,,,,531
Bachelor of Human Sciences in Communication,Bachelor,4 years,8,2400,1810,28000,February/May/Sept,,,,,,532
Bachelor of Human Sciences in English Language and Literature,Bachelor,4 years,8,2400,1810,28000,February/May/Sept,,,,,,533
Bachelor of Human Sciences in History & Civilization,Bachelor,4 years,8,2400,1810,28000,February/May/Sept,,,,,,534
Bachelor of Human Sciences in Political Science,Bachelor,4 years,8,2400,1810,28000,February/May/Sept,,,,,,535
Bachelor of Human Sciences in Psychology,Bachelor,4 years,8,2400,1810,28000,February/May/Sept,,,,,,536
Bachelor of Human Sciences in Sociology & Anthropology,Bachelor,4 years,8,2400,1810,28000,February/May/Sept,,,,,,537
Bachelor of Islamic Revealed Knowledge and Heritage in Arabic Language and Literature,Bachelor,4 years,8,2400,1810,28000,February/May/Sept,,,,,,538
Bachelor of Islamic Revealed Knowledge and Heritage in Islamic Jurisprudence,Bachelor,4 years,8,2400,1810,28000,February/May/Sept,,,,,,539
Bachelor of Islamic Revealed Knowledge and Heritage in Qur’an and Sunnah Studies,Bachelor,4 years,8,2400,1810,28000,February/May/Sept,,,,,,540
Bachelor of Islamic Revealed Knowledge and Heritage in Usul al-Din & Comparative Religion,Bachelor,4 years,8,2400,1810,28000,February/May/Sept,,,,,,541
Bachelor of Information Technology (BIT),Bachelor,4 years,8,2400,1835,30000,February/May/Sept,,,,,,542
