course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation in Design,Foundation,1,,3139,6590,16500,Feb/April/July,,,50%,,,1720
Foundation in Built Environemnt ,Foundation,1,,3139,6590,16500,Feb/April/July,,,50%,,,1721
Foundation in Information Technology,Foundation,1,,3139,6590,12000,Feb/April/July,,,50%,,,1722
Foundation in Communication,Foundation,1,,3139,6590,16500,Feb/April/July,,,50%,,,1723
Foundation in Business,Foundation,1,,3139,6590,10000,Feb/April/July,,,50%,,,1724
Foundation in Sound And Music,Foundation,1,,3139,6590,16500,Feb/April/July,,,50%,,,1725
Foundation in Engineering,Foundation,1,,3139,6590,16500,Feb/April/July,,,50%,,,1726
Bachelor in Professinal Design (Visual Communication),Bachelor ,3,,3139,6590,58650,Feb/July,,,30%,,,1727
Bachelor of Arts in Industrial Design,Bachelor ,3,,3139,6590,58650,Feb/July,,,30%,,,1728
Bachelor of Arts of Creative imaging in Digital Photography,Bachelor ,3,,3139,6590,58650,Feb/July,,,30%,,,1729
Bachelor in Transport Design,Bachelor ,3,,3139,6590,73500,Feb/July,,,30%,,,1730
Bachelor in Animation ,Bachelor ,3,,3139,6590,58650,Feb/July,,,30%,,,1731
Bachelor of Arts in Creative Multimedia,Bachelor ,3,,3139,6590,58650,Feb/July,,,30%,,,1732
Bachelor of Arts in Games Art Development ,Bachelor ,3,,3139,6590,51000,Feb/July,,,30%,,,1733
Bachelor of Arts in Games Design,Bachelor ,3,,3139,6590,58650,Feb/July,,,30%,,,1734
Bachelor of Arts in Motion Graphics And Visual Effects,Bachelor ,3,,3139,6590,58650,Feb/July,,,30%,,,1735
Bachelor in Digital Creative Content,Bachelor ,3,,3139,6590,51000,Feb/July,,,30%,,,1736
Bachelor of Arts in Interior Architecture,Bachelor ,3,,3139,6590,58650,Feb/July,,,30%,,,1737
Bachelor of Arts in Urban Planning & Design,Bachelor ,4,,3139,6590,68000,Feb/July,,,30%,,,1738
Bachelor of Arts in Landscape Architecture ,Bachelor ,4,,3139,6590,68000,Feb/July,,,30%,,,1739
Bachelor of Science of Construction Management ,Bachelor ,3,,3139,6590,51000,Feb/July,,,30%,,,1740
