course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Doctor of Philosophy (Business),PhD,3years,4,2800,8839,51000,Jan/ Mar/Jun/Aug/Oct,,,,,,1243
Master of Business Administration,Masters,1 year,4,2800,9571,46704,Jan/ May/ Sep,,,,,,1244
Master in Finance,Masters,1 year,4,2800,9148,47664,Feb/ May/ Jul/ Oct,,,,,,1245
Bachelor of Business (Hons) With Electives,Bachelor,3 years,9,2800,13262,81520,Mar/ Aug,,"Dual Award with the University of the West of England, UK",,,,1246
Bachelor of Business (Hons) With Minor / Extension,Bachelor,3 years,9,2800,13262,81520,Mar/ Aug,,"Dual Award with the University of the West of England, UK",,,,1247
Bachelor of Business (Hons) International Business & Marketing,Bachelor,3 years,9,2800,13262,81600,Mar/ Aug,,"Dual Award with the University of the West of England, UK",,,,1248
Bachelor of Arts (Hons) Accounting & Finance,Bachelor,3 years,8,2800,13278,80896,Mar/ Aug,,"Dual Award with the University of the West of England, UK",,,,1249
Bachelor of Business (Hons) Banking & Finance,Bachelor,3 years,7,2800,13202,81480,Mar/ Aug,,"Dual Award with the University of the West of England, UK",,,,1250
Bachelor of Business (Hons) Finance & Economics,Bachelor,3 years,7,2800,13202,81480,Mar/ Aug,,"Dual Award with the University of the West of England, UK",,,,1251
Bachelor of Science (Hons) Actuarial Studies,Bachelor,3 years,7,2800,12569,68400,Mar/ Aug,,,,,,1252
Bachelor of Science (Hons) Actuarial Studies,Bachelor,4 years,8,2800,12569,75240,Mar/ Aug,,,,,,1253
Diploma in Business,Diploma,2.5 years,6,2800,12285,35730,Mar/ Aug,,,,,,1254
Taylor's Business Foundation,Foundation,1 year,2,2800,12159,19000,Jan/ Mar/ Jul,,,,,,1255
Foundation in Arts (FIA),Foundation,1 year,2,2800,12159,19000,Jan/ Mar/ Jul,,,,,,1256
Doctor of Philosophy (Hospitality & Tourism),PhD,3 years,4,2800,8839,48000,Jan/ Mar/ Jun/ Aug/ Oct,,,,,,1257
Master in International Hospitality Management,Masters,1.5 years,6,2800,11987,44058,Feb/ May/ Jul/ Oct,,"Dual Award with University of Toulouse, France",,,,1258
Master of Philosophy (Food Studies),Masters,1.5 years,3,2800,11984,30410,Feb/ Jul,,"Dual Award with University of Toulouse, France",,,,1259
Master of Science (Tourism),Masters,2 Years,4,2800,8839,32000,Jan/ Mar/ Jun/ Aug/ Oct,,,,,,1260
Bachelor of Culinary Arts & Foodservice Management (Hons) *,Bachelor,3 years,6,2800,16729,69720,Mar/ Aug,,"Dual Award with University of Toulouse, France",,,,1261
Bachelor of International Hospitality Management (Hons) *,Bachelor,3 Years,8,2800,16647,69720,Mar/ Aug,,"Dual Award with University of Toulouse, France",,,,1262
Bachelor of International Tourism Management (Hons) (Events Management) *,Bachelor,3 Years,8,2800,16484,69600,Mar/ Aug,,"Dual Award with University of Toulouse, France",,,,1263
Bachelor of International Tourism Management (Hons),Bachelor,3 Years,8,2800,16484,69600,Mar/ Aug,,"Dual Award with University of Toulouse, France",,,,1264
Bachelor of Science (Hons) (Culinology®),Bachelor,3 Years,9,2800,16647,69720,Mar/ Aug,,,,,,1265
Advanced Diploma in Patisserie & Gastronomic Cuisine,Diploma,1 year,3,2800,15319,20640,Jan/ Aug,,,,,,1266
Diploma in Hotel Management,Diploma,2 years,6,2800,14327,31950,Jan/ Mar/ Aug,,,,,,1267
Diploma in Culinary Arts,Diploma,2 years,6,2800,15827,31950,Jan/ Mar/ Aug,,,,,,1268
Diploma in Tourism Management,Diploma,2 years,6,2800,14279,31950,Jan/ Mar/ Aug,,,,,,1269
Diploma in Event Management,Diploma,2 years,6,2800,14279,31950,Jan/ Mar/ Aug,,,,,,1270
Foundation in Arts (FIA),Foundation,1 year,2,2800,21039,23664,Jan/ Mar/ Jul,,,,,,1271
Foundation in Science (FIS),Foundation,1 year,2,2800,22705,25330,Jan/ Mar/ Jul,,,,,,1272
Master of Architecture **,Masters,2 years,4,2800,13276,36720,Mar/ Aug,,,,,,1273
Bachelor of Science (Hons) in Architecture ,Bachelor,3 years,7,2800,14371,93840,Mar/ Aug,,,,,,1274
Bachelor of Quantity Surveying (Hons) *  **,Bachelor,3 years,8,2800,12778,56400,Mar/ Aug,,,,,,1275
Foundation in Natural and Built Environments,Foundation,1 year,3,2800,12159,19000,Jan/ Mar/ Aug,,,,,,1276
Master of Communication (Coursework),Masters,1.5 years,5,2800,9055,33120,Feb/ Jun/ Sep,,,,,,1277
Master of Communication (Mixed Mode),Masters,1.5 years,5,2800,9055,33120,Feb/ Jun/ Sep,,,,,,1278
Bachelor of Mass Communication (Hons),Bachelor,3 years,8,2800,14000,70800,Mar/ Aug,,,,,,1279
Bachelor of Mass Communication (Hons) (Broadcasting),Bachelor,3 years,8,2800,14000,70800,Mar/ Aug,,,,,,1280
