course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation in Electrical and Electronics Engineering,Foundation,1,2,3000,7380,20000,May/Sept/ Feb,,IELTS fees 4764 Rm,,,,1837
Foundation in Electrical Power Engineering,Foundation,1,2,3000,7380,20000,May/Sept/ Feb,,IELTS fees 4764 Rm,,,,1838
Foundation in Mechanical  Engineering,Foundation,1,2,3000,7380,20000,May/Sept/ Feb,,IELTS fees 4764 Rm,,,,1839
Foundation in Civil Engineering,Foundation,1,2,3000,7380,20000,May/Sept/ Feb,,IELTS fees 4764 Rm,,,,1840
Foundation in Computer Science,Foundation,1,2,3000,7380,18000,May/Sept/ Feb,,IELTS fees 4764 Rm,,,,1841
Foundation in Information Technology,Foundation,1,2,3000,7380,18000,May/Sept/ Feb,,IELTS fees 4764 Rm,,,,1842
Foundation in Accounting,Foundation,1,2,3000,7380,18000,May/Sept/ Feb,,IELTS fees 4764 Rm,,,,1843
Foundation in Business Administration,Foundation,1,2,3000,7380,18000,May/Sept/ Feb,,IELTS fees 4764 Rm,,,,1844
Diploma in Mechanical  Engineering,Diploma,2.5,3,3000,7380,27200,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1845
Diploma in Electrical Engineering,Diploma,2.5,3,3000,7380,27200,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1846
Diploma in Computer Science,Diploma,2.5,3,3000,7380,29000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1847
Diploma in Accountance,Diploma,2.5,3,3000,7380,28000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1848
Diploma in Finance,Diploma,2.5,3,3000,7380,25000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1849
Diploma in Business Administration,Diploma,2.5,3,3000,7380,25000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1850
Bachelor in Electrical and Electronics Engineering,Bachelor,4,8,3000,7380,78000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1851
Bachelor in Electrical Power Engineering,Bachelor,4,8,3000,7380,78000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1852
Bachelor in Mechanical  Engineering,Bachelor,4,8,3000,7380,78000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1853
Bachelor in Civil Engineering,Bachelor,4,8,3000,7380,78000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1854
Bachelor in Computer Science ( System and Networking) Hons,Bachelor,3,6,3000,7380,61000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1855
Bachelor in Computer Science (Software Engineering),Bachelor,3,6,3000,7380,61000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1856
Bachelor in Computer Science (Cyber Security) Hons,Bachelor,3,6,3000,7380,61000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1857
Bachelor in Information Technology ( Information System),Bachelor,3,6,3000,7380,61000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1858
Bachelor in Information Technology (Visual Media),Bachelor,3,6,3000,7380,61000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1859
Bachelor of Economics (Hons) in Energy,Bachelor,3,6,3000,7380,57000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1860
Bachelor of Business Economics (Hons) ,Bachelor,3,6,3000,7380,57000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1861
Bachelor of Accounting (Hons),Bachelor,4,8,3000,7380,66000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1862
Bachelor of Finance,Bachelor,3,6,3000,7380,52000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1863
Bachelor of International Business (Hons),Bachelor,3,6,3000,7380,52000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1864
Bachelor of Business Administration (Hons) in HRM,Bachelor,3,6,3000,7380,52000,May/Sept/ Feb,,IELTS fees 5600Rm,,,,1865
