course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Foundation In ENGINEERING & SCIENCE,Foundation,1 Year,3,3960,11000,16950,Jan/ May/ Sep,,,,,,75
Foundation In Technology & Business Management,Foundation,1 Year,3,3960,11000,16950,Jan/ May/ Sep,,,,,,75
Foundation In Computer Science,Foundation,1 Year,3,3960,11000,16950,Jan/ May/ Sep,,,,,,75
Bachelor of Chemical Engineering with Honours,Bachelor,4 Years,10,3960,11000,101000,Jan/ May/ Sep,,,,,,75
Bachelor of Civil Engineering with Honours ,Bachelor,4 Years,10,3960,11000,101000,Jan/ May/ Sep,,,,,,75
Bachelor of Computer Engineering with Honours,Bachelor,4 Years,10,3960,11000,101000,Jan/ May/ Sep,,,,,,75
Bachelor of Electrical and Electronics Engineering with Honours,Bachelor,4 Years,10,3960,11000,101000,Jan/ May/ Sep,,,,,,75
Bachelor of Materials Engineering with Honours,Bachelor,4 Years,10,3960,11000,101000,Jan/ May/ Sep,,,,,,75
Bachelor of Mechanical Engineering with Honours,Bachelor,4 Years,10,3960,11000,101000,Jan/ May/ Sep,,,,,,75
Bachelor of Petroleum Engineering with Honours,Bachelor,4 Years,10,3960,11000,101000,Jan/ May/ Sep,,,,,,75
Bachelor of Information Systems (Hons),Bachelor,3.5 Years,8,3960,11000,78000,Jan/ May/ Sep,,,,,,75
Bachelor of Information Technology (Hons),Bachelor,3.5 Years,8,3960,11000,78000,Jan/ May/ Sep,,,,,,75
Bachelor of Technology (Hons) Petroleum Geoscience,Bachelor,3.5 Years,8,3960,11000,87000,Jan/ May/ Sep,,,,,,75
Bachelor of Business Management (Hons),Bachelor,3.5 Years,8,3960,11000,75000,Jan/ May/ Sep,,,,,,75
Bachelor of Science (Hons) in Applied Chemistry,Bachelor,3.5 Years,8,3960,11000,78000,Jan/ May/ Sep,,,,,,75
Bachelor of Science (Hons) Applied Physics,Bachelor,3.5 Years,8,3960,11000,78000,Jan/ May/ Sep,,,,,,75
Bachelor of Computer Science (Hons),Bachelor,3.5 Years,8,3960,11000,78000,Jan/ May/ Sep,,,,,,75
MSc in Petroleum Engineering by Coursework,Masters,1.5 Years,3,3960,9800,41250,Jan/ Sep,,,,,,75
MSc in Petroleum Geoscience by Coursework,Masters,1.5 Years,3,3960,9800,37600,Jan/ Sep,,,,,,75
MSc in Petroleum Geoscience (ODL) by Coursework,Masters,1.5 Years,3,3960,9800,37600,Jan/ Sep,,,,,,75
MSc in Asset Management and Maintanence by Coursework,Masters,1.5 Years,3,3960,9800,37600,Jan/ Sep,,,,,,75
MSc in Asset Management & Maintenance (ODL) by Coursework,Masters,1.5 Years,3,3960,9800,37600,Jan/ Sep,,,,,,75
MSc Electronic System Engineering by Coursework,Masters,1.5 Years,3,3960,9800,39600,Jan/ Sep,,,,,,75
MSc Electronic System Engineering (ODL) by Coursework,Masters,1.5 Years,3,3960,9800,39600,Jan/ Sep,,,,,,75
MSc in Process Integration by Coursework,Masters,1.5 Years,3,3960,9800,37900,Jan/ Sep,,,,,,75
MSc in Process Integration (ODL) by Coursework,Masters,1.5 Years,3,3960,9800,37900,Jan/ Sep,,,,,,75
MSc in Drilling Engineering by Coursework,Masters,1.5 Years,3,3960,9800,100000,Jan/ Sep,,,,,,75
MSc in Offshore Engineering by Coursework,Masters,1.5 Years,3,3960,9800,40550,Jan/ Sep,,,,,,75
MSc in Offshore Engineering (ODL) by Coursework,Masters,1.5 Years,3,3960,9800,40550,Jan/ Sep,,,,,,75
MSc in Process Safety by Coursework,Masters,1.5 Years,3,3960,9800,37600,Jan/ Sep,,,,,,75
