course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,uid
Science,Foundation,1 Year,3,2900,1000,13000,April & August,,Please refer to the document for scholarship details,70%,54
Arts and Social Science,Foundation,1 Year,3,2900,1000,12000,April & August,,Please refer to the document for scholarship details,70%,54
Chinese Studies,Bachelor,3 Years,9,2900,1000,66000,Feb & Sep,,Please refer to the document for scholarship details,70%,54
Journalism,Bachelor,3 Years,9,2900,1000,66000,Feb & Sep,,Please refer to the document for scholarship details,70%,54
Accounting,Bachelor,3 Years,9,2900,1000,66000,Feb & Sep,,Please refer to the document for scholarship details,70%,54
International Business,Bachelor,3 Years,9,2900,1000,66000,Feb & Sep,,Please refer to the document for scholarship details,70%,54
Finance,Bachelor,3 Years,9,2900,1000,66000,Feb & Sep,,Please refer to the document for scholarship details,70%,54
Computer Science & Technology,Bachelor,4 Years,12,2900,1000,96000,Feb & Sep,,Please refer to the document for scholarship details,70%,54
Digital Media Technology,Bachelor,4 Years,12,2900,1000,96000,Feb & Sep,,Please refer to the document for scholarship details,70%,54
Software Engineering,Bachelor,4 Years,12,2900,1000,96000,Feb & Sep,,Please refer to the document for scholarship details,70%,54
New Energy Science & Engineering,Bachelor,4 Years,12,2900,1000,96000,Feb & Sep,,Please refer to the document for scholarship details,70%,54
Chemical Engineering,Bachelor,4 Years,12,2900,1000,96000,Sep,,Please refer to the document for scholarship details,70%,54
Marine Biotechnology,Bachelor,4 Years,12,2900,1000,96000,Sep,,Please refer to the document for scholarship details,70%,54
Electrical & Electronics Engineering,Bachelor,4 Years,12,2900,1000,96000,Sep,,Please refer to the document for scholarship details,70%,54
Traditional Chinese Medicine,Bachelor,5 Years,15,2900,1000,115000,Feb & Sep,,Please refer to the document for scholarship details,70%,54
